OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
2404228,63779585992265,None,None,None
2404236,63779585992272,None,None,None
2404236,63779585992277,None,None,None
2404245,63779585992281,None,None,None
2404253,63779585992290,None,None,None
2404261,63779585992302,None,None,None
2404278,63779585992312,None,None,None
2404286,63779585992324,None,None,None
2404295,63779585992335,None,None,None
2404311,63779585992346,None,None,None
2404320,63779585992357,None,None,None
2404328,63779585992368,None,None,None
2404345,63779585992379,None,None,None
2404353,63779585992391,None,None,None
2404361,63779585992402,None,None,None
2404378,63779585992413,None,None,None
2404386,63779585992424,None,None,None
2404395,63779585992435,None,None,None
2404411,63779585992446,None,None,None
2404420,63779585992457,None,None,None
2404436,63779585992474,None,None,None
2404445,63779585992482,None,None,None
2404453,63779585992490,None,None,None
2404461,63779585992501,None,None,None
2404478,63779585992512,None,None,None
2404486,63779585992524,None,None,None
2404495,63779585992535,None,None,None
2404511,63779585992546,None,None,None
2404520,63779585992557,None,None,None
2404528,63779585992568,None,None,None
2404545,63779585992579,None,None,None
2404553,63779585992591,None,None,None
2404561,63779585992602,None,None,None
2404578,63779585992612,None,None,None
2404586,63779585992624,None,None,None
2404595,63779585992635,None,None,None
2404611,63779585992646,None,None,None
2404620,63779585992657,None,None,None
2404628,63779585992668,None,None,None
2404645,63779585992679,None,None,None
2404653,63779585992690,None,None,None
2404661,63779585992702,None,None,None
2404678,63779585992712,None,None,None
2404686,63779585992724,None,None,None
2404695,63779585992735,None,None,None
2404711,63779585992746,None,None,None
2404720,63779585992757,None,None,None
2404728,63779585992768,None,None,None
2404745,63779585992779,None,None,None
2404753,63779585992790,None,None,None
2404761,63779585992802,None,None,None
2404778,63779585992812,None,None,None
2404786,63779585992824,None,None,None
2404795,63779585992835,None,None,None
2404811,63779585992846,None,None,None
2404820,63779585992857,None,None,None
2404828,63779585992868,None,None,None
2404845,63779585992880,None,None,None
2404853,63779585992890,None,None,None
2404861,63779585992901,None,None,None
2404878,63779585992912,None,None,None
2404886,63779585992924,None,None,None
2404895,63779585992935,None,None,None
2404911,63779585992946,None,None,None
2404920,63779585992957,None,None,None
2404936,63779585992969,None,None,None
2404944,63779585992981,None,None,None
2404953,63779585992992,None,None,None
2404969,63779585993004,None,None,None
2404978,63779585993015,None,None,None
2404986,63779585993026,None,None,None
2405003,63779585993038,None,None,None
2405011,63779585993049,None,None,None
2405028,63779585993061,None,None,None
2405036,63779585993072,None,None,None
2405044,63779585993083,None,None,None
2405061,63779585993094,None,None,None
2405069,63779585993106,None,None,None
2405078,63779585993117,None,None,None
2405094,63779585993128,None,None,None
2405103,63779585993140,None,None,None
2405111,63779585993151,None,None,None
2405128,63779585993162,None,None,None
2405136,63779585993173,None,None,None
2405144,63779585993184,None,None,None
2405161,63779585993195,None,None,None
2405169,63779585993206,None,None,None
2405178,63779585993217,None,None,None
2405194,63779585993228,None,None,None
2405203,63779585993240,None,None,None
2405211,63779585993251,None,None,None
2405228,63779585993262,None,None,None
2405236,63779585993273,None,None,None
2405244,63779585993284,None,None,None
2405261,63779585993295,None,None,None
2405269,63779585993306,None,None,None
2405278,63779585993317,None,None,None
2405294,63779585993328,None,None,None
2405303,63779585993340,None,None,None
2405311,63779585993351,None,None,None
2405328,63779585993362,None,None,None
2405336,63779585993373,None,None,None
2405344,63779585993384,None,None,None
2405361,63779585993395,None,None,None
2405369,63779585993406,None,None,None
2405378,63779585993417,None,None,None
2405394,63779585993428,None,None,None
2405403,63779585993439,None,None,None
2405411,63779585993451,None,None,None
2405428,63779585993462,None,None,None
2405436,63779585993473,None,None,None
2405444,63779585993484,None,None,None
2405461,63779585993495,None,None,None
2405469,63779585993506,None,None,None
2405478,63779585993517,None,None,None
2405494,63779585993528,None,None,None
2405503,63779585993539,None,None,None
2405511,63779585993551,None,None,None
2405528,63779585993562,None,None,None
2405536,63779585993573,None,None,None
2405544,63779585993584,None,None,None
2405561,63779585993595,None,None,None
2405569,63779585993606,None,None,None
2405578,63779585993617,None,None,None
2405594,63779585993628,None,None,None
2405603,63779585993639,None,None,None
2405611,63779585993650,None,None,None
2405628,63779585993662,None,None,None
2405636,63779585993673,None,None,None
2405644,63779585993684,None,None,None
2405661,63779585993695,None,None,None
2405669,63779585993706,None,None,None
2405678,63779585993717,None,None,None
2405694,63779585993728,None,None,None
2405703,63779585993739,None,None,None
2405711,63779585993750,None,None,None
2405728,63779585993762,None,None,None
2405736,63779585993773,None,None,None
2405744,63779585993784,None,None,None
2405761,63779585993795,None,None,None
2405769,63779585993806,None,None,None
2405778,63779585993817,None,None,None
2405794,63779585993828,None,None,None
2405803,63779585993839,None,None,None
2405811,63779585993850,None,None,None
2405828,63779585993861,None,None,None
2405836,63779585993873,None,None,None
2405844,63779585993884,None,None,None
2405861,63779585993895,None,None,None
2405869,63779585993906,None,None,None
2405878,63779585993917,None,None,None
2405894,63779585993928,None,None,None
2405903,63779585993939,None,None,None
2405911,63779585993950,None,None,None
