OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
1131680,63779588665432,-15.13723,2.306903,-0.07638109,-0.0728028,0.9843957,0.05039937,-0.1520685,-0.02795696,0.003130875,-0.02637943,0.07582092,-0.06840515,0.9947662,0.03005959,0.00350473,-0.02305556,0.03005959,0.00350473,-0.02305556,0.07933044,-0.06465149,0.9947357,0.07933044,-0.06465149,0.9947357,3.286804,3.286804,True,True,True
1131688,63779589014706,-15.41456,2.623826,-0.7129545,0.004625614,0.9812912,-0.1392771,0.1328459,-0.0279276,0.003125351,-0.02636489,0.07723999,-0.06694031,0.994751,0.03007503,0.003354462,-0.02265768,0.03007503,0.003354462,-0.02265768,0.08299255,-0.06965637,0.9941101,0.08299255,-0.06965637,0.9941101,3.143463,3.143463,True,True,True
1131696,63779589014718,-15.41605,2.62391,-0.7060255,0.006005771,0.981428,-0.1366903,0.1344579,-0.01989809,0.003180466,-0.02589855,0.07409668,-0.06152344,0.9953461,0.03006096,0.003468445,-0.02297411,0.03006096,0.003468445,-0.02297411,0.08218384,-0.07385254,0.993866,0.08218384,-0.07385254,0.993866,3.161636,3.161636,True,True,True
1131705,63779589014722,-15.4161,2.623944,-0.7060119,0.005970504,0.9814267,-0.1366064,0.1345534,-0.02712212,0.003142853,-0.02639459,0.07069397,-0.06460571,0.9953918,0.03006865,0.003599106,-0.02350308,0.03006865,0.003599106,-0.02350308,0.08621216,-0.06175232,0.9943542,0.08621216,-0.06175232,0.9943542,3.319778,3.319778,True,True,True
1131713,63779589014729,-15.41612,2.623958,-0.7059729,0.005995885,0.9814459,-0.1365432,0.1344765,-0.02768424,0.003183289,-0.026576,0.06509399,-0.06442261,0.9957886,0.02999594,0.00370723,-0.02399747,0.02999594,0.00370723,-0.02399747,0.08462524,-0.03390503,0.9958344,0.08462524,-0.03390503,0.9958344,3.482651,3.482651,True,True,True
1131721,63779589014741,-15.41606,2.623991,-0.7059281,0.005956429,0.981488,-0.136392,0.1343242,-0.02774443,0.003200318,-0.02662332,0.06422424,-0.07086182,0.9954071,0.02990906,0.003803604,-0.02416025,0.02990906,0.003803604,-0.02416025,0,0,0,0,0,0,-1,-1,True,True,True
1131730,63779589014741,-15.41606,2.623991,-0.7059281,0.005956429,0.981488,-0.136392,0.1343242,-0.001,-0.001,-0.001,1,-1,-1,0.02990906,0.003803604,-0.02416025,0.02990906,0.003803604,-0.02416025,0,0,0,0,0,0,-1,-1,False,False,False
1131738,63779589014752,-15.41616,2.623998,-0.7058374,0.005961503,0.9814785,-0.1364484,0.1343368,-0.001,-0.001,-0.001,1,-1,-1,0.03027255,0.001086502,-0.02315596,0.03027255,0.001086502,-0.02315596,0,0,0,0,0,0,-1,-1,False,True,True
1131746,63779589014763,-15.41614,2.624038,-0.7058376,0.006027563,0.9814937,-0.1363379,0.1343345,-0.001,-0.001,-0.001,1,-1,-1,0.03027255,0.001086502,-0.02315596,0.03027255,0.001086502,-0.02315596,0,0,0,0,0,0,-1,-1,False,False,False
1131755,63779589014774,-15.4162,2.624066,-0.70579,0.005884501,0.9815094,-0.1361853,0.1343809,-0.001,-0.001,-0.001,1,-1,-1,0.033232,8.369446E-05,-0.02477721,0.033232,8.369446E-05,-0.02477721,0,0,0,0,0,0,-1,-1,False,True,True
1131763,63779589014774,-15.4162,2.624066,-0.70579,0.005884501,0.9815094,-0.1361853,0.1343809,-0.001,-0.001,-0.001,1,-1,-1,0.03312984,-0.0001690674,-0.02493777,0.03312984,-0.0001690674,-0.02493777,0,0,0,0,0,0,-1,-1,False,True,True
1131771,63779589014785,-15.41622,2.624094,-0.7057437,0.005821249,0.9815403,-0.1360448,0.1343006,-0.001,-0.001,-0.001,1,-1,-1,0.03314833,-3.460694E-05,-0.02481854,0.03314833,-3.460694E-05,-0.02481854,0,0,0,0,0,0,-1,-1,False,True,True
1131780,63779589014796,-15.41634,2.624102,-0.705635,0.005798517,0.9815552,-0.1359721,0.1342666,-0.001,-0.001,-0.001,1,-1,-1,0.03227049,0.0004662018,-0.02388445,0.03227049,0.0004662018,-0.02388445,0,0,0,0,0,0,-1,-1,False,True,True
1131788,63779589014807,-15.41639,2.624095,-0.7055727,0.005772626,0.9815835,-0.1358422,0.1341913,-0.001,-0.001,-0.001,1,-1,-1,0.03277712,0.0006590119,-0.02402449,0.03277712,0.0006590119,-0.02402449,0,0,0,0,0,0,-1,-1,False,True,True
1131796,63779589014807,-15.41639,2.624095,-0.7055727,0.005772626,0.9815835,-0.1358422,0.1341913,-0.001,-0.001,-0.001,1,-1,-1,0.03462415,0.0008683472,-0.02573879,0.03462415,0.0008683472,-0.02573879,0,0,0,0,0,0,-1,-1,False,True,True
1131805,63779589014818,-15.41644,2.624069,-0.7055808,0.005761175,0.9815979,-0.1356674,0.1342639,-0.001,-0.001,-0.001,1,-1,-1,0.03379538,-0.000230423,-0.02646752,0.03379538,-0.000230423,-0.02646752,0,0,0,0,0,0,-1,-1,False,True,True
1131813,63779589014829,-15.41637,2.62412,-0.7056288,0.005761201,0.9816116,-0.1356034,0.1342282,-0.001,-0.001,-0.001,1,-1,-1,0.03208504,0.0007444916,-0.02329958,0.03208504,0.0007444916,-0.02329958,0,0,0,0,0,0,-1,-1,False,True,True
1131821,63779589014841,-15.41644,2.624158,-0.7056143,0.005703463,0.981619,-0.1355797,0.1342008,-0.001,-0.001,-0.001,1,-1,-1,0.03174443,0.002489761,-0.02286591,0.03174443,0.002489761,-0.02286591,0,0,0,0,0,0,-1,-1,False,True,True
1131830,63779589014851,-15.4165,2.624145,-0.7055542,0.005686714,0.9816332,-0.1354854,0.1341922,-0.001,-0.001,-0.001,1,-1,-1,0.0316369,0.002426849,-0.02296387,0.0316369,0.002426849,-0.02296387,0,0,0,0,0,0,-1,-1,False,True,True
1131838,63779589014851,-15.4165,2.624145,-0.7055542,0.005686714,0.9816332,-0.1354854,0.1341922,-0.001,-0.001,-0.001,1,-1,-1,0.03198549,0.003092499,-0.02279402,0.03198549,0.003092499,-0.02279402,0,0,0,0,0,0,-1,-1,False,True,True
1131846,63779589014863,-15.41654,2.624165,-0.7055264,0.005603279,0.9816343,-0.1355013,0.1341719,-0.001,-0.001,-0.001,1,-1,-1,0.03123541,0.002525101,-0.01547255,0.03123541,0.002525101,-0.01547255,0,0,0,0,0,0,-1,-1,False,True,True
1131855,63779589014874,-15.41656,2.624165,-0.7054728,0.00562792,0.9816586,-0.1353396,0.1341568,-0.001,-0.001,-0.001,1,-1,-1,0.03009792,0.003112793,-0.02159464,0.03009792,0.003112793,-0.02159464,0,0,0,0,0,0,-1,-1,False,True,True
1131863,63779589014884,-15.41662,2.624227,-0.7054663,0.005715721,0.9816703,-0.1352226,0.1341853,-0.001,-0.001,-0.001,1,-1,-1,0.03024986,0.003353913,-0.0227121,0.03024986,0.003353913,-0.0227121,0,0,0,0,0,0,-1,-1,False,True,True
1131871,63779589014884,-15.41662,2.624227,-0.7054663,0.005715721,0.9816703,-0.1352226,0.1341853,-0.001,-0.001,-0.001,1,-1,-1,0.03019663,0.002900955,-0.02033606,0.03019663,0.002900955,-0.02033606,0,0,0,0,0,0,-1,-1,False,True,True
1131880,63779589014896,-15.41671,2.624283,-0.7054728,0.005894193,0.9816803,-0.135033,0.1342948,-0.001,-0.001,-0.001,1,-1,-1,0.03025136,0.003250382,-0.0224728,0.03025136,0.003250382,-0.0224728,0,0,0,0,0,0,-1,-1,False,True,True
1131888,63779589014907,-15.41671,2.624309,-0.7054235,0.005923866,0.9817129,-0.1348377,0.134252,-0.0278651,0.002947845,-0.02615653,0.04975891,-0.1151886,0.9920959,0.03023982,0.003238495,-0.02252063,0.03023982,0.003238495,-0.02252063,0.07801819,-0.08172607,0.9935913,0.07801819,-0.08172607,0.9935913,3.620651,3.620651,True,True,True
1131896,63779589014907,-15.41671,2.624309,-0.7054235,0.005923866,0.9817129,-0.1348377,0.134252,-0.02787372,0.002916657,-0.02613277,0.05645752,-0.1078644,0.9925537,0.03026526,0.003153931,-0.0223172,0.03026526,0.003153931,-0.0223172,0.0912323,-0.09608459,0.9911804,0.0912323,-0.09608459,0.9911804,3.48558,3.48558,True,True,True
1131905,63779589014920,-15.41676,2.62432,-0.7054148,0.005724452,0.9817301,-0.1346723,0.1343002,-0.02788053,0.002897583,-0.02613678,0.05361938,-0.1039734,0.9931183,0.03027275,0.003185822,-0.02227139,0.03027275,0.003185822,-0.02227139,0.09468079,-0.1181183,0.9884644,0.09468079,-0.1181183,0.9884644,3.40509,3.40509,True,True,True
1131913,63779589014929,-15.41674,2.624283,-0.7052856,0.005272138,0.9817358,-0.1347661,0.1341834,-0.02788475,0.002894058,-0.02614456,0.05239868,-0.09945679,0.9936523,0.03025179,0.003182938,-0.02259891,0.03025179,0.003182938,-0.02259891,0.08683777,-0.1125488,0.9898376,0.08683777,-0.1125488,0.9898376,3.404785,3.404785,True,True,True
1131921,63779589014941,-15.41679,2.624291,-0.7052695,0.005036315,0.9817264,-0.1348735,0.1341531,-0.02788507,0.002917771,-0.02623776,0.05244446,-0.09646606,0.9939423,0.03025162,0.003173126,-0.02260208,0.03025162,0.003173126,-0.02260208,0.08786011,-0.1000061,0.9910889,0.08786011,-0.1000061,0.9910889,3.371216,3.371216,True,True,True
1131930,63779589014951,-15.41685,2.624316,-0.7052233,0.005036597,0.9817076,-0.1351094,0.1340537,-0.02787601,0.002896912,-0.02619054,0.04992676,-0.09844971,0.9938812,0.03025583,0.00313617,-0.02252649,0.03025583,0.00313617,-0.02252649,0.08702087,-0.1053467,0.9906158,0.08702087,-0.1053467,0.9906158,3.367096,3.367096,True,True,True
