UnityTS,LabID,ParticipantID,TrialID,Room,Instruction,Duration,Question,Answer
63779589339673,HfG,2,11,Version2BankTestbedWood,hfgSit,75,waitEstimation,38s
63779589343948,HfG,2,11,Version2BankTestbedWood,hfgSit,75,timePass,50
63779589348291,HfG,2,11,Version2BankTestbedWood,hfgSit,75,comfort,87
63779589354133,HfG,2,11,Version2BankTestbedWood,hfgSit,75,relax,72
63779589359142,HfG,2,11,Version2BankTestbedWood,hfgSit,75,tired,57
63779589362541,HfG,2,11,Version2BankTestbedWood,hfgSit,75,valence,4
63779589366895,HfG,2,11,Version2BankTestbedWood,hfgSit,75,arousal,2
63779589372325,HfG,2,11,Version2BankTestbedWood,hfgSit,75,thinkPast,1
63779589376280,HfG,2,11,Version2BankTestbedWood,hfgSit,75,thinkPresent,86
63779589381078,HfG,2,11,Version2BankTestbedWood,hfgSit,75,thinkFuture,35
63779589389341,HfG,2,11,Version2BankTestbedWood,hfgSit,75,experienceBody,21
63779589394595,HfG,2,11,Version2BankTestbedWood,hfgSit,75,experienceSpace,32
63779589399104,HfG,2,11,Version2BankTestbedWood,hfgSit,75,thinkTime,100
