OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
1370203,63779589253229,None,None,None
1370211,63779589253243,None,None,None
1370219,63779589253251,None,None,None
1370236,63779589253262,None,None,None
1370244,63779589253274,None,None,None
1370261,63779589253288,None,None,None
1370269,63779589253299,None,None,None
1370278,63779589253307,None,None,None
1370286,63779589253318,None,None,None
1370303,63779589253329,None,None,None
1370311,63779589253340,None,None,None
1370319,63779589253351,None,None,None
1370336,63779589253362,None,None,None
1370344,63779589253373,None,None,None
1370353,63779589253385,None,None,None
1370369,63779589253395,None,None,None
1370378,63779589253407,None,None,None
1370386,63779589253418,None,None,None
1370403,63779589253429,None,None,None
1370411,63779589253440,None,None,None
1370419,63779589253451,None,None,None
1370436,63779589253462,None,None,None
1370444,63779589253473,None,None,None
1370453,63779589253484,None,None,None
1370469,63779589253496,None,None,None
1370478,63779589253507,None,None,None
1370486,63779589253518,None,None,None
1370503,63779589253529,None,None,None
1370511,63779589253540,None,None,None
1370519,63779589253551,None,None,None
1370536,63779589253562,None,None,None
1370544,63779589253574,None,None,None
1370561,63779589253585,None,None,None
1370569,63779589253595,None,None,None
1370578,63779589253606,None,None,None
1370586,63779589253617,None,None,None
1370603,63779589253629,None,None,None
1370611,63779589253640,None,None,None
1370619,63779589253651,None,None,None
1370636,63779589253662,None,None,None
1370644,63779589253673,None,None,None
1370653,63779589253684,None,None,None
1370669,63779589253696,None,None,None
1370678,63779589253707,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1370686,63779589253718,4_GroßeTreppe_Stairs,99_Bahnsteig_PF,4_GroßeTreppe_Stairs
1370703,63779589253729,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1370711,63779589253740,3_Rolltreppe_PF (2),99_Bahnsteig_PF,99_Bahnsteig_PF
1370719,63779589253752,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1370736,63779589253762,3_Rolltreppe_PF (2),99_Bahnsteig_PF,99_Bahnsteig_PF
1370753,63779589253783,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370761,63779589253789,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370769,63779589253794,Cube (1),99_Bahnsteig_PF,4_GroßeTreppe_Stairs
1370769,63779589253801,Cube (1),99_Bahnsteig_PF,4_GroßeTreppe_Stairs
1370786,63779589253812,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370794,63779589253824,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370803,63779589253835,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370819,63779589253846,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370828,63779589253857,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370836,63779589253868,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370852,63779589253879,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370861,63779589253890,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370869,63779589253902,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370886,63779589253913,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370894,63779589253924,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370902,63779589253935,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370919,63779589253946,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370927,63779589253957,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370936,63779589253968,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370952,63779589253979,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370961,63779589253990,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370969,63779589254001,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370986,63779589254012,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1370994,63779589254024,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
1371002,63779589254035,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
