OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
2059353,63779589815525,-13.35961,2.590292,-0.09591132,-0.04058042,0.9972915,-0.0231326,-0.05681309,-0.001,-0.001,-0.001,1,-1,-1,0.0318877,0.001051117,-0.02293288,0.0318877,0.001051117,-0.02293288,0,0,0,0,0,0,-1,-1,False,True,True
2059362,63779589942387,-13.24912,2.614733,-0.5485812,0.01125898,0.9870544,-0.08688429,0.1343426,-0.001,-0.001,-0.001,1,-1,-1,0.03265033,0.001828705,-0.02269118,0.03265033,0.001828705,-0.02269118,0,0,0,0,0,0,-1,-1,False,True,True
2059370,63779589942398,-13.24575,2.614202,-0.5529135,0.01199024,0.9867494,-0.08879197,0.1352701,-0.001,-0.001,-0.001,1,-1,-1,0.03218862,0.002057144,-0.0228678,0.03218862,0.002057144,-0.0228678,0,0,0,0,0,0,-1,-1,False,True,True
2059378,63779589942403,-13.2457,2.614209,-0.5529606,0.01190898,0.9867592,-0.0886576,0.1352932,-0.001,-0.001,-0.001,1,-1,-1,0.0324904,0.002104599,-0.02292943,0.0324904,0.002104599,-0.02292943,0,0,0,0,0,0,-1,-1,False,True,True
2059387,63779589942411,-13.24561,2.614252,-0.5530112,0.01191688,0.9867713,-0.08865432,0.1352065,-0.001,-0.001,-0.001,1,-1,-1,0.03283864,0.001883514,-0.02306421,0.03283864,0.001883514,-0.02306421,0,0,0,0,0,0,-1,-1,False,True,True
2059395,63779589942423,-13.2456,2.614344,-0.5530834,0.0119034,0.986803,-0.08833522,0.135185,-0.001,-0.001,-0.001,1,-1,-1,0.03068765,0.002931793,-0.02280406,0.03068765,0.002931793,-0.02280406,0,0,0,0,0,0,-1,-1,False,True,True
2059403,63779589942423,-13.2456,2.614344,-0.5530834,0.0119034,0.986803,-0.08833522,0.135185,-0.001,-0.001,-0.001,1,-1,-1,0.03054248,0.005274887,-0.0374451,0.03054248,0.005274887,-0.0374451,0,0,0,0,0,0,-1,-1,False,True,True
2059412,63779589942433,-13.24554,2.614396,-0.5531415,0.01186915,0.9868065,-0.08838217,0.1351321,-0.001,-0.001,-0.001,1,-1,-1,0.03043553,0.002654816,-0.02168329,0.03043553,0.002654816,-0.02168329,0,0,0,0,0,0,-1,-1,False,True,True
2059420,63779589942445,-13.24548,2.614416,-0.55323,0.01197991,0.9868067,-0.08830635,0.1351705,-0.001,-0.001,-0.001,1,-1,-1,0.03049248,0.003045868,-0.023789,0.03049248,0.003045868,-0.023789,0,0,0,0,0,0,-1,-1,False,True,True
2059428,63779589942456,-13.24543,2.61443,-0.5532683,0.01195855,0.9868231,-0.08816042,0.1351475,-0.001,-0.001,-0.001,1,-1,-1,0.03055916,0.002837982,-0.02271602,0.03055916,0.002837982,-0.02271602,0,0,0,0,0,0,-1,-1,False,True,True
2059437,63779589942467,-13.24536,2.614475,-0.5533012,0.01193952,0.9868376,-0.08806108,0.1351085,-0.0274624,0.003455536,-0.02617743,0.02139282,-0.06057739,0.9979248,0.03034146,0.002577576,-0.02153969,0.03034146,0.002577576,-0.02153969,0.01824951,-0.06747437,0.9975433,0.01824951,-0.06747437,0.9975433,3.216431,3.216431,True,True,True
2059445,63779589942467,-13.24536,2.614475,-0.5533012,0.01193952,0.9868376,-0.08806108,0.1351085,-0.02747734,0.003449311,-0.02614766,0.02680969,-0.07736206,0.9966278,0.03058244,0.002742203,-0.02257001,0.03058244,0.002742203,-0.02257001,0.07305908,-0.021698,0.9970856,0.07305908,-0.021698,0.9970856,3.384918,3.384918,True,True,True
2059453,63779589942478,-13.24532,2.614509,-0.5533796,0.01200382,0.9868461,-0.08796773,0.1351015,-0.02747795,0.003478027,-0.0263114,0.02462769,-0.05026245,0.9984283,0.03061707,0.002750763,-0.02283507,0.03061707,0.002750763,-0.02283507,0.08280945,-0.001693726,0.9965515,0.08280945,-0.001693726,0.9965515,3.316162,3.316162,True,True,True
2059462,63779589942489,-13.24526,2.614529,-0.5534625,0.01190906,0.9868242,-0.08797405,0.1352664,-0.02748212,0.003449295,-0.0262683,0.02722168,-0.05729675,0.9979858,0.03057488,0.002914108,-0.02344046,0.03057488,0.002914108,-0.02344046,0.08601379,-0.04269409,0.9953766,0.08601379,-0.04269409,0.9953766,3.193161,3.193161,True,True,True
2059470,63779589942489,-13.24526,2.614529,-0.5534625,0.01190906,0.9868242,-0.08797405,0.1352664,-0.02747101,0.003387482,-0.02608913,0.02758789,-0.05673218,0.9980011,0.03060719,0.002705765,-0.02280043,0.03060719,0.002705765,-0.02280043,0.08509827,-0.03430176,0.9957733,0.08509827,-0.03430176,0.9957733,3.198166,3.198166,True,True,True
2059478,63779589942500,-13.24512,2.614578,-0.5535519,0.01206763,0.9868417,-0.08787783,0.1351867,-0.02748477,0.003392395,-0.02610556,0.02754211,-0.05883789,0.997879,0.03057492,0.002829209,-0.02324552,0.03057492,0.002829209,-0.02324552,0.07206726,-0.03944397,0.9966125,0.07206726,-0.03944397,0.9966125,3.122696,3.122696,True,True,True
2059487,63779589942511,-13.24504,2.614604,-0.5536714,0.01204101,0.9868451,-0.08782222,0.1351994,-0.02747617,0.003471268,-0.02644713,0.01974487,-0.05943298,0.9980316,0.03057977,0.002813812,-0.02323616,0.03057977,0.002813812,-0.02323616,0.08021545,-0.05105591,0.9954529,0.08021545,-0.05105591,0.9954529,3.061539,3.061539,True,True,True
2059495,63779589942522,-13.24494,2.614642,-0.5537747,0.01208909,0.9868389,-0.08780851,0.1352496,-0.02747562,0.003382935,-0.02619365,0.0242157,-0.05395508,0.9982452,0.0305719,0.002793533,-0.02321274,0.0305719,0.002793533,-0.02321274,0.07873535,-0.04592896,0.9958344,0.07873535,-0.04592896,0.9958344,3.078766,3.078766,True,True,True
