OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
2494617,63779590377654,None,None,None
2494626,63779590377664,None,None,None
2494634,63779590377675,None,None,None
2494651,63779590377687,None,None,None
2494659,63779590377698,None,None,None
2494667,63779590377709,None,None,None
2494684,63779590377720,None,None,None
2494692,63779590377731,None,None,None
2494701,63779590377742,None,None,None
2494717,63779590377753,None,None,None
2494726,63779590377764,None,None,None
2494742,63779590377776,None,None,None
2494750,63779590377790,None,None,None
2494767,63779590377801,None,None,None
2494767,63779590377808,None,None,None
2494784,63779590377820,None,None,None
2494792,63779590377831,None,None,None
2494809,63779590377845,None,None,None
2494817,63779590377853,None,None,None
2494825,63779590377865,None,None,None
2494834,63779590377875,None,None,None
2494850,63779590377887,None,None,None
2494859,63779590377898,None,None,None
2494867,63779590377909,None,None,None
2494884,63779590377920,None,None,None
2494892,63779590377931,None,None,None
2494900,63779590377942,None,None,None
2494917,63779590377953,None,None,None
2494925,63779590377964,None,None,None
2494934,63779590377975,None,None,None
2494950,63779590377986,None,None,None
2494959,63779590377998,None,None,None
2494967,63779590378009,None,None,None
2494984,63779590378020,None,None,None
2494992,63779590378031,None,None,None
2495009,63779590378042,None,None,None
2495017,63779590378053,None,None,None
2495025,63779590378064,None,None,None
2495042,63779590378075,None,None,None
2495050,63779590378086,None,None,None
2495059,63779590378098,None,None,None
2495075,63779590378109,None,None,None
2495084,63779590378120,None,None,None
2495092,63779590378131,None,None,None
2495100,63779590378142,None,None,None
2495117,63779590378153,None,None,None
2495125,63779590378164,None,None,None
2495134,63779590378175,None,None,None
2495150,63779590378186,None,None,None
2495159,63779590378198,None,None,None
2495167,63779590378209,None,None,None
2495184,63779590378220,None,None,None
2495192,63779590378231,None,None,None
2495209,63779590378242,None,None,None
2495217,63779590378253,None,None,None
2495225,63779590378264,None,None,None
2495234,63779590378275,None,None,None
2495250,63779590378286,None,None,None
2495259,63779590378298,None,None,None
2495267,63779590378308,None,None,None
2495284,63779590378320,None,None,None
2495292,63779590378331,None,None,None
2495300,63779590378342,None,None,None
2495317,63779590378353,None,None,None
2495325,63779590378364,None,None,None
2495334,63779590378375,None,None,None
2495350,63779590378386,None,None,None
2495359,63779590378398,None,None,None
2495367,63779590378408,None,None,None
2495384,63779590378420,None,None,None
2495392,63779590378431,None,None,None
2495400,63779590378442,None,None,None
2495417,63779590378453,None,None,None
2495425,63779590378464,None,None,None
2495434,63779590378475,None,None,None
2495450,63779590378486,None,None,None
2495459,63779590378498,None,None,None
2495467,63779590378508,None,None,None
2495484,63779590378519,None,None,None
2495492,63779590378530,None,None,None
2495500,63779590378541,None,None,None
2495517,63779590378553,None,None,None
2495525,63779590378564,None,None,None
2495542,63779590378575,None,None,None
2495550,63779590378586,None,None,None
2495559,63779590378597,None,None,None
2495567,63779590378608,None,None,None
2495584,63779590378619,None,None,None
2495592,63779590378631,None,None,None
2495600,63779590378641,None,None,None
2495617,63779590378653,None,None,None
2495625,63779590378664,None,None,None
2495634,63779590378675,None,None,None
2495650,63779590378687,None,None,None
2495659,63779590378698,None,None,None
2495667,63779590378708,None,None,None
2495684,63779590378719,None,None,None
2495692,63779590378730,None,None,None
2495700,63779590378742,None,None,None
2495717,63779590378753,None,None,None
2495725,63779590378764,None,None,None
2495734,63779590378775,None,None,None
2495750,63779590378786,None,None,None
2495759,63779590378797,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495767,63779590378808,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495784,63779590378819,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495792,63779590378830,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495800,63779590378841,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495817,63779590378852,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495825,63779590378864,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495834,63779590378875,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495850,63779590378886,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495859,63779590378897,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495867,63779590378908,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495884,63779590378920,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495892,63779590378930,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495900,63779590378941,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495917,63779590378953,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495925,63779590378964,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495934,63779590378975,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495950,63779590378986,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495959,63779590378997,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495967,63779590379008,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495984,63779590379019,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2495992,63779590379030,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2496000,63779590379041,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2496017,63779590379052,None,99_Bahnsteig_PF,99_Bahnsteig_PF
2496025,63779590379064,None,99_Bahnsteig_PF,99_Bahnsteig_PF
