UnityTS,heart,breath,GSR
63779590357394,29561,35072,3860
63779590357404,30004,34724,3873
63779590357414,30696,34958,3869
63779590357424,31552,34684,3862
63779590357434,32497,34944,3861
63779590357444,33458,35041,3876
63779590357454,34360,34948,3863
63779590357464,35164,34788,3868
63779590357474,35844,34671,3868
63779590357484,36360,34820,3861
63779590357494,36724,34864,3865
63779590357504,36911,34648,3884
63779590357514,36924,34676,3860
63779590357524,36809,34914,3870
63779590357534,36610,34920,3867
63779590357544,36356,34868,3864
63779590357554,36064,34900,3856
63779590357564,35788,34900,3862
63779590357574,35532,34608,3860
63779590357584,35296,34613,3863
63779590357594,35082,34836,3862
63779590357604,34880,34786,3889
63779590357614,34653,34616,3863
63779590357624,34404,34868,3868
63779590357634,34135,34904,3859
63779590357644,33880,34996,3865
63779590357654,33644,34876,3869
63779590357664,33432,34774,3866
63779590357674,33232,35064,3865
63779590357684,33064,35078,3877
63779590357694,32925,35140,3864
63779590357704,32792,35160,3861
63779590357714,32674,35162,3864
63779590357724,32560,35172,3865
63779590357734,32462,35172,3863
63779590357744,32352,35198,3867
63779590357754,32252,35240,3865
63779590357764,32148,35333,3861
63779590357774,32029,35332,3862
63779590357784,31900,35190,3866
63779590357794,31762,35034,3862
63779590357804,31618,35309,3865
63779590357814,31477,35200,3859
63779590357824,31347,35137,3860
63779590357834,31232,35288,3860
63779590357844,31120,35232,3864
63779590357854,31016,35100,3862
63779590357864,30926,35236,3870
63779590357874,30846,34932,3857
63779590357884,30753,35306,3864
63779590357894,30684,35299,3857
63779590357904,30616,35144,3862
63779590357914,30564,35072,3866
63779590357924,30516,35112,3890
63779590357934,30468,35075,3864
63779590357944,30416,34923,3867
63779590357954,30372,34804,3864
63779590357964,30313,34953,3887
63779590357974,30262,35002,3863
63779590357984,30204,34913,3861
63779590357994,30152,34824,3861
63779590358004,30100,34904,3867
63779590358014,30038,34764,3864
63779590358024,29992,34640,3860
63779590358034,29952,34448,3880
63779590358044,29988,34462,3864
63779590358054,30096,34612,3859
63779590358064,30265,34592,3859
63779590358074,30442,34448,3860
63779590358084,30613,34689,3862
63779590358094,30725,34432,3860
63779590358104,30784,34665,3861
63779590358114,30796,34668,3861
63779590358124,30772,34682,3860
63779590358134,30736,34696,3868
63779590358144,30680,34512,3861
63779590358154,30616,34616,3867
63779590358164,30504,34656,3866
63779590358174,30352,34500,3858
63779590358184,30198,34560,3866
63779590358194,30084,34508,3858
63779590358204,30112,34517,3860
63779590358214,30416,34496,3860
63779590358224,31018,34398,3863
63779590358234,31883,34260,3862
63779590358244,32884,34496,3864
63779590358254,33904,34544,3860
63779590358264,34890,34456,3860
63779590358274,35738,34400,3858
63779590358284,36400,34440,3862
63779590358294,36892,34465,3860
63779590358304,37186,34752,3858
63779590358314,37272,34776,3859
63779590358324,37218,34780,3864
63779590358334,37068,34832,3881
63779590358344,36845,34680,3864
63779590358354,36556,34936,3867
63779590358364,36260,34944,3859
63779590358374,35978,35016,3865
63779590358384,35756,34809,3865
63779590358394,35580,35096,3861
63779590358404,35468,34920,3860
63779590358414,35369,35024,3855
63779590358424,35268,35204,3856
63779590358434,35108,35140,3867
63779590358444,34910,35520,3860
63779590358454,34682,35361,3867
63779590358464,34424,35420,3862
63779590358474,34148,35728,3866
63779590358484,33864,35708,3869
63779590358494,33576,36072,3857
63779590358504,33301,36096,3857
63779590358514,33028,36231,3860
63779590358524,32757,36269,3861
63779590358534,32481,36232,3862
63779590358544,32244,36506,3862
63779590358554,31998,36568,3862
63779590358564,31752,36564,3860
63779590358574,31512,36951,3860
63779590358584,31290,37048,3862
63779590358594,31079,37144,3854
63779590358604,30892,36896,3860
63779590358614,30706,37297,3860
63779590358624,30536,37245,3864
63779590358634,30378,37456,3862
63779590358644,30244,37676,3856
63779590358654,30150,37804,3861
63779590358664,30093,37865,3857
63779590358674,30052,38188,3858
63779590358684,30028,38032,3865
63779590358694,30018,38042,3852
63779590358704,30004,38636,3853
