OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
3222726,63779591105771,None,None,None
3222743,63779591105783,None,None,None
3222751,63779591105794,None,None,None
3222759,63779591105805,None,None,None
3222776,63779591105816,None,None,None
3222784,63779591105827,None,None,None
3222793,63779591105839,None,None,None
3222809,63779591105849,None,None,None
3222818,63779591105860,None,None,None
3222826,63779591105871,None,None,None
3222843,63779591105883,None,None,None
3222851,63779591105893,None,None,None
3222859,63779591105904,None,None,None
3222876,63779591105916,None,None,None
3222893,63779591105933,None,None,None
3222901,63779591105941,None,None,None
3222909,63779591105949,None,None,None
3222918,63779591105959,None,None,None
3222926,63779591105970,None,None,None
3222942,63779591105982,None,None,None
3222951,63779591105993,None,None,None
3222959,63779591106004,None,None,None
3222967,63779591106015,None,None,None
3222984,63779591106026,None,None,None
3222992,63779591106037,None,None,None
3223009,63779591106048,None,None,None
3223017,63779591106059,None,None,None
3223026,63779591106071,None,None,None
3223042,63779591106082,None,None,None
3223051,63779591106093,None,None,None
3223059,63779591106104,None,None,None
3223076,63779591106115,None,None,None
3223084,63779591106126,None,None,None
3223092,63779591106137,None,None,None
3223109,63779591106148,None,None,None
3223117,63779591106159,None,None,None
3223126,63779591106170,None,None,None
3223142,63779591106182,None,None,None
3223151,63779591106193,None,None,None
3223159,63779591106204,None,None,None
3223176,63779591106215,None,None,None
3223184,63779591106226,None,None,None
3223192,63779591106237,None,None,None
3223209,63779591106248,None,None,None
3223217,63779591106259,None,None,None
3223226,63779591106270,None,None,None
3223242,63779591106281,None,99_Bahnsteig_PF,99_Bahnsteig_PF
3223251,63779591106293,None,None,None
3223259,63779591106304,None,None,None
3223276,63779591106316,None,None,None
3223284,63779591106326,None,None,None
3223292,63779591106337,None,None,None
3223309,63779591106349,None,None,None
3223317,63779591106360,None,None,None
3223326,63779591106371,None,None,None
3223342,63779591106384,None,None,None
3223351,63779591106394,None,None,None
3223359,63779591106405,None,None,None
3223376,63779591106416,None,None,None
3223384,63779591106428,None,None,None
3223392,63779591106439,None,None,None
3223409,63779591106450,None,None,None
3223417,63779591106460,None,None,None
3223426,63779591106472,99_Bahnsteig_PF,None,99_Bahnsteig_PF
3223442,63779591106483,99_Bahnsteig_PF,None,99_Bahnsteig_PF
3223451,63779591106495,4_GroßeTreppe_Stairs,99_Bahnsteig_PF,99_Bahnsteig_PF
3223459,63779591106505,4_GroßeTreppe_Stairs,99_Bahnsteig_PF,99_Bahnsteig_PF
3223476,63779591106516,3_Rolltreppe_PF (2),99_Bahnsteig_PF,99_Bahnsteig_PF
3223484,63779591106528,4_GroßeTreppe_Stairs,99_Bahnsteig_PF,99_Bahnsteig_PF
3223492,63779591106538,3_Rolltreppe_PF (2),99_Bahnsteig_PF,4_GroßeTreppe_Stairs
3223509,63779591106550,3_Rolltreppe_PF (2),99_Bahnsteig_PF,4_GroßeTreppe_Stairs
3223517,63779591106561,3_Rolltreppe_PF (2),99_Bahnsteig_PF,4_GroßeTreppe_Stairs
3223525,63779591106572,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
3223542,63779591106583,4_GroßeTreppe_Handrails,Cube (1),3_Rolltreppe_PF
3223550,63779591106594,4_GroßeTreppe_Handrails,99_Bahnsteig_PF,Cube (1)
3223559,63779591106605,4_GroßeTreppe_Handrails,99_Bahnsteig_PF,3_Rolltreppe_PF
3223575,63779591106616,4_GroßeTreppe_Handrails,99_Bahnsteig_PF,4_GroßeTreppe_Stairs
3223584,63779591106627,4_GroßeTreppe_Handrails,99_Bahnsteig_PF,4_GroßeTreppe_Stairs
3223592,63779591106639,3_Rolltreppe_PF (2),99_Bahnsteig_PF,4_GroßeTreppe_Stairs
3223609,63779591106650,Cube (1),99_Bahnsteig_PF,4_GroßeTreppe_Stairs
3223617,63779591106661,Cube (1),99_Bahnsteig_PF,4_GroßeTreppe_Stairs
3223625,63779591106671,Cube (1),99_Bahnsteig_PF,4_GroßeTreppe_Stairs
3223642,63779591106683,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
3223650,63779591106694,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
3223659,63779591106705,Cube (1),99_Bahnsteig_PF,3_Rolltreppe_PF (2)
3223675,63779591106717,Cube (1),99_Bahnsteig_PF,3_Rolltreppe_PF (2)
3223684,63779591106727,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
3223692,63779591106739,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
3223709,63779591106750,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
3223717,63779591106761,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
3223725,63779591106772,Cube (1),99_Bahnsteig_PF,Cube (1)
3223742,63779591106783,Cube (1),99_Bahnsteig_PF,Cube (1)
3223750,63779591106794,Cube (1),99_Bahnsteig_PF,Cube (1)
3223759,63779591106806,Cube (1),99_Bahnsteig_PF,Cube (1)
3223775,63779591106818,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
3223784,63779591106827,Cube (1),99_Bahnsteig_PF,Cube (1)
3223792,63779591106838,Cube (1),99_Bahnsteig_PF,Cube (1)
