OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
3415959,63779591299003,None,None,None
3415967,63779591299011,None,None,None
3415967,63779591299015,None,None,None
3415976,63779591299019,None,None,None
3415976,63779591299024,None,None,None
3415984,63779591299033,None,None,None
3416001,63779591299044,None,None,None
3416009,63779591299055,None,None,None
3416017,63779591299066,None,None,None
3416034,63779591299077,None,None,None
3416042,63779591299088,None,None,None
3416051,63779591299100,None,None,None
3416067,63779591299111,None,None,None
3416076,63779591299122,None,None,None
3416084,63779591299133,None,None,None
3416101,63779591299144,None,None,None
3416109,63779591299155,None,None,None
3416117,63779591299166,None,None,None
3416134,63779591299177,None,None,None
3416142,63779591299188,None,None,None
3416151,63779591299200,None,None,None
3416167,63779591299211,None,None,None
3416176,63779591299224,None,None,None
3416184,63779591299233,None,None,None
3416201,63779591299244,None,None,None
3416209,63779591299255,None,None,None
3416217,63779591299266,None,None,None
3416234,63779591299277,None,None,None
3416242,63779591299289,None,None,None
3416251,63779591299299,None,None,None
3416267,63779591299311,None,None,None
3416276,63779591299321,None,None,None
3416284,63779591299333,None,None,None
3416301,63779591299344,None,None,None
3416309,63779591299355,None,None,None
3416317,63779591299366,None,None,None
3416334,63779591299377,None,None,None
3416342,63779591299388,None,None,None
3416350,63779591299400,None,None,None
3416367,63779591299410,None,None,None
3416375,63779591299421,None,None,None
3416384,63779591299432,None,None,None
3416400,63779591299444,None,None,None
3416409,63779591299455,None,None,None
3416417,63779591299466,None,None,None
3416434,63779591299477,None,None,None
3416442,63779591299488,None,None,None
3416450,63779591299499,None,None,None
3416467,63779591299511,None,None,None
3416475,63779591299521,None,None,None
3416484,63779591299533,None,None,None
3416500,63779591299544,None,None,None
3416509,63779591299555,None,None,None
3416517,63779591299566,None,None,None
3416534,63779591299578,None,None,None
3416542,63779591299588,None,None,None
3416550,63779591299599,None,None,None
3416567,63779591299610,None,None,None
3416575,63779591299622,None,None,None
3416592,63779591299633,None,None,None
3416600,63779591299644,None,None,None
3416609,63779591299655,None,None,None
3416625,63779591299666,None,None,None
3416634,63779591299677,None,None,None
3416642,63779591299688,None,None,None
3416659,63779591299704,None,None,None
3416675,63779591299716,None,None,None
3416684,63779591299727,None,None,None
3416692,63779591299737,None,None,None
3416700,63779591299749,None,None,None
3416717,63779591299760,None,None,None
3416725,63779591299771,None,None,None
3416734,63779591299782,None,None,None
3416750,63779591299793,None,None,None
3416759,63779591299804,None,None,None
3416767,63779591299815,None,None,None
3416784,63779591299826,None,None,None
3416792,63779591299838,None,None,None
3416800,63779591299848,None,None,None
3416817,63779591299860,None,None,None
3416825,63779591299871,None,None,None
3416834,63779591299882,None,None,None
3416850,63779591299893,None,None,None
3416859,63779591299904,None,None,None
3416867,63779591299915,None,None,None
3416884,63779591299926,None,None,None
3416892,63779591299938,None,None,None
3416909,63779591299949,None,None,None
3416917,63779591299960,None,None,None
3416925,63779591299971,None,None,None
3416942,63779591299982,None,None,None
3416950,63779591299993,None,None,None
3416959,63779591300004,None,None,None
3416967,63779591300015,None,None,None
3416984,63779591300026,None,None,None
3416992,63779591300038,None,None,None
3417009,63779591300049,None,None,None
3417017,63779591300060,None,None,None
3417025,63779591300071,None,None,None
3417034,63779591300082,None,None,None
3417050,63779591300094,None,None,None
3417059,63779591300104,None,None,None
3417067,63779591300115,None,None,None
3417084,63779591300126,None,None,None
3417092,63779591300137,None,None,None
3417100,63779591300148,None,None,None
3417117,63779591300160,None,None,None
3417125,63779591300171,None,None,None
3417142,63779591300182,None,None,None
3417150,63779591300193,None,None,None
3417159,63779591300204,None,None,None
3417175,63779591300215,None,None,None
3417184,63779591300226,None,None,None
3417192,63779591300237,None,None,None
3417200,63779591300249,None,None,None
3417217,63779591300259,None,None,None
3417225,63779591300271,None,None,None
3417234,63779591300282,None,None,None
3417250,63779591300293,None,None,None
3417259,63779591300304,None,None,None
3417267,63779591300315,None,None,None
3417284,63779591300327,None,None,None
3417292,63779591300337,None,None,None
3417300,63779591300348,None,None,None
3417317,63779591300360,None,None,None
3417325,63779591300370,None,None,None
3417334,63779591300382,None,None,None
3417350,63779591300393,None,None,None
3417359,63779591300404,None,None,None
3417367,63779591300414,None,None,None
3417384,63779591300426,None,None,None
3417392,63779591300437,None,None,None
3417400,63779591300449,None,None,None
3417417,63779591300459,None,None,None
3417425,63779591300470,None,None,None
3417434,63779591300482,None,None,None
3417450,63779591300493,None,None,None
3417459,63779591300504,None,None,None
3417467,63779591300515,None,None,None
3417484,63779591300526,None,None,None
3417492,63779591300537,None,None,None
3417500,63779591300548,None,None,None
3417517,63779591300559,None,None,None
3417525,63779591300571,None,None,None
3417534,63779591300582,None,None,None
3417550,63779591300593,None,None,None
3417559,63779591300604,None,None,None
3417567,63779591300615,None,None,None
3417584,63779591300626,None,None,None
3417592,63779591300637,None,None,None
3417600,63779591300648,None,None,None
3417617,63779591300659,None,None,None
3417625,63779591300671,None,None,None
3417634,63779591300681,None,None,None
3417650,63779591300693,None,None,None
3417659,63779591300704,None,None,None
3417667,63779591300715,None,None,None
3417684,63779591300726,None,None,None
3417692,63779591300737,None,None,None
3417700,63779591300748,None,None,None
3417717,63779591300759,None,None,None
3417725,63779591300770,None,None,None
3417734,63779591300782,None,None,None
3417750,63779591300792,None,None,None
3417759,63779591300804,None,None,None
3417767,63779591300815,None,None,None
3417784,63779591300826,None,None,None
3417792,63779591300837,None,None,None
3417800,63779591300848,None,None,None
3417817,63779591300859,None,None,None
3417834,63779591300879,None,None,None
3417842,63779591300883,None,None,None
3417850,63779591300892,None,None,None
3417859,63779591300903,None,None,None
3417867,63779591300914,None,None,None
3417884,63779591300926,None,None,None
3417892,63779591300937,None,None,None
3417900,63779591300948,None,None,None
3417917,63779591300959,None,None,None
3417925,63779591300970,None,None,None
3417934,63779591300981,None,None,None
3417950,63779591300993,None,None,None
3417959,63779591301004,None,None,None
