OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
3836343,63779591719392,None,None,None
3836351,63779591719403,None,None,None
3836368,63779591719414,None,None,None
3836376,63779591719425,None,None,None
3836384,63779591719436,None,None,None
3836401,63779591719447,None,None,None
3836409,63779591719458,None,None,None
3836418,63779591719470,None,None,None
3836434,63779591719484,None,None,None
3836443,63779591719495,None,None,None
3836451,63779591719502,None,None,None
3836468,63779591719514,None,None,None
3836476,63779591719525,None,None,None
3836493,63779591719541,None,None,None
3836501,63779591719547,None,None,None
3836509,63779591719555,None,None,None
3836518,63779591719566,None,None,None
3836534,63779591719580,None,None,None
3836543,63779591719589,None,None,None
3836551,63779591719600,None,None,None
3836559,63779591719611,None,None,None
3836576,63779591719622,None,None,None
3836584,63779591719633,None,None,None
3836593,63779591719644,None,None,None
3836609,63779591719655,None,None,None
3836618,63779591719666,None,None,None
3836626,63779591719677,None,None,None
3836643,63779591719689,None,None,None
3836651,63779591719699,None,None,None
3836659,63779591719711,None,None,None
3836676,63779591719722,None,None,None
3836684,63779591719733,None,None,None
3836693,63779591719744,None,None,None
3836709,63779591719755,None,None,None
3836718,63779591719766,None,None,None
3836726,63779591719778,99_Bahnsteig_PF,None,None
3836743,63779591719789,None,None,None
3836751,63779591719799,None,None,None
3836759,63779591719811,None,None,None
3836776,63779591719822,None,None,None
3836784,63779591719833,None,None,None
3836792,63779591719844,None,None,None
3836809,63779591719855,None,None,None
3836817,63779591719866,None,None,None
3836826,63779591719878,None,None,None
3836842,63779591719888,None,None,None
3836851,63779591719900,None,None,None
3836859,63779591719911,None,None,None
3836876,63779591719923,None,None,None
3836884,63779591719934,None,None,None
3836901,63779591719945,None,None,None
3836909,63779591719956,None,None,None
3836917,63779591719967,None,None,None
3836934,63779591719979,None,None,None
3836942,63779591719990,None,None,None
3836951,63779591720001,None,None,None
3836967,63779591720013,None,None,None
3836976,63779591720024,None,None,None
3836984,63779591720035,None,None,None
3837001,63779591720046,None,None,None
3837009,63779591720058,None,None,None
3837017,63779591720069,None,None,None
3837034,63779591720080,None,None,None
3837042,63779591720091,None,None,None
3837051,63779591720102,None,None,None
3837067,63779591720113,None,None,None
3837076,63779591720124,None,None,None
3837084,63779591720135,None,None,None
3837101,63779591720146,None,None,None
3837109,63779591720158,None,None,None
3837118,63779591720169,None,None,None
3837134,63779591720180,None,None,None
3837143,63779591720191,None,None,None
3837151,63779591720202,None,None,None
3837168,63779591720219,None,None,None
3837184,63779591720234,None,None,None
3837193,63779591720244,None,None,None
3837209,63779591720255,None,None,None
3837218,63779591720266,None,None,None
3837226,63779591720277,None,None,None
3837243,63779591720289,None,None,None
3837251,63779591720300,None,None,None
3837268,63779591720311,None,None,None
3837276,63779591720322,None,None,None
3837284,63779591720334,None,None,None
3837293,63779591720344,None,None,None
3837309,63779591720356,None,None,None
3837318,63779591720366,None,None,None
3837334,63779591720378,None,None,None
3837343,63779591720389,None,None,None
3837351,63779591720400,None,None,None
3837359,63779591720411,None,None,None
3837376,63779591720423,None,None,None
3837384,63779591720434,None,None,None
3837401,63779591720445,None,None,None
3837409,63779591720456,None,None,None
3837418,63779591720467,99_Bahnsteig_PF,None,None
3837434,63779591720478,99_Bahnsteig_PF,None,None
3837443,63779591720489,None,None,None
3837451,63779591720500,None,99_Bahnsteig_PF,None
3837467,63779591720511,None,99_Bahnsteig_PF,99_Bahnsteig_PF
3837476,63779591720523,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3837484,63779591720534,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3837492,63779591720545,None,99_Bahnsteig_PF,99_Bahnsteig_PF
3837509,63779591720556,None,None,None
3837517,63779591720567,None,None,None
3837534,63779591720579,None,None,None
3837542,63779591720590,None,None,None
3837551,63779591720601,None,None,None
3837567,63779591720612,None,None,None
3837576,63779591720624,None,None,None
3837584,63779591720635,None,None,None
3837601,63779591720647,None,None,None
3837609,63779591720657,None,None,None
3837617,63779591720669,None,None,None
3837634,63779591720680,None,None,None
3837642,63779591720691,None,None,None
3837651,63779591720703,None,None,None
3837667,63779591720714,None,None,None
3837676,63779591720725,None,None,None
3837684,63779591720736,Cube (1),None,Cube (1)
3837701,63779591720747,Cube (1),99_Bahnsteig_PF,MetallAbgrenzung
3837709,63779591720758,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
3837726,63779591720770,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
3837734,63779591720781,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
3837742,63779591720792,Cube (1),99_Bahnsteig_PF,99_Bahnsteig_PF
3837751,63779591720802,Cube (1),99_Bahnsteig_PF,3_Rolltreppe_PF
3837767,63779591720814,3_Rolltreppe_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3837775,63779591720825,3_Rolltreppe_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3837792,63779591720836,4_GroßeTreppe_Stairs,99_Bahnsteig_PF,99_Bahnsteig_PF
3837800,63779591720847,4_GroßeTreppe_Handrails,99_Bahnsteig_PF,99_Bahnsteig_PF
3837809,63779591720859,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3837825,63779591720870,Cube (1),99_Bahnsteig_PF,3_Rolltreppe_PF (2)
3837834,63779591720880,Ecke,Cube (1),Cube (1)
3837842,63779591720891,Cube (1),99_Bahnsteig_PF,Cube (1)
3837850,63779591720902,Cube (1),Cube (1),Cube (1)
3837867,63779591720914,Cube (1),Cube (1),Cube (1)
3837875,63779591720925,Cube (1),99_Bahnsteig_PF,Cube (1)
3837892,63779591720936,Cube (1),99_Bahnsteig_PF,Cube (1)
3837900,63779591720947,Cube (1),99_Bahnsteig_PF,Cube (1)
3837909,63779591720958,Cube (1),99_Bahnsteig_PF,Cube (1)
3837917,63779591720969,None,None,None
3837934,63779591720980,Cube (1),99_Bahnsteig_PF,Cube (1)
3837942,63779591720991,None,None,None
3837950,63779591721002,None,None,None
3837967,63779591721013,None,None,None
3837975,63779591721025,None,None,None
3837984,63779591721036,None,None,None
3838000,63779591721048,None,None,None
3838009,63779591721058,None,None,None
3838017,63779591721069,None,None,None
3838034,63779591721080,None,None,None
3838042,63779591721091,None,None,None
3838050,63779591721102,None,None,None
3838067,63779591721114,None,99_Bahnsteig_PF,99_Bahnsteig_PF
3838075,63779591721125,None,99_Bahnsteig_PF,99_Bahnsteig_PF
3838100,63779591721147,None,99_Bahnsteig_PF,99_Bahnsteig_PF
3838109,63779591721158,None,99_Bahnsteig_PF,99_Bahnsteig_PF
3838117,63779591721169,None,99_Bahnsteig_PF,99_Bahnsteig_PF
3838134,63779591721180,None,None,None
3838142,63779591721191,None,None,None
3838150,63779591721202,None,None,None
3838167,63779591721213,None,None,None
3838175,63779591721226,None,None,None
3838184,63779591721235,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3838200,63779591721246,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3838209,63779591721256,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
