OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
4051946,63779591926440,-15.51627,2.607779,-0.5792298,-0.1452476,0.8074796,-0.100559,-0.562821,0.005176209,0.002186188,-0.02270786,-0.1589355,0.02038574,0.9870758,0.03159674,0.003341675,-0.0227894,0.03159674,0.003341675,-0.0227894,-0.1387177,0.02064514,0.9901123,-0.1387177,0.02064514,0.9901123,4.095169,4.095169,True,True,True
4051954,63779591934994,-15.27281,2.310749,-0.2958583,0.01548414,0.994222,-0.09939809,-0.03745648,0.01141487,0.002490311,-0.02280524,-0.1502991,0.02526855,0.9883118,0.03159564,0.003340119,-0.02278917,0.03159564,0.003340119,-0.02278917,-0.136322,0.02320862,0.990387,-0.136322,0.02320862,0.990387,4.103195,4.103195,True,True,True
4051962,63779591935004,-15.27317,2.310584,-0.295715,0.01495192,0.9941146,-0.1008956,-0.03650767,0.02138692,0.002913574,-0.02280273,-0.1406097,0.0236969,0.9897766,0.0315931,0.003340119,-0.02278963,0.0315931,0.003340119,-0.02278963,-0.1333466,0.02368164,0.9907837,-0.1333466,0.02368164,0.9907837,4.097488,4.097488,True,True,True
4051971,63779591935015,-15.27352,2.310345,-0.2955789,0.01432488,0.9940065,-0.1023583,-0.0356189,0.02917752,0.003244736,-0.02280176,-0.1344452,0.02348328,0.9906311,0.0315892,0.003343231,-0.02279061,0.0315892,0.003343231,-0.02279061,-0.1328278,0.02349854,0.9908447,-0.1328278,0.02349854,0.9908447,4.102737,4.102737,True,True,True
4051979,63779591935015,-15.27352,2.310345,-0.2955789,0.01432488,0.9940065,-0.1023583,-0.0356189,0.03103842,0.003321381,-0.02279572,-0.1298065,0.02635193,0.9911804,0.03158536,0.003343354,-0.02279215,0.03158536,0.003343354,-0.02279215,-0.129425,0.02639771,0.9912262,-0.129425,0.02639771,0.9912262,4.130798,4.130798,True,True,True
4051987,63779591935027,-15.27382,2.310148,-0.2953936,0.01347324,0.993898,-0.1037581,-0.03492269,0.03139392,0.003340271,-0.02279544,-0.1290436,0.02586365,0.9912872,0.0315849,0.00334787,-0.02279393,0.0315849,0.00334787,-0.02279393,-0.1289063,0.02587891,0.9913025,-0.1289063,0.02587891,0.9913025,4.135773,4.135773,True,True,True
4051996,63779591935038,-15.27414,2.309901,-0.2953151,0.01227608,0.9937924,-0.1051382,-0.03423359,0.03147368,0.003348785,-0.02279593,-0.1294556,0.02622986,0.9912262,0.03158142,0.003353089,-0.02279512,0.03158142,0.003353089,-0.02279512,-0.1293793,0.02624512,0.9912415,-0.1293793,0.02624512,0.9912415,4.140076,4.140076,True,True,True
4052004,63779591935049,-15.27444,2.309595,-0.2952203,0.01086948,0.9936894,-0.1064535,-0.03362852,0.03147568,0.003349304,-0.02279781,-0.1311798,0.02697754,0.9909821,0.03157256,0.003353195,-0.02279712,0.03157256,0.003353195,-0.02279712,-0.1311188,0.0269928,0.9909973,-0.1311188,0.0269928,0.9909973,4.140747,4.140747,True,True,True
4052012,63779591935049,-15.27444,2.309595,-0.2952203,0.01086948,0.9936894,-0.1064535,-0.03362852,0.03136714,0.00334758,-0.02280754,-0.131424,0.02807617,0.990921,0.03156414,0.003355499,-0.02280625,0.03156414,0.003355499,-0.02280625,-0.1313019,0.02810669,0.9909363,-0.1313019,0.02810669,0.9909363,4.140961,4.140961,True,True,True
4052021,63779591935060,-15.2747,2.309289,-0.2951962,0.009388497,0.9935703,-0.1078085,-0.03327236,0.03071204,0.003325959,-0.02281711,-0.1317749,0.0272522,0.9908905,0.03155905,0.003360062,-0.02281197,0.03155905,0.003360062,-0.02281197,-0.1312561,0.02738953,0.9909668,-0.1312561,0.02738953,0.9909668,4.140488,4.140488,True,True,True
