UnityTS,heart,breath,GSR
63779592589803,33700,47864,3671
63779592589813,33640,48200,3683
63779592589823,33570,48324,3670
63779592589833,33499,48304,3678
63779592589843,33429,48534,3675
63779592589853,33340,48672,3672
63779592589863,33252,48888,3680
63779592589873,33148,48908,3676
63779592589883,33069,49028,3673
63779592589893,33016,49152,3678
63779592589903,32962,49236,3669
63779592589913,32922,49425,3672
63779592589923,32896,49444,3691
63779592589933,32856,49429,3678
63779592589943,32823,49476,3673
63779592589953,32804,49338,3672
63779592589963,32792,49600,3680
63779592589973,32761,49724,3678
63779592589983,32753,49760,3673
63779592589993,32726,49792,3705
63779592590003,32724,49760,3670
63779592590013,32716,49880,3674
63779592590023,32701,49744,3670
63779592590033,32690,49620,3669
63779592590043,32670,49700,3671
63779592590053,32654,49576,3672
63779592590063,32640,49632,3704
63779592590073,32640,49612,3674
63779592590083,32632,49636,3678
63779592590093,32606,49585,3670
63779592590103,32577,49614,3689
63779592590113,32552,49501,3674
63779592590123,32532,49296,3672
63779592590133,32524,49420,3668
63779592590143,32484,49252,3675
63779592590153,32435,49144,3672
63779592590163,32376,49182,3676
63779592590173,32304,49112,3671
63779592590183,32242,48912,3674
63779592590193,32192,49048,3671
63779592590203,32159,48816,3670
63779592590213,32152,48680,3669
63779592590223,32144,48752,3673
63779592590233,32152,48618,3671
63779592590243,32208,48648,3695
63779592590253,32346,48468,3675
63779592590263,32616,48347,3676
63779592590273,32988,48278,3678
63779592590283,33442,48058,3670
63779592590293,33918,47960,3679
63779592590303,34377,47912,3674
63779592590313,34793,47808,3677
63779592590323,35148,47668,3672
63779592590333,35408,47628,3675
63779592590343,35564,47440,3649
63779592590353,35620,47146,3669
63779592590363,35588,46834,3676
63779592590373,35530,46840,3680
63779592590383,35417,46648,3669
63779592590393,35288,46472,3681
63779592590403,35150,46008,3676
63779592590413,34976,45856,3674
63779592590423,34834,45712,3671
63779592590433,34720,45332,3672
63779592590443,34650,45224,3672
63779592590453,34570,44884,3675
63779592590463,34470,44592,3676
63779592590473,34362,44348,3686
63779592590483,34252,44106,3678
63779592590493,34154,43948,3677
63779592590503,34058,43569,3674
63779592590513,33988,43285,3673
63779592590523,33940,42952,3676
63779592590533,33914,42816,3672
63779592590543,33922,42169,3684
63779592590553,33924,41860,3677
63779592590563,33922,41688,3663
63779592590573,33906,41560,3674
63779592590583,33896,41320,3673
63779592590593,33868,41073,3673
63779592590603,33829,40732,3677
63779592590613,33776,40400,3675
63779592590623,33713,40216,3674
63779592590633,33616,39884,3679
63779592590643,33520,39432,3691
63779592590653,33420,39378,3678
63779592590663,33328,39152,3676
63779592590673,33216,38617,3682
63779592590683,33104,38586,3675
63779592590693,32968,38216,3680
63779592590703,32846,38096,3683
63779592590713,32746,37880,3684
63779592590723,32688,37623,3677
63779592590733,32616,37344,3678
63779592590743,32554,37175,3684
63779592590753,32496,36954,3676
63779592590763,32442,36737,3678
63779592590773,32387,36437,3686
63779592590783,32325,36212,3679
63779592590793,32268,36208,3700
63779592590803,32228,36050,3684
63779592590813,32190,35464,3678
63779592590823,32164,35472,3676
63779592590833,32130,35106,3679
63779592590843,32088,35280,3681
63779592590853,32048,35000,3678
63779592590863,32002,34752,3678
63779592590873,31972,34716,3682
63779592590883,31948,34484,3682
63779592590893,31898,34362,3701
63779592590903,31848,34148,3678
63779592590913,31792,33984,3681
63779592590923,31748,33723,3677
63779592590933,31714,33444,3677
63779592590943,31664,33496,3676
63779592590953,31622,33272,3683
63779592590963,31576,33034,3683
63779592590973,31536,32802,3687
63779592590983,31497,32864,3680
63779592590993,31464,32757,3678
63779592591003,31466,32365,3679
63779592591013,31556,32214,3683
63779592589847,33700,47864,3671
63779592589857,33640,48200,3683
63779592589867,33570,48324,3670
63779592589877,33499,48304,3678
63779592589887,33429,48534,3675
63779592589897,33340,48672,3672
63779592589907,33252,48888,3680
63779592589917,33148,48908,3676
63779592589927,33069,49028,3673
63779592589937,33016,49152,3678
63779592589947,32962,49236,3669
63779592589957,32922,49425,3672
63779592589967,32896,49444,3691
63779592589977,32856,49429,3678
63779592589987,32823,49476,3673
63779592589997,32804,49338,3672
63779592590007,32792,49600,3680
63779592590017,32761,49724,3678
63779592590027,32753,49760,3673
63779592590037,32726,49792,3705
63779592590047,32724,49760,3670
63779592590057,32716,49880,3674
63779592590067,32701,49744,3670
63779592590077,32690,49620,3669
63779592590087,32670,49700,3671
63779592590097,32654,49576,3672
63779592590107,32640,49632,3704
63779592590117,32640,49612,3674
63779592590127,32632,49636,3678
63779592590137,32606,49585,3670
63779592590147,32577,49614,3689
63779592590157,32552,49501,3674
63779592590167,32532,49296,3672
63779592590177,32524,49420,3668
63779592590187,32484,49252,3675
63779592590197,32435,49144,3672
63779592590207,32376,49182,3676
63779592590217,32304,49112,3671
63779592590227,32242,48912,3674
63779592590237,32192,49048,3671
63779592590247,32159,48816,3670
63779592590257,32152,48680,3669
63779592590267,32144,48752,3673
63779592590277,32152,48618,3671
63779592590287,32208,48648,3695
63779592590297,32346,48468,3675
63779592590307,32616,48347,3676
63779592590317,32988,48278,3678
63779592590327,33442,48058,3670
63779592590337,33918,47960,3679
63779592590347,34377,47912,3674
63779592590357,34793,47808,3677
63779592590367,35148,47668,3672
63779592590377,35408,47628,3675
63779592590387,35564,47440,3649
63779592590397,35620,47146,3669
