UnityTS,heart,breath,GSR
63779586547863,30776,23345,3055
63779586547873,30628,23264,3057
63779586546903,30776,23345,3055
63779586546913,30628,23264,3057
63779586546923,30488,23276,3058
63779586546933,30372,23243,3058
63779586546943,30260,23224,3056
63779586546953,30160,23156,3063
63779586546963,30073,23148,3062
63779586546973,30004,23138,3066
63779586546983,29948,23144,3063
63779586546993,29925,23132,3076
63779586547003,29896,23144,3071
63779586547013,29860,23136,3086
63779586547023,29828,23160,3065
63779586547033,29816,23241,3066
63779586547043,29796,23273,3072
63779586547053,29784,23280,3069
63779586547063,29762,23270,3076
63779586547073,29729,23240,3068
63779586547083,29698,23268,3075
63779586547093,29640,23269,3068
63779586547103,29600,23308,3066
63779586547113,29538,23320,3068
63779586547123,29494,23354,3072
63779586547133,29461,23371,3070
63779586547143,29448,23416,3064
63779586547153,29472,23438,3065
63779586547163,29572,23472,3062
63779586547173,29804,23580,3068
63779586547183,30184,23688,3064
63779586547193,30674,23844,3059
63779586547203,31241,24054,3059
63779586547213,31864,24228,3058
63779586547223,32444,24500,3056
63779586547233,32976,24670,3068
63779586547243,33432,24935,3059
63779586547253,33768,25176,3060
63779586547263,33986,25384,3060
63779586547273,34104,25696,3065
63779586547283,34128,25884,3069
63779586547293,34061,26164,3063
63779586547303,33954,26433,3060
63779586547313,33808,26740,3061
63779586547323,33648,27056,3060
63779586547333,33485,27412,3059
63779586547343,33328,27746,3063
63779586547353,33161,28148,3074
63779586547363,33009,28468,3060
63779586547373,32848,28878,3066
63779586547383,32699,29282,3064
63779586547393,32560,29620,3066
63779586547403,32456,30084,3070
63779586547413,32360,30512,3063
63779586547423,32298,30733,3076
63779586547433,32252,31356,3056
63779586547443,32212,31729,3061
63779586547453,32188,32209,3059
63779586547463,32173,32352,3057
63779586547473,32168,32976,3059
63779586547483,32152,33205,3061
63779586547493,32114,33729,3055
63779586547503,32084,34052,3059
63779586547513,32049,34332,3057
63779586547523,31992,34740,3055
63779586547533,31932,35136,3059
63779586547543,31856,35450,3048
63779586547553,31788,35773,3065
63779586547563,31708,36249,3057
63779586547573,31616,36388,3062
63779586547583,31528,36785,3054
63779586547593,31445,37048,3061
63779586547603,31364,37178,3059
63779586547613,31280,37744,3075
63779586547623,31208,37616,3056
63779586547633,31136,38128,3068
63779586547643,31064,38346,3063
63779586547653,31016,38920,3061
63779586547663,30965,39080,3057
63779586547673,30928,38996,3059
63779586547683,30888,39440,3057
63779586547693,30846,39988,3060
63779586547703,30824,39746,3070
63779586547713,30808,40488,3059
63779586547723,30800,40712,3058
63779586547733,30788,40584,3073
63779586547743,30776,41132,3056
63779586547753,30782,41376,3070
63779586547763,30776,41488,3062
63779586547773,30764,41528,3057
63779586547783,30752,41908,3053
63779586547793,30744,41708,3055
63779586547803,30760,42112,3051
63779586547813,30768,42485,3053
63779586547823,30779,42392,3068
63779586547833,30816,42840,3069
63779586547843,30904,42848,3050
63779586547853,31088,43128,3059
63779586547863,31426,43292,3062
63779586547873,31904,43320,3048
63779586547883,32520,43656,3048
63779586547893,33240,43800,3065
63779586547903,34008,43929,3071
63779586547913,34776,43945,3052
63779586547923,35517,44127,3054
63779586547933,36216,44226,3055
63779586547943,36840,44496,3053
63779586547953,37416,44560,3051
63779586547963,37930,44724,3070
63779586547973,38380,44964,3055
63779586547983,38696,44962,3046
63779586547993,38832,45004,3079
63779586548003,38813,45260,3049
63779586548013,38664,45208,3049
63779586548023,38401,45360,3051
63779586548033,38114,45436,3052
63779586548043,37796,45544,3051
63779586548053,37504,45600,3064
63779586548063,37196,45548,3048
63779586548073,36900,45740,3052
63779586548083,36618,45788,3047
63779586548093,36334,45752,3052
63779586548103,36092,45744,3047
63779586548113,35880,45800,3045
63779586548123,35716,45797,3045
63779586548133,35585,45928,3058
63779586548143,35492,46048,3056
63779586548153,35364,45912,3057
63779586548163,35052,45872,3050
63779586548173,34640,46132,3051
63779586548183,34217,45940,3052
63779586548193,33792,45944,3046
63779586548203,33389,46140,3050
63779586548213,32988,46208,3062
63779586548223,32594,46260,3050
63779586548233,32252,46041,3054
63779586548243,31950,46080,3051
63779586548253,31709,46192,3048
63779586548263,31486,46264,3054
63779586548273,31292,46084,3046
63779586548283,31116,46068,3050
63779586548293,30964,45984,3045
63779586548303,30840,45980,3045
63779586548313,30736,45888,3047
63779586548323,30644,45836,3051
63779586548333,30568,45744,3048
63779586548343,30500,45677,3055
63779586548353,30452,45688,3062
63779586548363,30400,45434,3048
63779586548373,30359,45460,3062
63779586548383,30332,45232,3047
63779586548393,30302,44796,3052
63779586548403,30296,44928,3046
63779586548413,30288,44872,3050
63779586548423,30292,44504,3060
63779586548433,30305,44480,3048
63779586548443,30309,44224,3045
63779586548453,30312,44040,3072
63779586548463,30322,43724,3049
63779586548473,30322,43660,3051
63779586548483,30333,43336,3048
63779586548493,30340,43316,3064
63779586548503,30374,43104,3052
63779586548513,30482,42644,3055
63779586548523,30689,42418,3050
63779586548533,31038,42432,3057
63779586548543,31520,42136,3063
63779586548553,32084,41844,3054
63779586548563,32676,41784,3060
63779586548573,33260,41327,3062
63779586548583,33794,41300,3065
63779586548593,34252,40760,3059
63779586548603,34596,40608,3050
63779586548613,34840,40392,3057
63779586548623,34976,40056,3076
63779586548633,35020,39840,3061
63779586548643,34970,39668,3060
63779586548653,34856,39396,3056
63779586548663,34730,38981,3070
63779586548673,34560,38841,3053
63779586548683,34388,38418,3051
63779586548693,34224,38198,3055
63779586548703,34072,37912,3055
63779586548713,33928,37656,3056
63779586548723,33776,37276,3080
63779586548733,33624,36994,3052
63779586548743,33488,36706,3056
63779586548753,33346,36488,3052
63779586548763,33246,36380,3059
63779586548773,33150,36102,3056
63779586548783,33080,35756,3069
63779586548793,33020,35265,3064
63779586548803,32964,35048,3065
63779586548813,32940,34820,3079
63779586548823,32904,34750,3058
63779586548833,32880,34664,3062
63779586548843,32844,34456,3062
63779586548853,32800,34220,3057
63779586548863,32733,34208,3053
63779586548873,32680,34152,3059
63779586548883,32612,33864,3056
63779586546903,30776,23345,3055
63779586546913,30628,23264,3057
63779586546923,30488,23276,3058
63779586546933,30372,23243,3058
63779586546943,30260,23224,3056
63779586546953,30160,23156,3063
63779586546963,30073,23148,3062
63779586546973,30004,23138,3066
63779586546983,29948,23144,3063
63779586546993,29925,23132,3076
63779586547003,29896,23144,3071
63779586547013,29860,23136,3086
63779586547023,29828,23160,3065
63779586547033,29816,23241,3066
63779586547043,29796,23273,3072
