OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
3293027,63779586881072,None,None,None
3293035,63779586881081,None,None,None
3293043,63779586881086,None,None,None
3293043,63779586881090,None,None,None
3293060,63779586881099,None,None,None
3293068,63779586881110,None,None,None
3293077,63779586881121,None,None,None
3293085,63779586881132,None,None,None
3293102,63779586881143,None,None,None
3293110,63779586881154,None,None,None
3293118,63779586881165,None,None,None
3293135,63779586881176,None,None,None
3293143,63779586881188,None,None,None
3293152,63779586881199,None,None,None
3293168,63779586881210,None,None,None
3293177,63779586881221,None,None,None
3293185,63779586881232,None,None,None
3293202,63779586881243,None,None,None
3293210,63779586881254,None,None,None
3293218,63779586881265,None,None,None
3293235,63779586881277,None,None,None
3293243,63779586881290,None,None,None
3293252,63779586881299,None,None,None
3293268,63779586881310,None,None,None
3293277,63779586881321,None,None,None
3293285,63779586881332,None,None,None
3293302,63779586881344,None,None,None
3293310,63779586881354,None,None,None
3293318,63779586881365,None,None,None
3293335,63779586881377,None,None,None
3293343,63779586881387,None,None,None
3293360,63779586881400,None,None,None
3293368,63779586881411,None,None,None
3293377,63779586881422,None,None,None
3293385,63779586881433,None,None,None
3293402,63779586881444,None,None,None
3293410,63779586881455,None,None,None
3293418,63779586881466,None,None,None
3293435,63779586881477,None,None,None
3293443,63779586881488,None,None,None
3293452,63779586881500,None,None,None
3293468,63779586881511,None,None,None
3293477,63779586881522,None,None,None
3293485,63779586881533,None,None,None
3293502,63779586881544,None,None,None
3293510,63779586881555,None,None,None
3293518,63779586881566,None,None,None
3293535,63779586881577,None,None,None
3293543,63779586881588,None,None,None
3293552,63779586881599,None,None,None
3293568,63779586881610,None,None,None
3293577,63779586881621,None,None,None
3293585,63779586881632,None,None,None
3293602,63779586881643,None,None,None
3293610,63779586881654,None,None,None
3293618,63779586881665,None,None,None
3293635,63779586881676,None,None,None
3293643,63779586881687,None,None,None
3293652,63779586881698,None,None,None
3293668,63779586881709,None,None,None
3293677,63779586881721,None,None,None
3293685,63779586881732,None,None,None
3293702,63779586881743,None,None,None
3293710,63779586881754,None,None,None
3293718,63779586881766,None,None,None
3293735,63779586881782,None,None,None
3293752,63779586881793,None,None,None
3293760,63779586881804,None,None,None
3293768,63779586881815,None,None,None
3293785,63779586881826,None,None,None
3293793,63779586881837,None,None,None
3293802,63779586881849,None,None,None
3293818,63779586881859,None,None,None
3293827,63779586881870,None,None,None
3293835,63779586881882,None,None,None
3293852,63779586881892,None,None,None
3293860,63779586881903,None,None,None
3293868,63779586881915,None,None,None
3293885,63779586881926,None,None,None
3293893,63779586881937,None,None,None
3293902,63779586881948,None,None,None
3293918,63779586881959,None,None,None
3293927,63779586881970,None,None,None
3293935,63779586881982,None,None,None
3293952,63779586881992,None,None,None
3293960,63779586882004,None,None,None
3293968,63779586882015,None,None,None
3293985,63779586882026,None,None,None
3293993,63779586882038,None,None,None
3294002,63779586882048,None,None,None
3294018,63779586882060,None,None,None
3294027,63779586882071,None,None,None
3294043,63779586882082,None,None,None
3294052,63779586882093,None,None,None
3294060,63779586882104,None,None,None
3294077,63779586882115,None,None,None
3294085,63779586882126,None,None,None
3294093,63779586882137,None,None,None
3294102,63779586882149,None,None,None
3294118,63779586882161,None,None,None
3294127,63779586882171,None,None,None
3294135,63779586882182,None,None,None
3294151,63779586882197,None,None,None
3294160,63779586882204,None,None,None
3294168,63779586882216,None,None,None
3294185,63779586882226,None,None,None
3294193,63779586882238,None,None,None
3294201,63779586882248,None,None,None
3294218,63779586882259,None,None,None
3294226,63779586882271,None,None,None
3294235,63779586882282,None,None,None
3294251,63779586882293,None,None,None
3294260,63779586882304,None,None,None
3294276,63779586882316,None,None,None
3294285,63779586882326,None,None,None
3294293,63779586882338,None,None,None
3294301,63779586882348,None,None,None
3294318,63779586882360,None,None,None
3294326,63779586882371,None,None,None
3294335,63779586882382,None,None,None
3294351,63779586882394,None,None,None
3294360,63779586882404,None,None,None
3294368,63779586882415,None,None,None
3294385,63779586882429,None,None,None
3294393,63779586882437,None,None,None
3294401,63779586882449,None,None,None
3294418,63779586882460,None,None,None
3294426,63779586882471,None,None,None
3294435,63779586882482,None,None,None
3294451,63779586882493,None,None,None
3294460,63779586882504,None,None,None
3294468,63779586882515,None,None,None
3294485,63779586882527,None,None,None
3294493,63779586882538,None,None,None
3294501,63779586882549,None,None,None
3294518,63779586882559,None,None,None
3294526,63779586882571,None,None,None
3294543,63779586882582,None,None,None
3294551,63779586882593,None,None,None
3294560,63779586882604,None,None,None
3294568,63779586882615,None,None,None
3294585,63779586882627,None,None,None
3294593,63779586882637,None,None,None
3294610,63779586882649,None,None,None
3294618,63779586882660,None,None,None
3294626,63779586882670,None,None,None
3294635,63779586882681,None,None,None
3294651,63779586882693,None,None,None
3294660,63779586882704,None,None,None
3294668,63779586882715,None,None,None
3294685,63779586882726,None,None,None
3294693,63779586882738,None,None,None
3294701,63779586882748,None,None,None
3294718,63779586882759,None,None,None
3294726,63779586882770,None,None,None
3294743,63779586882783,None,None,None
3294760,63779586882800,None,None,None
3294760,63779586882805,None,None,None
3294776,63779586882815,None,None,None
3294785,63779586882826,None,None,None
3294793,63779586882837,None,None,None
3294801,63779586882848,None,None,None
3294818,63779586882859,None,None,None
3294826,63779586882870,None,None,None
3294835,63779586882881,None,None,None
3294851,63779586882893,None,None,None
3294876,63779586882921,None,None,None
3294885,63779586882927,None,None,None
3294893,63779586882932,None,None,None
3294893,63779586882936,None,None,None
3294901,63779586882943,None,None,None
3294910,63779586882955,None,None,None
3294926,63779586882965,None,None,None
3294935,63779586882977,None,None,None
3294943,63779586882987,None,None,None
3294960,63779586882999,None,None,None
3294976,63779586883023,None,None,None
3294985,63779586883028,None,None,None
3294985,63779586883031,None,None,None
3295001,63779586883043,None,None,None
3295010,63779586883054,None,None,None
3295026,63779586883065,None,None,None
