OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
3587155,63779587155355,-14.94498,2.616537,-0.7689162,-0.009077067,0.993551,-0.1119571,0.01548411,-0.002761719,0.002012817,-0.02366783,-0.1985474,0.04533386,0.9790344,0.03234491,0.00193306,-0.02418114,0.03234491,0.00193306,-0.02418114,-0.1798859,0.04866028,0.9824677,-0.1798859,0.04866028,0.9824677,3.854858,3.854858,True,True,True
3587163,63779587175198,-13.43007,2.59575,-0.1358832,-0.006152855,0.9872892,-0.04661873,0.1518187,-0.002694168,0.002010803,-0.02366943,-0.1982574,0.04551697,0.9790802,0.0323448,0.00193248,-0.0241812,0.0323448,0.00193248,-0.0241812,-0.1802979,0.04879761,0.9823914,-0.1802979,0.04879761,0.9823914,3.853607,3.853607,True,True,True
3587171,63779587175209,-13.43001,2.595743,-0.135894,-0.006138034,0.9872881,-0.04673187,0.151792,-0.002733368,0.002010727,-0.02366927,-0.1980286,0.04527283,0.9791412,0.03234473,0.001932297,-0.02418131,0.03234473,0.001932297,-0.02418131,-0.180481,0.04820251,0.9823914,-0.180481,0.04820251,0.9823914,3.850662,3.850662,True,True,True
3587180,63779587175220,-13.43001,2.595765,-0.1358914,-0.006059548,0.9872785,-0.0467576,0.1518492,-0.002702317,0.002010513,-0.02366986,-0.1983948,0.04508972,0.9790802,0.03234467,0.001932129,-0.0241812,0.03234467,0.001932129,-0.0241812,-0.1806488,0.04763794,0.9823761,-0.1806488,0.04763794,0.9823761,3.853271,3.853271,True,True,True
3587188,63779587175220,-13.43001,2.595765,-0.1358914,-0.006059548,0.9872785,-0.0467576,0.1518492,-0.002681351,0.002010193,-0.02367075,-0.1979675,0.0450592,0.9791565,0.03234395,0.001931809,-0.02418114,0.03234395,0.001931809,-0.02418114,-0.1806793,0.04736328,0.9823914,-0.1806793,0.04736328,0.9823914,3.850388,3.850388,True,True,True
3587196,63779587175231,-13.42999,2.595768,-0.1358646,-0.006113046,0.9872761,-0.04686093,0.1518311,-0.002685272,0.002009903,-0.02367006,-0.1979218,0.04431152,0.9792023,0.03234325,0.001931488,-0.02418109,0.03234325,0.001931488,-0.02418109,-0.1806946,0.04776001,0.9823761,-0.1806946,0.04776001,0.9823761,3.853241,3.853241,True,True,True
3587205,63779587175245,-13.42995,2.595771,-0.1358359,-0.006081945,0.9872875,-0.04683495,0.1517657,-0.00269989,0.002009354,-0.02366965,-0.1978455,0.04417419,0.9792328,0.03234325,0.001930847,-0.02418106,0.03234325,0.001930847,-0.02418106,-0.1806946,0.04733276,0.9823914,-0.1806946,0.04733276,0.9823914,3.853104,3.853104,True,True,True
3587213,63779587175253,-13.42994,2.595779,-0.1357918,-0.006245019,0.9872686,-0.04695469,0.1518453,-0.002721192,0.002009094,-0.02366928,-0.1978302,0.04415894,0.9792328,0.03234325,0.001930557,-0.02418045,0.03234325,0.001930557,-0.02418045,-0.1806793,0.04708862,0.9824066,-0.1806793,0.04708862,0.9824066,3.85556,3.85556,True,True,True
3587221,63779587175253,-13.42994,2.595779,-0.1357918,-0.006245019,0.9872686,-0.04695469,0.1518453,-0.002758896,0.002009018,-0.02366873,-0.1979828,0.04389954,0.9792175,0.03234204,0.001930161,-0.02418042,0.03234204,0.001930161,-0.02418042,-0.1809998,0.04621887,0.9823914,-0.1809998,0.04621887,0.9823914,3.857391,3.857391,True,True,True
3587230,63779587175264,-13.42994,2.595783,-0.1357715,-0.006316415,0.9872687,-0.04698274,0.1518332,-0.002748947,0.002008865,-0.02366872,-0.1978912,0.04373169,0.9792328,0.03234174,0.001929825,-0.02418002,0.03234174,0.001929825,-0.02418002,-0.1810608,0.04574585,0.9823914,-0.1810608,0.04574585,0.9823914,3.857071,3.857071,True,True,True
