OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
722410,63779588588773,-13.42877,2.609739,-0.4814001,0.01579314,0.9844581,-0.1300644,0.1169446,0.007274491,0.003752014,-0.02340761,-0.1902313,0.02915955,0.9812927,0.03215787,0.003578873,-0.02373193,0.03215787,0.003578873,-0.02373193,-0.1751709,0.03192139,0.9840088,-0.1751709,0.03192139,0.9840088,4.116928,4.116928,True,True,True
722418,63779588605435,-15.05514,2.321773,-0.2369006,0.01574505,0.9350464,-0.04064889,0.3518353,0.007218353,0.003752167,-0.02340758,-0.1903992,0.02957153,0.9812469,0.03215807,0.003578873,-0.02373219,0.03215807,0.003578873,-0.02373219,-0.1753235,0.03187561,0.9839935,-0.1753235,0.03187561,0.9839935,4.117126,4.117126,True,True,True
722427,63779588605445,-15.05529,2.32179,-0.2369385,0.01552244,0.9351379,-0.04072142,0.3515935,0.007239853,0.00375177,-0.02340845,-0.1903687,0.02888489,0.9812775,0.03215852,0.003578873,-0.02373229,0.03215852,0.003578873,-0.02373229,-0.1753998,0.03114319,0.9839935,-0.1753998,0.03114319,0.9839935,4.131058,4.131058,True,True,True
722435,63779588605445,-15.05529,2.32179,-0.2369385,0.01552244,0.9351379,-0.04072142,0.3515935,0.0072641,0.003750427,-0.02340969,-0.1903381,0.02896118,0.9812775,0.0321595,0.0035784,-0.02373392,0.0321595,0.0035784,-0.02373392,-0.1755371,0.03137207,0.983963,-0.1755371,0.03137207,0.983963,4.131149,4.131149,True,True,True
722443,63779588605456,-15.05533,2.321734,-0.2369965,0.01543985,0.9352297,-0.0407108,0.351354,0.007238892,0.003750244,-0.02340947,-0.1902161,0.02859497,0.9813232,0.03215953,0.003578293,-0.0237341,0.03215953,0.003578293,-0.0237341,-0.1755219,0.03141785,0.983963,-0.1755219,0.03141785,0.983963,4.137711,4.137711,True,True,True
722452,63779588605467,-15.05539,2.321721,-0.2370562,0.01531914,0.9352788,-0.04069713,0.3512301,0.007218949,0.003750031,-0.02340958,-0.1903687,0.02804565,0.981308,0.03215956,0.003577957,-0.02373471,0.03215956,0.003577957,-0.02373471,-0.1756897,0.03158569,0.9839325,-0.1756897,0.03158569,0.9839325,4.13765,4.13765,True,True,True
722460,63779588605467,-15.05539,2.321721,-0.2370562,0.01531914,0.9352788,-0.04069713,0.3512301,0.007107041,0.003750122,-0.02340816,-0.1903381,0.02789307,0.981308,0.0321604,0.003577851,-0.02373477,0.0321604,0.003577851,-0.02373477,-0.175827,0.03106689,0.9839172,-0.175827,0.03106689,0.9839172,4.139023,4.139023,True,True,True
722468,63779588605481,-15.05548,2.321718,-0.2371547,0.01519803,0.9353434,-0.04063216,0.3510708,0.007068818,0.00375029,-0.02340787,-0.1902161,0.02745056,0.9813538,0.0321608,0.00357782,-0.02373497,0.0321608,0.00357782,-0.02373497,-0.175354,0.03024292,0.984024,-0.175354,0.03024292,0.984024,4.137054,4.137054,True,True,True
722477,63779588605490,-15.05553,2.321697,-0.237221,0.01506874,0.9354023,-0.04064566,0.3509181,0.00713913,0.003749771,-0.02340914,-0.1902466,0.02748108,0.9813385,0.03216098,0.00357782,-0.02373546,0.03216098,0.00357782,-0.02373546,-0.1756744,0.03025818,0.9839783,-0.1756744,0.03025818,0.9839783,4.136246,4.136246,True,True,True
722485,63779588605501,-15.05555,2.321697,-0.2373112,0.01502084,0.9354504,-0.04070902,0.3507844,0.007106079,0.00375,-0.02340885,-0.1907349,0.0275116,0.9812469,0.03216168,0.00357782,-0.0237357,0.03216168,0.00357782,-0.0237357,-0.1766357,0.03031921,0.9837952,-0.1766357,0.03031921,0.9837952,4.136566,4.136566,True,True,True
722493,63779588605501,-15.05555,2.321697,-0.2373112,0.01502084,0.9354504,-0.04070902,0.3507844,0.00707222,0.00374971,-0.0234104,-0.1917572,0.027771,0.9810333,0.03216184,0.003576874,-0.02373689,0.03216184,0.003576874,-0.02373689,-0.1786957,0.03068542,0.9834137,-0.1786957,0.03068542,0.9834137,4.138168,4.138168,True,True,True
722502,63779588605515,-15.05568,2.321669,-0.237359,0.015134,0.9355139,-0.04067568,0.350614,0.007071747,0.003750229,-0.02341106,-0.1916809,0.02766418,0.9810638,0.03216216,0.00357782,-0.02373741,0.03216216,0.00357782,-0.02373741,-0.1786041,0.03044128,0.9834442,-0.1786041,0.03044128,0.9834442,4.140823,4.140823,True,True,True
722510,63779588605526,-15.05572,2.321663,-0.2374219,0.01500772,0.9355758,-0.04075804,0.3504447,0.007079788,0.003750214,-0.0234121,-0.1915894,0.02774048,0.9810791,0.03216216,0.003577957,-0.02373882,0.03216216,0.003577957,-0.02373882,-0.1786041,0.0305481,0.9834442,-0.1786041,0.0305481,0.9834442,4.146271,4.146271,True,True,True
722518,63779588605534,-15.05582,2.321624,-0.2374328,0.01495514,0.9356532,-0.04076458,0.3502395,0.007263291,0.003748963,-0.023416,-0.1915588,0.02787781,0.9810791,0.03216216,0.003577957,-0.02373959,0.03216216,0.003577957,-0.02373959,-0.1787415,0.03067017,0.9834137,-0.1787415,0.03067017,0.9834137,4.149979,4.149979,True,True,True
722527,63779588605545,-15.05584,2.321652,-0.2374728,0.01488396,0.9357396,-0.04074375,0.3500139,0.007301392,0.003748886,-0.02341744,-0.1920319,0.0279541,0.9809875,0.03216223,0.003578293,-0.02374008,0.03216223,0.003578293,-0.02374008,-0.1797791,0.03068542,0.9832153,-0.1797791,0.03068542,0.9832153,4.154068,4.154068,True,True,True
722535,63779588605545,-15.05584,2.321652,-0.2374728,0.01488396,0.9357396,-0.04074375,0.3500139,0.007307999,0.003748856,-0.02341843,-0.1911774,0.02786255,0.9811554,0.03216296,0.003578293,-0.02374104,0.03216296,0.003578293,-0.02374104,-0.1785431,0.03071594,0.9834442,-0.1785431,0.03071594,0.9834442,4.153687,4.153687,True,True,True
722543,63779588605556,-15.05579,2.321602,-0.2375503,0.01479089,0.9357775,-0.04076746,0.3499139,0.007421555,0.003748123,-0.02342415,-0.1910095,0.0274353,0.9812012,0.03216296,0.003578293,-0.02374255,0.03216296,0.003578293,-0.02374255,-0.1785126,0.03074646,0.9834442,-0.1785126,0.03074646,0.9834442,4.157959,4.157959,True,True,True
722552,63779588605567,-15.05582,2.32162,-0.2375927,0.01468572,0.935821,-0.04079018,0.3497995,0.00749617,0.00374762,-0.02342647,-0.1909027,0.02799988,0.9812012,0.03216285,0.003578293,-0.02374461,0.03216285,0.003578293,-0.02374461,-0.1783905,0.03086853,0.9834595,-0.1783905,0.03086853,0.9834595,4.158112,4.158112,True,True,True
722560,63779588605578,-15.05583,2.32159,-0.2376598,0.01460844,0.9358848,-0.04083513,0.3496266,0.007561066,0.003747559,-0.02342787,-0.1907501,0.02752686,0.9812469,0.03216285,0.003579086,-0.02374475,0.03216285,0.003579086,-0.02374475,-0.1782227,0.03074646,0.9835052,-0.1782227,0.03074646,0.9835052,4.17189,4.17189,True,True,True
722568,63779588605578,-15.05583,2.32159,-0.2376598,0.01460844,0.9358848,-0.04083513,0.3496266,0.007623764,0.003747605,-0.02342969,-0.1902924,0.0275116,0.9813385,0.03216285,0.003579941,-0.02374559,0.03216285,0.003579941,-0.02374559,-0.177475,0.03074646,0.9836426,-0.177475,0.03074646,0.9836426,4.18782,4.18782,True,True,True
722577,63779588605589,-15.05598,2.321564,-0.237752,0.01452853,0.935916,-0.04084519,0.3495454,0.00773584,0.003747864,-0.0234346,-0.1904755,0.02748108,0.9812927,0.03216285,0.003581711,-0.02374623,0.03216285,0.003581711,-0.02374623,-0.1781921,0.03036499,0.9835205,-0.1781921,0.03036499,0.9835205,4.189255,4.189255,True,True,True
722585,63779588605601,-15.05599,2.321501,-0.2378606,0.01454073,0.9359853,-0.04089256,0.3493534,0.007755677,0.003747757,-0.02343607,-0.1908569,0.02757263,0.9812164,0.03216254,0.003581879,-0.02374733,0.03216254,0.003581879,-0.02374733,-0.1782532,0.03044128,0.9835052,-0.1782532,0.03044128,0.9835052,4.191269,4.191269,True,True,True
