UnityTS,heart,breath,GSR
63779588585813,36792,60120,3412
63779588585823,36848,60082,3396
63779588585833,36749,59920,3389
63779588585843,36562,59932,3394
63779588585853,36276,59832,3401
63779588585863,35948,59720,3387
63779588585873,35585,59756,3390
63779588585883,35221,59556,3382
63779588585893,34856,59516,3385
63779588585903,34496,59364,3390
63779588585913,34140,59264,3388
63779588585923,33803,59047,3388
63779588585933,33532,58948,3383
63779588585943,33305,58820,3384
63779588585953,33164,58680,3386
63779588585963,33084,58368,3396
63779588585973,33072,58152,3386
63779588585983,33092,57972,3402
63779588585993,33140,57636,3396
63779588586003,33200,57628,3385
63779588586013,33276,57273,3387
63779588586023,33324,56952,3386
63779588586033,33352,56932,3401
63779588586043,33372,56713,3394
63779588586053,33344,56496,3387
63779588586063,33293,56152,3389
63779588586073,33218,55872,3392
63779588586083,33116,55576,3406
63779588586093,33004,55352,3397
63779588586103,32864,55060,3394
63779588586113,32723,54636,3388
63779588586123,32584,54652,3389
63779588586133,32440,54360,3387
63779588586143,32302,53952,3386
63779588586153,32179,53772,3391
63779588586163,32048,53249,3391
63779588586173,31916,53118,3389
63779588586183,31812,52728,3392
63779588586193,31740,52424,3387
63779588586203,31682,52180,3397
63779588586213,31640,51860,3386
63779588586223,31602,51502,3393
63779588586233,31584,51280,3389
63779588586243,31556,51028,3398
63779588586253,31544,50784,3390
63779588586263,31540,50440,3381
63779588586273,31552,50168,3398
63779588586283,31566,49700,3394
63779588586293,31569,49504,3394
63779588586303,31568,49214,3393
63779588586313,31565,48946,3392
63779588586323,31569,48696,3394
63779588586333,31584,48506,3395
63779588586343,31602,48160,3404
63779588586353,31628,47729,3396
63779588586363,31672,47576,3398
63779588586373,31692,46956,3400
63779588586383,31701,47005,3396
63779588586393,31678,46853,3402
63779588586403,31621,46544,3394
63779588586413,31540,46298,3401
63779588586423,31564,46048,3399
63779588586433,31754,46008,3395
63779588586443,32196,45716,3398
63779588586453,32820,45396,3400
63779588586463,33560,45268,3404
63779588586473,34341,44572,3413
63779588586483,35092,44626,3396
63779588586493,35784,44466,3399
63779588586503,36332,43972,3409
63779588586513,36729,43856,3400
63779588586523,36980,43680,3407
63779588586533,37066,43470,3400
63779588586543,37000,43164,3402
63779588586553,36826,43008,3404
63779588586563,36570,42640,3405
63779588586573,36242,42281,3413
63779588586583,35880,41824,3408
63779588586593,35528,41920,3417
63779588586603,35200,41648,3415
63779588586613,34896,41322,3417
63779588586623,34636,40780,3416
63779588586633,34400,40773,3416
63779588586643,34170,40152,3414
63779588586653,34006,40180,3416
63779588586663,33897,40105,3416
63779588586673,33832,39634,3420
63779588586683,33816,39365,3422
63779588586693,33808,38980,3418
63779588586703,33808,38904,3422
63779588586713,33808,38628,3420
63779588586723,33817,38284,3446
63779588586733,33825,38050,3423
63779588586743,33833,37973,3454
63779588586753,33840,37436,3426
63779588586763,33800,37304,3434
63779588586773,33776,36920,3437
63779588586783,33728,36790,3438
63779588586793,33688,36388,3431
63779588586803,33642,36456,3431
63779588586813,33580,36112,3433
63779588586823,33525,36112,3433
63779588586833,33452,35610,3442
63779588586843,33356,35626,3443
63779588586853,33256,35504,3444
63779588586863,33180,35105,3448
63779588586873,33120,35204,3446
63779588586883,33112,35096,3452
63779588586893,33210,34944,3446
63779588586903,33412,34834,3451
63779588586913,33672,34677,3456
63779588585798,36792,60120,3412
63779588585808,36848,60082,3396
63779588585818,36749,59920,3389
63779588585828,36562,59932,3394
63779588585838,36276,59832,3401
63779588585848,35948,59720,3387
63779588585858,35585,59756,3390
63779588585868,35221,59556,3382
63779588585878,34856,59516,3385
63779588585888,34496,59364,3390
63779588585898,34140,59264,3388
63779588585908,33803,59047,3388
63779588585918,33532,58948,3383
63779588585928,33305,58820,3384
63779588585938,33164,58680,3386
63779588585948,33084,58368,3396
63779588585958,33072,58152,3386
63779588585968,33092,57972,3402
63779588585978,33140,57636,3396
63779588585988,33200,57628,3385
63779588585998,33276,57273,3387
63779588586008,33324,56952,3386
63779588586018,33352,56932,3401
63779588586028,33372,56713,3394
63779588586038,33344,56496,3387
63779588586048,33293,56152,3389
63779588586058,33218,55872,3392
63779588586068,33116,55576,3406
63779588586078,33004,55352,3397
63779588586088,32864,55060,3394
63779588586098,32723,54636,3388
63779588586108,32584,54652,3389
63779588586118,32440,54360,3387
63779588586128,32302,53952,3386
63779588586138,32179,53772,3391
63779588586148,32048,53249,3391
63779588586158,31916,53118,3389
63779588586168,31812,52728,3392
63779588586178,31740,52424,3387
63779588586188,31682,52180,3397
63779588586198,31640,51860,3386
63779588586208,31602,51502,3393
63779588586218,31584,51280,3389
63779588586228,31556,51028,3398
63779588586238,31544,50784,3390
63779588586248,31540,50440,3381
63779588586258,31552,50168,3398
63779588586268,31566,49700,3394
63779588586278,31569,49504,3394
63779588586288,31568,49214,3393
63779588586298,31565,48946,3392
63779588586308,31569,48696,3394
63779588586318,31584,48506,3395
63779588586328,31602,48160,3404
63779588586338,31628,47729,3396
63779588586348,31672,47576,3398
63779588586358,31692,46956,3400
63779588586368,31701,47005,3396
63779588586378,31678,46853,3402
63779588586388,31621,46544,3394
63779588586398,31540,46298,3401
63779588586408,31564,46048,3399
63779588586418,31754,46008,3395
63779588586428,32196,45716,3398
63779588586438,32820,45396,3400
63779588586448,33560,45268,3404
