OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
3108282,0,0,0,0,0,0,0,0,-0.03455951,2.172852E-05,-0.03036258,-0.03269958,0.0975647,0.9946899,0.03305112,0.00155632,-0.02534691,0.03305112,0.00155632,-0.02534691,-0.0103302,0.1208344,0.9926147,-0.0103302,0.1208344,0.9926147,3.769958,3.769958,True,True,True
3108290,63780454269557,-14.44573,2.893285,-1.732325,-0.1042798,0.9093887,-0.1958284,-0.3518371,-0.03466306,6.698609E-06,-0.03027881,-0.02442932,0.09843445,0.9948273,0.03304314,0.001557953,-0.02533203,0.03304314,0.001557953,-0.02533203,-0.004180908,0.1203308,0.9927216,-0.004180908,0.1203308,0.9927216,3.718994,3.718994,True,True,True
3108298,63780454269566,-14.44425,2.893783,-1.732291,-0.1042038,0.9104425,-0.1952883,-0.3494261,-0.0346862,-1.824951E-05,-0.0301449,-0.02989197,0.1018982,0.994339,0.03304021,0.001556168,-0.02532007,0.03304021,0.001556168,-0.02532007,-0.002410889,0.1197052,0.9927979,-0.002410889,0.1197052,0.9927979,3.741684,3.741684,True,True,True
3108307,63780454269566,-14.44425,2.893783,-1.732291,-0.1042038,0.9104425,-0.1952883,-0.3494261,-0.03468672,-2.700806E-06,-0.03013353,-0.01705933,0.1019287,0.9946442,0.03303729,0.001554398,-0.02530812,0.03303729,0.001554398,-0.02530812,-0.0009002686,0.1197815,0.9927979,-0.0009002686,0.1197815,0.9927979,3.71904,3.71904,True,True,True
3108315,63780454269578,-14.44256,2.894234,-1.732334,-0.1037949,0.9116748,-0.1943098,-0.346871,-0.03463553,3.631592E-06,-0.03008412,-0.01467896,0.09602356,0.9952545,0.03303481,0.00154808,-0.02528803,0.03303481,0.00154808,-0.02528803,-0.001159668,0.1222229,0.9924927,-0.001159668,0.1222229,0.9924927,3.704788,3.704788,True,True,True
3108323,63780454269589,-14.44088,2.894648,-1.732349,-0.1031413,0.9130781,-0.192874,-0.3441653,-0.03342497,-1.101685E-05,-0.02982558,-0.005554199,0.1033173,0.9946289,0.03303232,0.001541763,-0.02526795,0.03303232,0.001541763,-0.02526795,-0.001419067,0.1204224,0.9927063,-0.001419067,0.1204224,0.9927063,3.688202,3.688202,True,True,True
3108332,63780454269600,-14.43898,2.895008,-1.732517,-0.1020521,0.9146358,-0.1907879,-0.3415063,0.01194959,0.001042816,-0.02665454,0.0189209,0.1135864,0.9933319,0.03299927,0.00157048,-0.02531389,0.03299927,0.00157048,-0.02531389,0.02662659,0.1162415,0.9928589,0.02662659,0.1162415,0.9928589,3.661819,3.661819,True,True,True
3108340,63780454269600,-14.43898,2.895008,-1.732517,-0.1020521,0.9146358,-0.1907879,-0.3415063,0.032526,0.00152713,-0.02528409,0.02842712,0.1142273,0.993042,0.03297336,0.001538162,-0.02525537,0.03297336,0.001538162,-0.02525537,0.02859497,0.1142883,0.9930267,0.02859497,0.1142883,0.9930267,3.711319,3.711319,True,True,True
3108348,63780454269611,-14.43699,2.895231,-1.732684,-0.1010046,0.9162776,-0.1885286,-0.3386597,0.03285442,0.001505951,-0.02522373,0.03494263,0.1118317,0.993103,0.03294997,0.001508301,-0.02521755,0.03294997,0.001508301,-0.02521755,0.0349884,0.1118469,0.993103,0.0349884,0.1118469,0.993103,3.728943,3.728943,True,True,True
3108357,63780454269622,-14.43492,2.895426,-1.732802,-0.100046,0.9178866,-0.1865636,-0.3356622,0.03284732,0.001510712,-0.02534058,0.0362854,0.1086273,0.9934082,0.03293292,0.001512817,-0.02533511,0.03293292,0.001512817,-0.02533511,0.03631592,0.1086426,0.9934082,0.03631592,0.1086426,0.9934082,3.751007,3.751007,True,True,True
3108365,63780454269633,-14.4327,2.89552,-1.732968,-0.0990817,0.9195668,-0.1847532,-0.3323342,0.03277274,0.001485352,-0.0253588,0.03935242,0.105957,0.993576,0.03292052,0.001489014,-0.02534946,0.03292052,0.001489014,-0.02534946,0.03939819,0.1059723,0.993576,0.03939819,0.1059723,0.993576,3.722519,3.722519,True,True,True
3108373,63780454269633,-14.4327,2.89552,-1.732968,-0.0990817,0.9195668,-0.1847532,-0.3323342,0.03243744,0.001439301,-0.02535411,0.04344177,0.1065674,0.9933472,0.0329088,0.001450699,-0.02532361,0.0329088,0.001450699,-0.02532361,0.04362488,0.1066284,0.9933319,0.04362488,0.1066284,0.9933319,3.673096,3.673096,True,True,True
3108382,63780454269644,-14.43036,2.895603,-1.733126,-0.09826964,0.9211474,-0.1833707,-0.3289467,0.03146305,0.001384171,-0.02537949,0.0491333,0.09825134,0.9939423,0.03289861,0.00141954,-0.02528749,0.03289861,0.00141954,-0.02528749,0.04974365,0.09825134,0.9939117,0.04974365,0.09825134,0.9939117,3.728424,3.728424,True,True,True
3108390,63780454269655,-14.42773,2.895585,-1.733285,-0.097715,0.9226789,-0.1824166,-0.3253303,0.02568411,0.001214325,-0.02573049,0.05235291,0.09817505,0.9937897,0.0328799,0.00139122,-0.02526741,0.0328799,0.00139122,-0.02526741,0.05491638,0.09805298,0.9936523,0.05491638,0.09805298,0.9936523,3.658707,3.658707,True,True,True
