OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
3281178,63780454297382,-16.80634,2.875199,-0.6231292,0.06525222,0.1637408,0.02906836,-0.9839137,-0.01293591,0.003451142,-0.02805774,0.1672668,0.4326324,0.88591,0.03245129,0.003046005,-0.02490395,0.03245129,0.003046005,-0.02490395,0.1723938,0.4683838,0.8665314,0.1723938,0.4683838,0.8665314,3.14328,3.14328,True,True,True
3281186,63780454297382,-16.80634,2.875199,-0.6231292,0.06525222,0.1637408,0.02906836,-0.9839137,-0.01297083,0.003272995,-0.02796233,0.1798096,0.3975372,0.8997803,0.03247647,0.002804688,-0.02475571,0.03247647,0.002804688,-0.02475571,0.1927948,0.4217682,0.8859558,0.1927948,0.4217682,0.8859558,2.970627,2.970627,True,True,True
3281194,63780454442458,-15.07809,2.915798,-1.732379,0.05437257,0.6033136,-0.1038394,0.7888433,-0.01520238,0.003066467,-0.02803752,0.1819458,0.369751,0.9111328,0.03241654,0.002575516,-0.02465546,0.03241654,0.002575516,-0.02465546,0.1934814,0.3812866,0.9039764,0.1934814,0.3812866,0.9039764,2.917953,2.917953,True,True,True
3281202,63780454442469,-15.07697,2.915715,-1.733055,0.05370289,0.6047438,-0.1036163,0.7878228,-0.01993285,0.002910889,-0.02825206,0.1761322,0.3148346,0.9326477,0.03233904,0.00232753,-0.02453026,0.03233904,0.00232753,-0.02453026,0.2144623,0.3170624,0.9238281,0.2144623,0.3170624,0.9238281,3.052261,3.052261,True,True,True
3281211,63780454442480,-15.07597,2.915666,-1.733737,0.05314136,0.6062346,-0.1035565,0.7867221,-0.02119512,0.002685318,-0.0282363,0.1774597,0.2551575,0.9504547,0.03223065,0.00206279,-0.0244386,0.03223065,0.00206279,-0.0244386,0.1979065,0.2750244,0.9408417,0.1979065,0.2750244,0.9408417,3.051437,3.051437,True,True,True
3281219,63780454442480,-15.07597,2.915666,-1.733737,0.05314136,0.6062346,-0.1035565,0.7867221,-0.02059177,0.002482834,-0.02814212,0.189743,0.217804,0.9573669,0.03217943,0.001876053,-0.02439519,0.03217943,0.001876053,-0.02439519,0.2145996,0.2352295,0.947937,0.2145996,0.2352295,0.947937,2.922501,2.922501,True,True,True
3281227,63780454442491,-15.0749,2.915528,-1.734461,0.0527546,0.6079208,-0.1036922,0.7854281,-0.02066712,0.002392456,-0.02811807,0.1942139,0.1941833,0.9615326,0.03217798,0.001751633,-0.02434976,0.03217798,0.001751633,-0.02434976,0.2248383,0.2039032,0.9528046,0.2248383,0.2039032,0.9528046,3.029236,3.029236,True,True,True
3281236,63780454442503,-15.07381,2.915354,-1.735247,0.0523166,0.609694,-0.1038636,0.7840591,-0.01954149,0.002371292,-0.02803929,0.1917725,0.1958008,0.9617004,0.032226,0.001747116,-0.02434966,0.032226,0.001747116,-0.02434966,0.2120972,0.2118225,0.95401,0.2120972,0.2118225,0.95401,2.970245,2.970245,True,True,True
3281244,63780454442513,-15.07262,2.915241,-1.735978,0.0517403,0.6116608,-0.1040228,0.7825429,-0.01939871,0.002376908,-0.0280192,0.1831512,0.1885986,0.9648132,0.03220308,0.001799652,-0.02434659,0.03220308,0.001799652,-0.02434659,0.1889801,0.2025604,0.9608459,0.1889801,0.2025604,0.9608459,2.908722,2.908722,True,True,True
3281252,63780454442513,-15.07262,2.915241,-1.735978,0.0517403,0.6116608,-0.1040228,0.7825429,-0.01738358,0.00236615,-0.02787468,0.1821594,0.1876984,0.9651794,0.03228204,0.001815308,-0.0243336,0.03228204,0.001815308,-0.0243336,0.188797,0.1972351,0.9619904,0.188797,0.1972351,0.9619904,2.90683,2.90683,True,True,True
3281261,63780454442525,-15.0714,2.915228,-1.736695,0.0510131,0.6136999,-0.1038666,0.7810134,-0.01285449,0.002328095,-0.02754814,0.1813965,0.1877594,0.9653015,0.03233362,0.00181897,-0.02432791,0.03233362,0.00181897,-0.02432791,0.186203,0.1980591,0.962326,0.186203,0.1980591,0.962326,2.926941,2.926941,True,True,True
3281269,63780454442535,-15.07014,2.915232,-1.737419,0.04993237,0.6156209,-0.1036529,0.7795986,-0.01293323,0.002335541,-0.02755315,0.180069,0.1886139,0.9653931,0.03236623,0.001821945,-0.02432488,0.03236623,0.001821945,-0.02432488,0.1803436,0.1998138,0.963089,0.1803436,0.1998138,0.963089,2.978058,2.978058,True,True,True
3281277,63780454442547,-15.0688,2.915251,-1.738168,0.04893186,0.6176057,-0.1036134,0.7780959,-0.01451437,0.002346283,-0.02766069,0.1777649,0.1853638,0.9664459,0.03239197,0.001811249,-0.02431305,0.03239197,0.001811249,-0.02431305,0.1763306,0.1937408,0.9650726,0.1763306,0.1937408,0.9650726,2.926315,2.926315,True,True,True
3281286,63780454442547,-15.0688,2.915251,-1.738168,0.04893186,0.6176057,-0.1036134,0.7780959,-0.01576869,0.002341995,-0.02775154,0.1758118,0.1884308,0.966217,0.03245247,0.001757507,-0.02432118,0.03245247,0.001757507,-0.02432118,0.1862793,0.2107697,0.95961,0.1862793,0.2107697,0.95961,2.937317,2.937317,True,True,True
3281294,63780454442558,-15.06746,2.915203,-1.738868,0.04809587,0.6197072,-0.1036719,0.7764677,-0.01630264,0.002335892,-0.02778034,0.1702728,0.187149,0.967453,0.03248253,0.001747528,-0.02431073,0.03248253,0.001747528,-0.02431073,0.1856689,0.2047577,0.9610291,0.1856689,0.2047577,0.9610291,2.976578,2.976578,True,True,True
3281302,63780454442569,-15.06617,2.915217,-1.7396,0.04765476,0.6220631,-0.1038862,0.7745801,-0.01591001,0.002324432,-0.02774832,0.1638794,0.1871796,0.9685516,0.03251263,0.001736511,-0.02430145,0.03251263,0.001736511,-0.02430145,0.1786194,0.2001953,0.9633331,0.1786194,0.2001953,0.9633331,2.890488,2.890488,True,True,True
3281311,63780454442580,-15.06486,2.915256,-1.740285,0.04701679,0.6245852,-0.1042116,0.7725431,-0.01458446,0.002309311,-0.02765253,0.1629181,0.1861572,0.9689026,0.03254149,0.001743042,-0.02429827,0.03254149,0.001743042,-0.02429827,0.1777496,0.2006226,0.9633942,0.1777496,0.2006226,0.9633942,3.029709,3.029709,True,True,True
3281319,63780454442580,-15.06486,2.915256,-1.740285,0.04701679,0.6245852,-0.1042116,0.7725431,-0.01354254,0.002294663,-0.02756984,0.1600647,0.1838226,0.9698334,0.03257028,0.001756241,-0.02429708,0.03257028,0.001756241,-0.02429708,0.1775055,0.2012634,0.9633026,0.1775055,0.2012634,0.9633026,3.03598,3.03598,True,True,True
3281327,63780454442591,-15.06349,2.915406,-1.7409,0.04630471,0.6274247,-0.1045103,0.7702414,-0.01315808,0.002289444,-0.02753954,0.1593323,0.1820984,0.9702759,0.03260791,0.001758591,-0.02428154,0.03260791,0.001758591,-0.02428154,0.177475,0.1903992,0.9655151,0.177475,0.1903992,0.9655151,3.03685,3.03685,True,True,True
3281336,63780454442602,-15.06199,2.915515,-1.74156,0.0453252,0.6302324,-0.1048454,0.7679585,-0.01272263,0.002275086,-0.02748673,0.1493683,0.1717072,0.9737549,0.03264051,0.001760635,-0.02427138,0.03264051,0.001760635,-0.02427138,0.1727448,0.1848602,0.967453,0.1727448,0.1848602,0.967453,2.989502,2.989502,True,True,True
3281344,63780454442613,-15.0606,2.915686,-1.742196,0.04427531,0.6331934,-0.1053867,0.7655061,-0.01143921,0.002256287,-0.02739472,0.1499634,0.1718597,0.9736328,0.03267273,0.001758957,-0.02426203,0.03267273,0.001758957,-0.02426203,0.1750183,0.1776733,0.9683838,0.1750183,0.1776733,0.9683838,2.946259,2.946259,True,True,True
3281352,63780454442613,-15.0606,2.915686,-1.742196,0.04427531,0.6331934,-0.1053867,0.7655061,-0.01149898,0.002255066,-0.02740296,0.1459198,0.177124,0.9732971,0.03270697,0.00176088,-0.02426582,0.03270697,0.00176088,-0.02426582,0.1663513,0.1836548,0.9687958,0.1663513,0.1836548,0.9687958,3.049271,3.049271,True,True,True
3281361,63780454442624,-15.05906,2.915862,-1.742852,0.04322911,0.6362132,-0.1058566,0.762993,-0.01160677,0.002254349,-0.0274077,0.145462,0.1746674,0.9738159,0.03273352,0.001754684,-0.02425842,0.03273352,0.001754684,-0.02425842,0.1657562,0.1762848,0.9702759,0.1657562,0.1762848,0.9702759,3.017471,3.017471,True,True,True
3281369,63780454442635,-15.05759,2.916091,-1.743397,0.04205792,0.6396008,-0.1063244,0.760156,-0.01121358,0.002245499,-0.02737027,0.1374664,0.170578,0.9756927,0.03275917,0.001748947,-0.02425244,0.03275917,0.001748947,-0.02425244,0.151062,0.1772614,0.9724884,0.151062,0.1772614,0.9724884,3.017395,3.017395,True,True,True
3281377,63780454442647,-15.05607,2.916323,-1.744015,0.04081858,0.6430082,-0.1066803,0.7572938,-0.01133008,0.002244782,-0.02737493,0.1332245,0.1691895,0.976532,0.03278814,0.001737808,-0.02423775,0.03278814,0.001737808,-0.02423775,0.1455688,0.1689148,0.9748077,0.1455688,0.1689148,0.9748077,2.807343,2.807343,True,True,True
3281386,63780454442647,-15.05607,2.916323,-1.744015,0.04081858,0.6430082,-0.1066803,0.7572938,-0.01315913,0.002261749,-0.02750635,0.1246033,0.1730957,0.9769745,0.03281444,0.001730484,-0.0242361,0.03281444,0.001730484,-0.0242361,0.1364899,0.1707306,0.9758148,0.1364899,0.1707306,0.9758148,2.796219,2.796219,True,True,True
3281394,63780454442658,-15.05445,2.916583,-1.744582,0.03965409,0.6465048,-0.1069726,0.7543315,-0.01359293,0.002254975,-0.02753182,0.1205597,0.1696472,0.9780884,0.0328486,0.001718796,-0.02423615,0.0328486,0.001718796,-0.02423615,0.1312408,0.1708832,0.9765015,0.1312408,0.1708832,0.9765015,2.833466,2.833466,True,True,True
3281402,63780454442668,-15.05283,2.916844,-1.745111,0.0384481,0.65009,-0.1074022,0.7512455,-0.01359471,0.002244827,-0.02752376,0.1100616,0.1679993,0.9796143,0.03288054,0.001698929,-0.0242263,0.03288054,0.001698929,-0.0242263,0.1245422,0.1684265,0.9777985,0.1245422,0.1684265,0.9777985,2.847641,2.847641,True,True,True
3281411,63780454442680,-15.0512,2.917037,-1.745647,0.03732642,0.653676,-0.107492,0.7481712,-0.01348279,0.002237503,-0.02750522,0.105545,0.166748,0.9803314,0.03290259,0.001679627,-0.02421594,0.03290259,0.001679627,-0.02421594,0.1134186,0.1761627,0.9777985,0.1134186,0.1761627,0.9777985,2.858963,2.858963,True,True,True
3281419,63780454442680,-15.0512,2.917037,-1.745647,0.03732642,0.653676,-0.107492,0.7481712,-0.01297211,0.002222656,-0.02745082,0.1025543,0.160202,0.9817352,0.03293131,0.001655045,-0.02418926,0.03293131,0.001655045,-0.02418926,0.1103363,0.1743164,0.9784851,0.1103363,0.1743164,0.9784851,2.834702,2.834702,True,True,True
3281427,63780454442691,-15.04943,2.917285,-1.746084,0.03647329,0.6575245,-0.1074438,0.7448403,-0.01262741,0.002218537,-0.02742537,0.09274292,0.1663971,0.9816742,0.03296759,0.001635895,-0.02417093,0.03296759,0.001635895,-0.02417093,0.09788513,0.1749268,0.9796906,0.09788513,0.1749268,0.9796906,2.927673,2.927673,True,True,True
3281436,63780454442702,-15.04763,2.917563,-1.74658,0.03571016,0.6614086,-0.1071939,0.7414668,-0.01221018,0.002207199,-0.0273944,0.08569336,0.1626434,0.9829407,0.03300725,0.001633392,-0.02418566,0.03300725,0.001633392,-0.02418566,0.09417725,0.1731567,0.9803772,0.09417725,0.1731567,0.9803772,2.857574,2.857574,True,True,True
3281444,63780454442713,-15.0457,2.917799,-1.747074,0.03478375,0.6654042,-0.1067304,0.7379945,-0.0121181,0.002203888,-0.02738979,0.08213806,0.1639099,0.9830322,0.03304117,0.001624832,-0.02418883,0.03304117,0.001624832,-0.02418883,0.08737183,0.173233,0.9809875,0.08737183,0.173233,0.9809875,2.962433,2.962433,True,True,True
3281452,63780454442713,-15.0457,2.917799,-1.747074,0.03478375,0.6654042,-0.1067304,0.7379945,-0.01207195,0.002200851,-0.02737877,0.07637024,0.1604004,0.9840851,0.03307056,0.001605438,-0.02416974,0.03307056,0.001605438,-0.02416974,0.07841492,0.1713409,0.9820709,0.07841492,0.1713409,0.9820709,2.858566,2.858566,True,True,True
3281461,63780454442724,-15.04378,2.918058,-1.747522,0.03389783,0.6694159,-0.1063051,0.7344607,-0.01285725,0.002182785,-0.02742188,0.06604004,0.1649475,0.9840851,0.03310721,0.001579422,-0.02412889,0.03310721,0.001579422,-0.02412889,0.07150269,0.1716919,0.9825439,0.07150269,0.1716919,0.9825439,2.929428,2.929428,True,True,True
3281469,63780454442735,-15.04182,2.918201,-1.747945,0.03300951,0.6734422,-0.1058003,0.7308847,-0.01418329,0.002181808,-0.02750209,0.0639801,0.1641693,0.9843445,0.03315407,0.001565369,-0.02410385,0.03315407,0.001565369,-0.02410385,0.07362366,0.1729584,0.9821625,0.07362366,0.1729584,0.9821625,2.973282,2.973282,True,True,True
