OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
3561289,63780433117092,-13.45442,2.704072,0.03471398,0.01975314,0.9623633,0.00917208,0.2708922,0.004123551,0.003187577,-0.03056481,0.01783752,0.1676636,0.985672,0.03184619,0.001827545,-0.03238167,0.03184619,0.001827545,-0.03238167,0.0176239,0.1759033,0.9842377,0.0176239,0.1759033,0.9842377,2.94162,2.94162,True,True,True
3561297,63780433247734,-13.40236,2.936966,-0.7879894,-0.01273866,0.995336,-0.09559029,-0.002579636,0.004851471,0.003131744,-0.03061108,0.02099609,0.1692047,0.9853516,0.03184639,0.001795471,-0.03236951,0.03184639,0.001795471,-0.03236951,0.02148438,0.1759949,0.9841461,0.02148438,0.1759949,0.9841461,3.018921,3.018921,True,True,True
3561306,63780433247747,-13.47394,2.950161,-0.8132687,-0.02336058,0.9961546,-0.08228996,0.01894118,0.005815171,0.003073227,-0.03066866,0.01811218,0.1663666,0.9858856,0.03184781,0.001781967,-0.03236527,0.03184781,0.001781967,-0.03236527,0.01751709,0.1726074,0.9848175,0.01751709,0.1726074,0.9848175,2.955032,2.955032,True,True,True
3561314,63780433247755,-13.47322,2.949747,-0.8117785,-0.0236951,0.9962797,-0.0806798,0.018872,0.006190506,0.003043427,-0.03068434,0.01760864,0.1611176,0.9867706,0.03185033,0.001767883,-0.03235486,0.03185033,0.001767883,-0.03235486,0.01611328,0.1654205,0.986084,0.01611328,0.1654205,0.986084,2.968048,2.968048,True,True,True
3561322,63780433247755,-13.47322,2.949747,-0.8117785,-0.0236951,0.9962797,-0.0806798,0.018872,0.005362488,0.00307666,-0.03062306,0.01922607,0.1583099,0.9871979,0.03185291,0.001759552,-0.03234795,0.03185291,0.001759552,-0.03234795,0.01806641,0.1605835,0.9868469,0.01806641,0.1605835,0.9868469,2.957306,2.957306,True,True,True
3561331,63780433247766,-13.47276,2.949473,-0.8110102,-0.02383465,0.9963315,-0.08008252,0.01850267,0.004112686,0.00313353,-0.03053707,0.01856995,0.1569672,0.9874268,0.03185309,0.001756226,-0.03234595,0.03185309,0.001756226,-0.03234595,0.01591492,0.1581421,0.9872742,0.01591492,0.1581421,0.9872742,2.949524,2.949524,True,True,True
3561339,63780433247777,-13.47238,2.949213,-0.8101962,-0.02362406,0.9963643,-0.07981735,0.01815022,0.002534454,0.003208801,-0.03043187,0.01930237,0.1560516,0.9875488,0.03185327,0.001752915,-0.03234397,0.03185327,0.001752915,-0.03234397,0.01681519,0.157074,0.987442,0.01681519,0.157074,0.987442,2.942719,2.942719,True,True,True
3561347,63780433247788,-13.47214,2.948948,-0.8093809,-0.02342183,0.9963928,-0.07961311,0.01773489,0.000656189,0.003299011,-0.03030777,0.01976013,0.1557617,0.9875946,0.03185317,0.001749588,-0.03234338,0.03185317,0.001749588,-0.03234338,0.01733398,0.1570129,0.987442,0.01733398,0.1570129,0.987442,2.930435,2.930435,True,True,True
3561356,63780433247788,-13.47214,2.948948,-0.8093809,-0.02342183,0.9963928,-0.07961311,0.01773489,0.0007319794,0.003292908,-0.03030892,0.02029419,0.1553345,0.9876404,0.03185327,0.001746262,-0.03234282,0.03185327,0.001746262,-0.03234282,0.01664734,0.1569214,0.9874573,0.01664734,0.1569214,0.9874573,2.918549,2.918549,True,True,True
3561364,63780433247799,-13.47159,2.948708,-0.8086663,-0.02318498,0.996398,-0.07974163,0.01717201,0.0007301331,0.003291107,-0.03030486,0.02090454,0.1551971,0.9876556,0.03185361,0.001743836,-0.03234195,0.03185361,0.001743836,-0.03234195,0.01612854,0.1574554,0.987381,0.01612854,0.1574554,0.987381,2.930862,2.930862,True,True,True
3561372,63780433247810,-13.47113,2.948489,-0.807888,-0.02313746,0.9963896,-0.07999757,0.0165198,0.002391373,0.003206803,-0.03041197,0.02049255,0.1552734,0.9876556,0.03185394,0.001741394,-0.03234108,0.03185394,0.001741394,-0.03234108,0.01544189,0.1577148,0.9873505,0.01544189,0.1577148,0.9873505,2.918961,2.918961,True,True,True
3561381,63780433247822,-13.4706,2.948326,-0.8070681,-0.02312352,0.9963421,-0.08070461,0.01595751,0.002571014,0.003196747,-0.03042242,0.02029419,0.1553345,0.9876404,0.03185535,0.001740067,-0.03234085,0.03185535,0.001740067,-0.03234085,0.01493835,0.1581421,0.9872894,0.01493835,0.1581421,0.9872894,2.925461,2.925461,True,True,True
