UnityTS,LabID,ParticipantID,TrialID,Room,Instruction,Duration,Question,Answer
63781058983774,HfG,12,18,Version2BankTestbedWood,hfgSit,60,waitEstimation,33
63781058990149,HfG,12,18,Version2BankTestbedWood,hfgSit,60,timePass,58
63781058993670,HfG,12,18,Version2BankTestbedWood,hfgSit,60,comfort,58
63781058998252,HfG,12,18,Version2BankTestbedWood,hfgSit,60,relax,59
63781059002056,HfG,12,18,Version2BankTestbedWood,hfgSit,60,tired,29
63781059005776,HfG,12,18,Version2BankTestbedWood,hfgSit,60,valence,2
63781059009197,HfG,12,18,Version2BankTestbedWood,hfgSit,60,arousal,1
63781059014873,HfG,12,18,Version2BankTestbedWood,hfgSit,60,thinkPast,1
63781059017661,HfG,12,18,Version2BankTestbedWood,hfgSit,60,thinkPresent,34
63781059021603,HfG,12,18,Version2BankTestbedWood,hfgSit,60,thinkFuture,56
63781059025985,HfG,12,18,Version2BankTestbedWood,hfgSit,60,experienceBody,8
63781059032255,HfG,12,18,Version2BankTestbedWood,hfgSit,60,experienceSpace,63
63781059037008,HfG,12,18,Version2BankTestbedWood,hfgSit,60,thinkTime,1
