OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
3711063,63781056070989,-15.19924,2.251847,0.06157982,-0.009527696,0.9997356,-0.005508801,-0.02019272,-0.002600495,-0.002928772,-0.02297026,0.1582489,0.01217651,0.9873199,0.03120659,-0.001657837,-0.02168834,0.03120659,-0.001657837,-0.02168834,0.1890106,0.01005554,0.9819183,0.1890106,0.01005554,0.9819183,2.516434,2.516434,True,True,True
3711071,63781056070989,-15.19924,2.251847,0.06157982,-0.009527696,0.9997356,-0.005508801,-0.02019272,-0.003112366,-0.002953324,-0.02297641,0.1568909,0.01249695,0.9875336,0.03120792,-0.001667831,-0.02166342,0.03120792,-0.001667831,-0.02166342,0.1879272,0.01052856,0.9821167,0.1879272,0.01052856,0.9821167,2.519028,2.519028,True,True,True
3711079,63781056070989,-15.19924,2.251847,0.06157982,-0.009527696,0.9997356,-0.005508801,-0.02019272,-0.003634415,-0.002977737,-0.02298337,0.1557922,0.01286316,0.9877014,0.03120925,-0.001677826,-0.02163849,0.03120925,-0.001677826,-0.02163849,0.1868134,0.01133728,0.9823151,0.1868134,0.01133728,0.9823151,2.521393,2.521393,True,True,True
3711088,63781056158103,-15.1464,2.76296,-0.9817918,-0.03707353,0.99498,-0.05066047,-0.07793593,-0.003616852,-0.00297757,-0.02298067,0.1557617,0.01268005,0.9877014,0.03121425,-0.001677857,-0.02163809,0.03121425,-0.001677857,-0.02163809,0.1869049,0.01112366,0.9822998,0.1869049,0.01112366,0.9822998,2.523148,2.523148,True,True,True
3711096,63781056158107,-15.14652,2.763047,-0.9815781,-0.03763902,0.99495,-0.05005546,-0.07843672,-0.003421555,-0.002971451,-0.02297192,0.1558228,0.01254272,0.9877014,0.03121924,-0.001677887,-0.02163768,0.03121924,-0.001677887,-0.02163768,0.1869812,0.01089478,0.9822998,0.1869812,0.01089478,0.9822998,2.52478,2.52478,True,True,True
3711104,63781056158113,-15.14673,2.763181,-0.9812864,-0.03808949,0.9949168,-0.04955669,-0.07895486,-0.00385524,-0.00298964,-0.02298747,0.1559296,0.01274109,0.9876709,0.03122475,-0.001679794,-0.02163738,0.03122475,-0.001679794,-0.02163738,0.1882477,0.0112915,0.9820557,0.1882477,0.0112915,0.9820557,2.530075,2.530075,True,True,True
3711113,63781056158125,-15.14693,2.763283,-0.9810967,-0.0387852,0.9948795,-0.04895089,-0.07946292,-0.003915466,-0.002992798,-0.02298973,0.1563416,0.01161194,0.9876251,0.03123024,-0.001681702,-0.02163707,0.03123024,-0.001681702,-0.02163707,0.1894989,0.01190186,0.9817963,0.1894989,0.01190186,0.9817963,2.535263,2.535263,True,True,True
3711121,63781056158136,-15.14717,2.763388,-0.9807968,-0.03929168,0.994841,-0.04846577,-0.07999168,-0.00331453,-0.002971909,-0.02296449,0.156723,0.01158142,0.9875641,0.03123459,-0.001683197,-0.02163339,0.03123459,-0.001683197,-0.02163339,0.1893005,0.01170349,0.981842,0.1893005,0.01170349,0.981842,2.536514,2.536514,True,True,True
3711129,63781056158136,-15.14717,2.763388,-0.9807968,-0.03929168,0.994841,-0.04846577,-0.07999168,-0.002833908,-0.002958908,-0.02293034,0.1580353,0.0113678,0.9873657,0.03124373,-0.001691757,-0.02160404,0.03124373,-0.001691757,-0.02160404,0.1913452,0.0113678,0.9814453,0.1913452,0.0113678,0.9814453,2.548096,2.548096,True,True,True
3711138,63781056158147,-15.14734,2.76352,-0.9805644,-0.03985824,0.9947841,-0.04804294,-0.08067185,-0.003901001,-0.003013062,-0.02293433,0.1575165,0.01087952,0.987442,0.03125377,-0.001716034,-0.02153096,0.03125377,-0.001716034,-0.02153096,0.1936798,0.01234436,0.9809723,0.1936798,0.01234436,0.9809723,2.55687,2.55687,True,True,True
3711146,63781056158158,-15.14755,2.763629,-0.9802643,-0.04028743,0.9947455,-0.04748324,-0.08126312,-0.006681778,-0.003117798,-0.02303996,0.1532135,0.008728027,0.9881439,0.03125861,-0.001716812,-0.02152252,0.03125861,-0.001716812,-0.02152252,0.19133,0.01016235,0.9814606,0.19133,0.01016235,0.9814606,2.557938,2.557938,True,True,True
3711154,63781056158170,-15.14771,2.763738,-0.980051,-0.04061648,0.9947111,-0.04680945,-0.08190835,-0.009243302,-0.003225037,-0.02312929,0.1505432,0.01054382,0.9885406,0.03126714,-0.001735306,-0.02150406,0.03126714,-0.001735306,-0.02150406,0.191452,0.01312256,0.9813995,0.191452,0.01312256,0.9813995,2.559525,2.559525,True,True,True
3711163,63781056158170,-15.14771,2.763738,-0.980051,-0.04061648,0.9947111,-0.04680945,-0.08190835,0.009866348,-0.002651795,-0.02206056,0.1694794,0.00920105,0.9854736,0.03126666,-0.001826248,-0.02132437,0.03126666,-0.001826248,-0.02132437,0.1854095,0.01145935,0.9825897,0.1854095,0.01145935,0.9825897,2.533051,2.533051,True,True,True
