OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
2829457,63781119928404,None,None,None
2829466,63781119928410,None,None,None
2829466,63781119928413,None,None,None
2829474,63781119928417,None,None,None
2829482,63781119928428,None,None,None
2829490,63781119928439,None,None,None
2829507,63781119928450,None,None,None
2829515,63781119928461,None,None,None
2829524,63781119928472,None,None,None
2829540,63781119928483,None,None,None
2829549,63781119928494,None,None,None
2829557,63781119928505,None,None,None
2829574,63781119928517,None,None,None
2829582,63781119928527,None,None,None
2829590,63781119928539,None,None,None
2829607,63781119928550,None,None,None
2829615,63781119928561,None,None,None
2829624,63781119928572,None,None,None
2829640,63781119928583,None,None,None
2829649,63781119928595,None,None,None
2829657,63781119928605,None,None,None
2829674,63781119928617,None,None,None
2829682,63781119928627,None,None,None
2829690,63781119928639,None,None,None
2829707,63781119928650,None,None,None
2829715,63781119928661,None,None,None
2829724,63781119928672,None,None,None
2829740,63781119928683,None,None,None
2829749,63781119928694,None,None,None
2829757,63781119928705,None,None,None
2829774,63781119928717,None,None,None
2829782,63781119928728,None,None,None
2829790,63781119928739,None,None,None
2829807,63781119928751,None,None,None
2829815,63781119928761,None,None,None
2829824,63781119928772,None,None,None
2829840,63781119928783,None,None,None
2829849,63781119928794,None,None,None
2829857,63781119928806,None,None,None
2829874,63781119928817,None,None,None
2829882,63781119928828,None,None,None
2829890,63781119928839,None,None,None
2829907,63781119928850,None,None,None
2829915,63781119928861,None,None,None
2829924,63781119928872,None,None,None
2829932,63781119928883,None,None,None
2829949,63781119928894,None,None,None
2829957,63781119928906,None,None,None
2829965,63781119928916,None,None,None
2829982,63781119928927,None,None,None
2829990,63781119928939,None,None,None
2830007,63781119928951,None,None,None
2830015,63781119928963,None,None,None
2830024,63781119928974,None,None,None
2830040,63781119928986,None,None,None
2830049,63781119928997,None,None,None
2830065,63781119929009,None,None,None
2830074,63781119929020,None,None,None
2830082,63781119929032,None,None,None
2830099,63781119929043,None,None,None
2830107,63781119929055,None,None,None
2830124,63781119929067,None,None,None
2830132,63781119929077,None,None,None
2830140,63781119929088,None,None,None
2830157,63781119929099,None,None,None
2830165,63781119929110,None,None,None
2830174,63781119929122,None,None,None
2830190,63781119929133,None,None,None
2830199,63781119929144,None,None,None
2830207,63781119929155,None,None,None
2830224,63781119929166,None,None,None
2830232,63781119929177,None,None,None
2830240,63781119929188,None,None,None
2830257,63781119929199,None,None,None
2830265,63781119929210,None,None,None
2830274,63781119929222,None,None,None
2830290,63781119929233,None,None,None
2830299,63781119929243,None,None,None
2830307,63781119929255,None,None,None
2830324,63781119929266,None,None,None
2830332,63781119929277,None,None,None
2830340,63781119929288,None,None,None
2830357,63781119929299,None,None,None
2830365,63781119929310,None,None,None
2830374,63781119929321,None,None,None
2830390,63781119929333,None,None,None
2830399,63781119929344,None,None,None
2830407,63781119929355,None,None,None
2830424,63781119929366,None,None,None
2830432,63781119929377,None,None,None
2830440,63781119929388,None,None,None
2830457,63781119929399,None,None,None
2830465,63781119929410,None,None,None
2830474,63781119929421,None,None,None
2830490,63781119929433,None,None,None
2830499,63781119929443,None,None,None
2830507,63781119929454,None,None,None
2830524,63781119929466,None,None,None
2830532,63781119929477,None,None,None
2830540,63781119929488,None,None,None
2830557,63781119929499,None,None,None
2830565,63781119929510,None,None,None
2830574,63781119929521,None,None,None
2830590,63781119929533,None,None,None
2830599,63781119929543,None,None,None
2830607,63781119929555,None,None,None
2830624,63781119929566,None,None,None
2830632,63781119929577,None,None,None
2830640,63781119929588,None,None,None
2830657,63781119929599,None,None,None
2830665,63781119929610,None,None,None
2830674,63781119929621,None,None,None
2830682,63781119929632,None,None,None
2830699,63781119929643,None,None,None
2830707,63781119929654,None,None,None
2830715,63781119929665,None,None,None
2830732,63781119929676,None,None,None
2830740,63781119929688,None,None,None
2830749,63781119929699,None,None,None
2830765,63781119929710,None,None,None
2830774,63781119929721,None,None,None
2830782,63781119929732,None,None,None
2830799,63781119929743,None,None,None
2830807,63781119929754,None,None,None
2830815,63781119929766,None,None,None
2830832,63781119929777,None,None,None
2830840,63781119929788,None,None,None
2830849,63781119929799,None,None,None
