OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
2807076,63781128495973,None,None,None
2807084,63781128495978,None,None,None
2807084,63781128495982,None,None,None
2807084,63781128495986,None,None,None
2807101,63781128495997,None,None,None
2807109,63781128496009,None,None,None
2807118,63781128496019,None,None,None
2807134,63781128496031,None,None,None
2807143,63781128496041,None,None,None
2807159,63781128496053,None,None,None
2807168,63781128496064,None,None,None
2807176,63781128496075,None,None,None
2807185,63781128496086,None,None,None
2807201,63781128496097,None,None,None
2807210,63781128496108,None,None,None
2807226,63781128496119,None,None,None
2807235,63781128496130,None,None,None
2807243,63781128496142,None,None,None
2807260,63781128496152,None,None,None
2807268,63781128496164,None,None,None
2807276,63781128496175,None,None,None
2807285,63781128496186,None,None,None
2807301,63781128496197,None,None,None
2807310,63781128496208,None,None,None
2807318,63781128496220,None,None,None
2807335,63781128496231,None,None,None
2807343,63781128496241,None,None,None
2807351,63781128496253,None,None,None
2807368,63781128496264,None,None,None
2807376,63781128496275,None,None,None
2807393,63781128496286,None,None,None
2807401,63781128496297,None,None,None
2807410,63781128496308,None,None,None
2807426,63781128496319,None,None,None
2807435,63781128496330,None,None,None
2807443,63781128496342,None,None,None
2807451,63781128496352,None,None,None
2807468,63781128496364,None,None,None
2807476,63781128496375,None,None,None
2807485,63781128496387,None,None,None
2807501,63781128496398,None,None,None
2807510,63781128496409,None,None,None
2807518,63781128496420,None,None,None
2807535,63781128496431,None,None,None
2807543,63781128496442,None,None,None
2807551,63781128496453,None,None,None
2807568,63781128496465,None,None,None
2807576,63781128496476,None,None,None
2807585,63781128496487,None,None,None
2807601,63781128496498,None,None,None
2807610,63781128496510,None,None,None
2807626,63781128496521,None,None,None
2807634,63781128496533,None,None,None
2807643,63781128496545,None,None,None
2807660,63781128496556,None,None,None
2807668,63781128496568,None,None,None
2807685,63781128496580,None,None,None
2807693,63781128496591,None,None,None
2807701,63781128496603,None,None,None
2807718,63781128496614,None,None,None
2807726,63781128496625,None,None,None
2807735,63781128496636,None,None,None
2807751,63781128496647,None,None,None
2807760,63781128496658,None,None,None
2807768,63781128496669,None,None,None
