OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
1686169,63781204683589,None,None,None
1686185,63781204683599,None,None,None
1686194,63781204683610,None,None,None
1686202,63781204683621,None,None,None
1686219,63781204683633,None,None,None
1686235,63781204683650,None,None,None
1686244,63781204683661,None,None,None
1686252,63781204683672,None,None,None
1686269,63781204683684,None,None,None
1686277,63781204683695,None,None,None
1686285,63781204683706,None,None,None
1686302,63781204683717,None,None,None
1686310,63781204683728,None,None,None
1686319,63781204683739,None,None,None
1686335,63781204683750,None,None,None
1686344,63781204683762,None,None,None
1686352,63781204683772,None,None,None
1686369,63781204683783,None,None,None
1686377,63781204683795,None,None,None
1686385,63781204683806,None,None,None
1686402,63781204683817,None,None,None
1686410,63781204683828,None,None,None
1686419,63781204683839,None,None,None
1686435,63781204683850,None,None,None
1686444,63781204683861,None,None,None
1686452,63781204683872,None,None,None
1686469,63781204683884,None,None,None
1686477,63781204683895,None,None,None
1686485,63781204683905,None,None,None
1686502,63781204683916,None,None,None
1686510,63781204683928,None,None,None
1686519,63781204683939,None,None,None
1686535,63781204683950,None,None,None
1686544,63781204683962,None,None,None
1686552,63781204683973,None,None,None
1686569,63781204683984,None,None,None
1686577,63781204683995,None,None,None
1686585,63781204684007,None,None,None
1686602,63781204684018,None,None,None
1686610,63781204684030,None,None,None
1686619,63781204684041,None,None,None
1686635,63781204684052,None,None,None
1686644,63781204684063,None,None,None
1686660,63781204684074,None,None,None
1686669,63781204684086,None,None,None
1686677,63781204684097,None,None,None
1686694,63781204684109,None,None,None
1686702,63781204684120,None,None,None
1686710,63781204684131,None,None,None
1686727,63781204684143,None,None,None
1686735,63781204684154,None,None,None
1686744,63781204684165,None,None,None
1686760,63781204684177,None,None,None
1686769,63781204684188,None,None,None
1686785,63781204684199,None,None,None
1686794,63781204684211,None,None,None
1686802,63781204684222,None,None,None
1686819,63781204684233,None,None,None
1686827,63781204684244,None,None,None
1686835,63781204684255,None,None,None
1686852,63781204684267,None,None,None
1686860,63781204684277,None,None,None
1686869,63781204684289,None,None,None
1686885,63781204684300,None,None,None
1686894,63781204684311,None,None,None
1686902,63781204684322,None,None,None
1686919,63781204684333,None,None,None
1686927,63781204684344,None,None,None
1686935,63781204684355,None,None,None
1686952,63781204684367,None,None,None
1686960,63781204684378,None,None,None
1686969,63781204684389,None,None,None
1686985,63781204684400,None,None,None
1686994,63781204684411,None,None,None
1687002,63781204684422,None,None,None
1687018,63781204684433,None,None,None
1687027,63781204684444,None,None,None
1687035,63781204684456,None,None,None
1687052,63781204684466,None,None,None
1687060,63781204684478,None,None,None
1687068,63781204684489,None,None,None
1687085,63781204684500,None,None,None
1687093,63781204684511,None,None,None
1687102,63781204684522,None,None,None
1687118,63781204684533,None,None,None
1687127,63781204684544,None,None,None
1687135,63781204684555,None,None,None
1687152,63781204684566,None,None,None
1687160,63781204684578,None,None,None
1687168,63781204684589,None,None,None
1687185,63781204684600,None,None,None
1687193,63781204684611,None,None,None
1687202,63781204684622,None,None,None
1687218,63781204684633,None,None,None
1687227,63781204684644,None,None,None
1687235,63781204684655,None,None,None
1687252,63781204684667,None,None,None
1687260,63781204684678,None,None,None
1687268,63781204684689,None,None,None
1687285,63781204684700,None,None,None
1687293,63781204684711,None,None,None
1687302,63781204684722,None,None,None
1687318,63781204684733,None,None,None
1687327,63781204684744,None,None,None
1687335,63781204684755,None,None,None
1687352,63781204684766,None,None,None
1687360,63781204684777,None,None,None
1687368,63781204684789,None,None,None
1687385,63781204684800,None,None,None
1687393,63781204684811,None,None,None
1687402,63781204684822,None,None,None
1687418,63781204684833,None,None,None
1687427,63781204684844,None,None,None
1687435,63781204684855,None,None,None
1687452,63781204684866,None,None,None
1687460,63781204684877,None,None,None
1687468,63781204684889,None,None,None
1687485,63781204684900,None,None,None
1687493,63781204684911,None,None,None
1687502,63781204684922,None,None,None
1687518,63781204684933,None,None,None
1687527,63781204684944,None,None,None
1687535,63781204684955,None,None,None
1687552,63781204684966,None,None,None
1687560,63781204684977,None,None,None
1687568,63781204684989,None,None,None
1687585,63781204684999,None,None,None
1687593,63781204685011,None,None,None
1687602,63781204685022,None,None,None
1687618,63781204685033,None,None,None
1687627,63781204685044,None,None,None
1687635,63781204685055,None,None,None
1687652,63781204685067,None,None,None
1687660,63781204685077,None,None,None
1687668,63781204685089,None,None,None
1687685,63781204685100,None,None,None
1687693,63781204685111,None,None,None
1687702,63781204685122,None,None,None
1687718,63781204685133,None,None,None
1687727,63781204685144,None,None,None
1687735,63781204685155,None,None,None
1687752,63781204685166,None,None,None
1687760,63781204685177,None,None,None
1687768,63781204685189,None,None,None
1687785,63781204685199,None,None,None
1687793,63781204685211,None,None,None
1687802,63781204685222,None,None,None
1687818,63781204685232,None,None,None
1687827,63781204685244,None,None,None
1687835,63781204685255,None,None,None
1687852,63781204685266,None,None,None
1687860,63781204685277,None,None,None
1687868,63781204685288,None,None,None
1687885,63781204685300,None,None,None
1687893,63781204685310,None,None,None
1687902,63781204685322,None,None,None
1687918,63781204685333,None,None,None
1687927,63781204685343,None,None,None
1687935,63781204685355,None,None,None
1687952,63781204685366,None,None,None
1687960,63781204685377,None,None,None
1687968,63781204685388,None,None,None
1687985,63781204685399,None,None,None
1687993,63781204685410,None,None,None
1688002,63781204685421,None,None,None
1688018,63781204685432,None,None,None
1688027,63781204685444,None,None,None
1688035,63781204685455,None,None,None
1688052,63781204685466,None,None,None
1688060,63781204685477,None,None,None
1688068,63781204685489,None,None,None
1688085,63781204685499,None,None,None
1688093,63781204685510,None,None,None
1688102,63781204685521,None,None,None
1688118,63781204685532,None,None,None
1688127,63781204685543,None,None,None
1688135,63781204685555,None,None,None
1688152,63781204685566,None,None,None
1688160,63781204685577,None,None,None
1688168,63781204685588,None,None,None
1688185,63781204685599,None,None,None
1688193,63781204685610,None,None,None
1688202,63781204685621,None,None,None
1688218,63781204685632,None,None,None
1688227,63781204685644,None,None,None
1688235,63781204685655,None,None,None
1688252,63781204685666,None,None,None
1688260,63781204685677,None,None,None
1688268,63781204685688,None,None,None
1688285,63781204685699,None,None,None
1688293,63781204685710,None,None,None
1688302,63781204685721,None,None,None
1688318,63781204685732,None,None,None
1688327,63781204685743,None,None,None
1688335,63781204685755,None,None,None
1688352,63781204685766,None,None,None
1688360,63781204685776,None,None,None
1688368,63781204685788,None,None,None
1688385,63781204685799,None,None,None
1688393,63781204685810,None,None,None
1688402,63781204685822,None,None,None
1688418,63781204685833,None,None,None
1688426,63781204685843,None,None,None
1688435,63781204685854,None,None,None
1688451,63781204685865,None,None,None
1688460,63781204685877,None,None,None
1688468,63781204685888,None,None,None
1688485,63781204685899,None,None,None
1688493,63781204685910,None,None,None
1688501,63781204685921,None,None,None
1688518,63781204685932,None,None,None
1688526,63781204685943,None,None,None
1688535,63781204685955,None,None,None
1688551,63781204685965,None,None,None
1688560,63781204685977,None,None,None
1688568,63781204685988,None,None,None
1688585,63781204685999,None,None,None
1688593,63781204686010,None,None,None
1688602,63781204686021,None,None,None
1688618,63781204686032,None,None,None
1688627,63781204686043,None,None,None
1688635,63781204686054,None,None,None
1688652,63781204686066,None,None,None
1688660,63781204686077,None,None,None
1688668,63781204686088,None,None,None
1688685,63781204686099,None,None,None
1688693,63781204686110,None,None,None
1688701,63781204686121,None,None,None
1688718,63781204686132,None,None,None
1688726,63781204686143,None,None,None
1688743,63781204686160,None,None,None
1688751,63781204686165,None,None,None
1688751,63781204686173,None,None,None
1688768,63781204686184,None,None,None
1688776,63781204686195,None,None,None
1688785,63781204686206,None,None,None
1688801,63781204686217,None,None,None
1688810,63781204686228,None,None,None
1688818,63781204686239,None,None,None
1688835,63781204686250,None,None,None
1688843,63781204686261,None,None,None
1688851,63781204686273,None,None,None
1688868,63781204686284,None,None,None
1688876,63781204686295,None,None,None
1688885,63781204686306,None,None,None
1688901,63781204686317,None,None,None
1688910,63781204686328,None,None,None
1688918,63781204686340,None,None,None
1688935,63781204686351,None,None,None
1688943,63781204686362,None,None,None
1688951,63781204686373,None,None,None
1688968,63781204686384,None,None,None
1688976,63781204686395,None,None,None
1688985,63781204686406,None,None,None
1689001,63781204686417,None,None,None
1689010,63781204686428,None,None,None
1689018,63781204686439,None,None,None
1689035,63781204686450,None,None,None
1689043,63781204686462,None,None,None
1689051,63781204686473,None,None,None
1689068,63781204686483,None,None,None
1689076,63781204686495,None,None,None
1689085,63781204686506,None,None,None
