OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
2471523,63781205468950,None,None,None
2471532,63781205468956,None,None,None
2471540,63781205468961,None,None,None
2471540,63781205468966,None,None,None
2471557,63781205468978,None,None,None
2471565,63781205468989,None,None,None
2471573,63781205469000,None,None,None
2471590,63781205469011,None,None,None
2471598,63781205469022,None,None,None
2471606,63781205469033,None,None,None
2471623,63781205469044,None,None,None
2471631,63781205469055,None,None,None
2471640,63781205469066,None,None,None
2471656,63781205469077,None,None,None
2471665,63781205469088,None,None,None
2471673,63781205469100,None,None,None
2471690,63781205469110,None,None,None
2471698,63781205469122,None,None,None
2471706,63781205469133,None,None,None
2471723,63781205469144,None,None,None
2471731,63781205469155,None,None,None
2471740,63781205469166,None,None,None
2471756,63781205469177,None,None,None
2471765,63781205469188,None,None,None
2471773,63781205469199,None,None,None
2471790,63781205469210,None,None,None
2471798,63781205469222,None,None,None
2471806,63781205469233,None,None,None
2471823,63781205469244,None,None,None
2471831,63781205469255,None,None,None
2471840,63781205469266,None,None,None
2471856,63781205469276,None,None,None
2471865,63781205469290,None,None,None
2471873,63781205469300,None,None,None
2471890,63781205469311,None,None,None
2471898,63781205469322,None,None,None
2471906,63781205469333,None,None,None
2471923,63781205469344,None,None,None
2471931,63781205469355,None,None,None
2471940,63781205469367,None,None,None
2471956,63781205469378,None,None,None
2471965,63781205469389,None,None,None
2471973,63781205469399,None,None,None
2471990,63781205469411,None,None,None
2471998,63781205469421,None,None,None
2472006,63781205469433,None,None,None
2472023,63781205469444,None,None,None
2472031,63781205469455,None,None,None
2472040,63781205469466,None,None,None
2472056,63781205469477,None,None,None
2472065,63781205469488,None,None,None
2472073,63781205469499,None,None,None
2472090,63781205469510,None,None,None
2472098,63781205469521,None,None,None
2472106,63781205469532,None,None,None
2472123,63781205469544,None,None,None
2472131,63781205469554,None,None,None
2472140,63781205469566,None,None,None
2472156,63781205469577,None,None,None
2472165,63781205469588,None,None,None
2472173,63781205469599,None,None,None
2472190,63781205469611,None,None,None
2472198,63781205469622,None,None,None
2472206,63781205469634,None,None,None
2472223,63781205469644,None,None,None
2472240,63781205469661,None,None,None
2472248,63781205469672,None,None,None
2472256,63781205469683,None,None,None
2472273,63781205469694,None,None,None
2472281,63781205469705,None,None,None
2472290,63781205469716,None,None,None
2472306,63781205469727,None,None,None
2472315,63781205469738,None,None,None
2472323,63781205469749,None,None,None
2472340,63781205469761,None,None,None
2472348,63781205469771,None,None,None
2472356,63781205469782,None,None,None
2472373,63781205469794,None,None,None
2472381,63781205469805,None,None,None
2472390,63781205469816,None,None,None
2472406,63781205469827,None,None,None
2472415,63781205469838,None,None,None
2472423,63781205469849,None,None,None
2472440,63781205469861,None,None,None
2472448,63781205469871,None,None,None
2472456,63781205469883,None,None,None
2472473,63781205469894,None,None,None
2472481,63781205469905,None,None,None
2472490,63781205469916,None,None,None
2472506,63781205469927,None,None,None
2472515,63781205469938,None,None,None
2472523,63781205469949,None,None,None
2472540,63781205469960,None,None,None
2472548,63781205469971,None,None,None
2472556,63781205469983,None,None,None
2472573,63781205469993,None,None,None
2472581,63781205470005,None,None,None
2472590,63781205470016,None,None,None
2472606,63781205470027,None,None,None
2472615,63781205470038,None,None,None
2472623,63781205470049,None,None,None
2472640,63781205470060,None,None,None
2472648,63781205470071,None,None,None
2472656,63781205470083,None,None,None
2472673,63781205470094,None,None,None
2472681,63781205470104,None,None,None
2472690,63781205470116,None,None,None
2472706,63781205470127,None,None,None
2472715,63781205470138,None,None,None
2472723,63781205470149,None,None,None
2472740,63781205470160,None,None,None
2472748,63781205470171,None,None,None
2472756,63781205470182,None,None,None
2472773,63781205470194,None,None,None
2472781,63781205470204,None,None,None
2472790,63781205470216,None,None,None
2472806,63781205470227,None,None,None
2472815,63781205470238,None,None,None
2472823,63781205470249,None,None,None
2472840,63781205470260,None,None,None
2472848,63781205470271,None,None,None
2472856,63781205470282,None,None,None
2472873,63781205470293,None,None,None
2472881,63781205470304,None,None,None
2472890,63781205470316,None,None,None
2472906,63781205470327,None,None,None
2472915,63781205470338,None,None,None
2472923,63781205470349,None,None,None
2472940,63781205470360,None,None,None
2472948,63781205470371,None,None,None
2472956,63781205470382,None,None,None
2472973,63781205470394,None,None,None
2472981,63781205470405,None,None,None
2472989,63781205470415,None,None,None
2473006,63781205470427,None,None,None
2473014,63781205470438,None,None,None
2473023,63781205470449,None,None,None
2473039,63781205470460,None,None,None
2473048,63781205470471,None,None,None
2473056,63781205470482,None,None,None
2473073,63781205470493,None,None,None
2473081,63781205470505,None,None,None
2473089,63781205470516,None,None,None
2473106,63781205470527,None,None,None
2473114,63781205470538,None,None,None
2473123,63781205470549,None,None,None
2473139,63781205470560,None,None,None
2473148,63781205470571,None,None,None
2473156,63781205470583,None,None,None
2473173,63781205470594,None,None,None
2473181,63781205470604,None,None,None
2473189,63781205470615,None,None,None
2473206,63781205470627,None,None,None
2473214,63781205470637,None,None,None
2473223,63781205470649,None,None,None
2473239,63781205470660,None,None,None
2473248,63781205470671,None,None,None
2473256,63781205470682,None,None,None
2473273,63781205470693,None,None,None
2473281,63781205470704,None,None,None
2473289,63781205470715,None,None,None
2473306,63781205470727,None,None,None
2473314,63781205470738,None,None,None
2473323,63781205470749,None,None,None
2473339,63781205470760,None,None,None
2473348,63781205470771,None,None,None
2473356,63781205470782,None,None,None
2473373,63781205470793,None,None,None
2473381,63781205470804,None,None,None
2473389,63781205470815,None,None,None
2473406,63781205470826,None,None,None
2473414,63781205470837,None,None,None
2473423,63781205470849,None,None,None
2473439,63781205470859,None,None,None
2473448,63781205470871,None,None,None
2473456,63781205470882,None,None,None
2473473,63781205470893,None,None,None
2473481,63781205470904,None,None,None
2473489,63781205470915,None,None,None
2473506,63781205470926,None,None,None
2473514,63781205470937,None,None,None
2473523,63781205470949,None,None,None
