OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
910699,63781229677920,None,None,None
910715,63781229677932,None,None,None
910724,63781229677943,None,None,None
910732,63781229677955,None,None,None
910749,63781229677966,None,None,None
910757,63781229677977,None,None,None
910765,63781229677988,None,None,None
910782,63781229678000,None,None,None
910790,63781229678011,None,None,None
910799,63781229678022,None,None,None
910815,63781229678033,None,None,None
910824,63781229678044,None,None,None
910832,63781229678055,None,None,None
910849,63781229678066,None,None,None
910857,63781229678077,None,None,None
910865,63781229678088,None,None,None
910882,63781229678100,None,None,None
910890,63781229678111,None,None,None
910899,63781229678122,None,None,None
910915,63781229678133,None,None,None
910924,63781229678144,None,None,None
910932,63781229678155,None,None,None
910949,63781229678167,None,None,None
910957,63781229678177,None,None,None
910965,63781229678188,None,None,None
910982,63781229678200,None,None,None
910990,63781229678211,None,None,None
910999,63781229678222,None,None,None
911015,63781229678233,None,None,None
911024,63781229678244,None,None,None
911032,63781229678255,None,None,None
911049,63781229678266,None,None,None
911057,63781229678277,None,None,None
911065,63781229678288,None,None,None
911082,63781229678300,None,None,None
911090,63781229678310,None,None,None
911099,63781229678322,None,None,None
911115,63781229678333,None,None,None
911124,63781229678344,None,None,None
911132,63781229678355,None,None,None
911149,63781229678366,None,None,None
911157,63781229678377,None,None,None
911165,63781229678388,None,None,None
911182,63781229678400,None,None,None
911190,63781229678410,None,None,None
911199,63781229678421,None,None,None
911215,63781229678433,None,None,None
911224,63781229678444,None,None,None
911232,63781229678455,None,None,None
911249,63781229678466,None,None,None
911257,63781229678477,None,None,None
911265,63781229678488,None,None,None
911282,63781229678499,None,None,None
911290,63781229678510,None,None,None
911299,63781229678522,None,None,None
911315,63781229678533,None,None,None
911324,63781229678544,None,None,None
911332,63781229678555,None,None,None
911349,63781229678566,None,None,None
911357,63781229678577,None,None,None
911365,63781229678588,None,None,None
911382,63781229678600,None,None,None
911390,63781229678610,None,None,None
911399,63781229678621,None,None,None
911415,63781229678633,None,None,None
911424,63781229678644,None,None,None
911432,63781229678655,None,None,None
911449,63781229678666,None,None,None
911457,63781229678677,None,None,None
911465,63781229678688,None,None,None
911482,63781229678699,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
911490,63781229678710,None,None,None
911499,63781229678721,None,None,None
911515,63781229678733,None,None,None
911524,63781229678744,None,None,None
911532,63781229678755,None,None,None
911549,63781229678766,None,None,None
911557,63781229678777,None,None,None
911565,63781229678789,None,None,None
911582,63781229678799,None,None,None
911590,63781229678810,None,None,None
911599,63781229678821,None,None,None
911615,63781229678832,None,None,None
911624,63781229678844,None,None,None
911632,63781229678854,None,None,None
911649,63781229678866,None,None,None
911657,63781229678877,None,None,None
911665,63781229678888,None,None,None
911682,63781229678899,None,None,None
911690,63781229678910,None,None,None
911699,63781229678921,None,None,None
911715,63781229678933,None,None,None
911724,63781229678945,None,None,None
911732,63781229678954,None,None,None
911749,63781229678966,None,None,None
911757,63781229678977,None,None,None
