UnityTS,heart,breath,GSR
63781294606058,32142,29964,95
63781294606069,31364,29782,92
63781294606073,30666,29672,88
63781294606089,30108,29579,93
63781294606096,29752,29558,66
63781294606117,29616,29582,92
63781294606117,29652,29428,81
63781294606128,29868,29296,92
63781294606138,30180,29174,94
63781294606148,30525,28856,92
63781294606158,30873,28872,92
63781294606162,31180,28732,87
63781294606174,31412,28476,93
63781294606189,31558,28440,92
63781294606193,31656,28328,95
63781294606209,31678,28145,87
63781294606213,31636,28093,89
63781294606228,31560,28013,88
63781294606232,31440,27906,89
63781294606248,31305,27732,91
63781294606279,31160,27752,91
63781294606284,31014,27582,90
63781294606287,30841,27637,96
63781294606289,30667,27585,88
63781294606293,30488,27406,87
63781294606308,30316,27294,101
63781294606314,30128,27228,94
63781294606331,29942,27184,92
63781294606334,29768,27140,88
63781294606349,29600,27060,95
63781294606353,29448,27170,93
63781294606406,29312,27276,89
63781294606413,29215,27357,92
63781294606416,29140,27452,92
63781294606418,29128,27528,89
63781294606420,29264,27656,94
63781294606423,29668,27818,88
63781294606439,30472,27896,88
63781294606439,31662,27988,89
63781294606444,33120,28006,87
63781294606459,34656,28116,90
63781294606463,36160,28240,104
63781294606478,37384,28304,87
63781294606484,38316,28440,94
63781294606499,38896,28648,93
63781294606503,39120,28841,92
63781294606517,39032,28980,85
63781294606533,38656,29252,92
63781294606535,38073,29360,88
63781294606550,37332,29400,88
63781294606553,36496,29532,87
63781294606569,35616,29576,88
63781294606573,34682,29628,101
63781294606587,33748,29812,96
63781294606597,32848,29868,92
63781294606608,32014,29941,91
63781294606612,31324,30070,89
63781294606624,30842,30120,89
63781294606634,30600,30266,93
63781294606650,30596,30126,90
63781294606653,30808,30272,85
63781294606668,31172,30546,88
63781294606672,31620,30708,93
63781294606693,32081,30770,86
63781294606693,32520,30640,89
63781294606707,32898,30698,87
63781294606717,33180,30868,92
63781294606727,33388,30964,101
63781294606762,33513,31060,93
63781294606058,32142,29964,95
63781294606069,31364,29782,92
63781294606073,30666,29672,88
63781294606089,30108,29579,93
63781294606096,29752,29558,66
