OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
1338001,63779503235786,-17.96616,2.26149,-0.4201518,-0.2442047,-0.2234072,0.0365445,-0.9429305,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338009,63779503322464,-17.84917,1.659653,-0.5089115,0.4896795,-0.4426872,-5.170482E-05,-0.7511605,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338018,63779503322475,-17.84932,1.659612,-0.508848,0.4896104,-0.4427607,-4.846172E-05,-0.7511623,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338026,63779503322475,-17.84932,1.659612,-0.508848,0.4896104,-0.4427607,-4.846172E-05,-0.7511623,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338034,63779503322486,-17.85035,1.659336,-0.5085468,0.489571,-0.4427553,-6.290514E-05,-0.7511911,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338043,63779503322497,-17.84914,1.659738,-0.5090547,0.4895592,-0.4427328,4.584028E-05,-0.751212,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338051,63779503322508,-17.84931,1.659685,-0.5089959,0.4896295,-0.4426323,6.001676E-05,-0.7512254,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338059,63779503322508,-17.84931,1.659685,-0.5089959,0.4896295,-0.4426323,6.001676E-05,-0.7512254,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338068,63779503322519,-17.84954,1.659535,-0.5087809,0.4895423,-0.4426587,6.0961E-05,-0.7512667,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338076,63779503322531,-17.8492,1.659659,-0.5088451,0.4895892,-0.4426401,4.520058E-05,-0.7512472,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338084,63779503322541,-17.84939,1.659618,-0.5087582,0.4895163,-0.4426263,0.0001317108,-0.7513027,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338093,63779503322541,-17.84939,1.659618,-0.5087582,0.4895163,-0.4426263,0.0001317108,-0.7513027,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338101,63779503322553,-17.84919,1.659701,-0.5088678,0.4893733,-0.442602,7.350615E-05,-0.7514102,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338109,63779503322564,-17.84937,1.65965,-0.5087603,0.4894254,-0.4425906,0.0001223431,-0.7513829,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338118,63779503322575,-17.84911,1.659744,-0.5089212,0.4893531,-0.4425916,0.0002743757,-0.7514294,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338126,63779503322575,-17.84911,1.659744,-0.5089212,0.4893531,-0.4425916,0.0002743757,-0.7514294,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338134,63779503322586,-17.84898,1.659759,-0.5089359,0.4893228,-0.4425487,0.0002495914,-0.7514745,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338143,63779503322598,-17.84918,1.659719,-0.5088553,0.489278,-0.442572,0.000349957,-0.7514899,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338151,63779503322608,-17.85386,1.657953,-0.5073607,0.489252,-0.4420973,0.0002490754,-0.7517861,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338159,63779503322608,-17.85386,1.657953,-0.5073607,0.489252,-0.4420973,0.0002490754,-0.7517861,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338168,63779503322620,-17.85412,1.657874,-0.5072543,0.4892783,-0.4421028,0.0002625139,-0.7517658,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338176,63779503322630,-17.8557,1.65748,-0.5065528,0.4892986,-0.4420657,0.000231182,-0.7517744,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
1338184,63779503322641,-17.8558,1.657446,-0.5065331,0.4893392,-0.4419735,0.0002937249,-0.7518021,-0.001,-0.001,-0.001,1,-1,-1,0.03619608,0.006865677,-0.05173194,0.03619608,0.006865677,-0.05173194,0,0,0,0,0,0,-1,-1,False,False,False
