OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
1842200,63779589710974,-13.56573,2.610591,-0.5012211,-0.01639161,0.9915635,-0.09150752,0.09033021,0.007602997,0.003304077,-0.02369509,-0.1908417,0.03837585,0.9808655,0.0327284,0.00318808,-0.02355521,0.0327284,0.00318808,-0.02355521,-0.1750031,0.03529358,0.9839325,-0.1750031,0.03529358,0.9839325,4.320953,4.320953,True,True,True
1842209,63779589725235,-13.34822,2.590246,-0.1412925,-0.009391312,0.996993,-0.07219151,-0.0265573,0.007210129,0.003304566,-0.02369855,-0.1905212,0.03837585,0.9809265,0.03272833,0.003186737,-0.02355454,0.03272833,0.003186737,-0.02355454,-0.174408,0.0348053,0.9840546,-0.174408,0.0348053,0.9840546,4.320541,4.320541,True,True,True
1842217,63779589725235,-13.34822,2.590246,-0.1412925,-0.009391312,0.996993,-0.07219151,-0.0265573,0.0071194,0.003302857,-0.02370097,-0.1905365,0.03791809,0.9809418,0.03272818,0.00318367,-0.02355376,0.03272818,0.00318367,-0.02355376,-0.1744385,0.03437805,0.9840546,-0.1744385,0.03437805,0.9840546,4.320389,4.320389,True,True,True
1842225,63779589725253,-13.34934,2.59063,-0.1398968,-0.009770588,0.9971893,-0.0688295,-0.0279377,0.007288208,0.003301193,-0.02370117,-0.1903381,0.03778076,0.9809875,0.03272777,0.003182404,-0.02355365,0.03272777,0.003182404,-0.02355365,-0.1742249,0.03465271,0.9840851,-0.1742249,0.03465271,0.9840851,4.320755,4.320755,True,True,True
1842234,63779589725258,-13.34936,2.590635,-0.1398267,-0.009833418,0.9972026,-0.06868048,-0.02780526,0.007414917,0.003300339,-0.02370088,-0.1902313,0.03709412,0.9810333,0.03272776,0.003181915,-0.02355365,0.03272776,0.003181915,-0.02355365,-0.1742096,0.03337097,0.9841309,-0.1742096,0.03337097,0.9841309,4.319839,4.319839,True,True,True
1842242,63779589725267,-13.34925,2.590671,-0.1396481,-0.01024939,0.9972218,-0.06836967,-0.02773294,0.007549378,0.003299042,-0.0237016,-0.1902466,0.03735352,0.9810181,0.03272629,0.003180771,-0.02355353,0.03272629,0.003180771,-0.02355353,-0.1742859,0.03373718,0.9841156,-0.1742859,0.03373718,0.9841156,4.346695,4.346695,True,True,True
1842250,63779589725278,-13.34921,2.590783,-0.1395767,-0.01017152,0.997254,-0.06800741,-0.02749445,0.007615433,0.003298172,-0.02370075,-0.190567,0.03735352,0.980957,0.03272543,0.003180237,-0.0235526,0.03272543,0.003180237,-0.0235526,-0.17453,0.03375244,0.9840698,-0.17453,0.03375244,0.9840698,4.327515,4.327515,True,True,True
1842259,63779589725278,-13.34921,2.590783,-0.1395767,-0.01017152,0.997254,-0.06800741,-0.02749445,0.007664017,0.00329776,-0.023702,-0.1905518,0.0375824,0.9809418,0.03272538,0.003180146,-0.02355016,0.03272538,0.003180146,-0.02355016,-0.17453,0.03366089,0.9840698,-0.17453,0.03366089,0.9840698,4.347,4.347,True,True,True
1842267,63779589725289,-13.34917,2.590816,-0.1395206,-0.01026123,0.9972844,-0.06761201,-0.02733496,0.007673508,0.003297592,-0.02370346,-0.1908112,0.03747559,0.980896,0.0327237,0.003180039,-0.023549,0.0327237,0.003180039,-0.023549,-0.1749878,0.03337097,0.9839935,-0.1749878,0.03337097,0.9839935,4.327927,4.327927,True,True,True
1842275,63779589725301,-13.34909,2.590879,-0.1394569,-0.01030854,0.9972941,-0.06748644,-0.02727003,0.007672974,0.003294541,-0.02370371,-0.1908417,0.03831482,0.9808655,0.03272208,0.003174805,-0.02354897,0.03272208,0.003174805,-0.02354897,-0.1752319,0.03482056,0.983902,-0.1752319,0.03482056,0.983902,4.347916,4.347916,True,True,True
1842284,63779589725311,-13.34897,2.590873,-0.1394209,-0.01019461,0.9973201,-0.06718807,-0.02710098,0.007670792,0.003293182,-0.02370395,-0.1903076,0.03823853,0.9809723,0.03272206,0.003172562,-0.02354433,0.03272206,0.003172562,-0.02354433,-0.1749268,0.03511047,0.9839478,-0.1749268,0.03511047,0.9839478,4.348175,4.348175,True,True,True
