OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
2722909,63779586296506,-14.9218,2.656546,-1.378649,-0.01240174,0.9937515,-0.1105035,0.009652208,0.03300278,0.0006376343,-0.0233168,-0.07553101,-0.002532959,0.9971313,0.03300278,0.0006376343,-0.0233168,0.03300278,0.0006376343,-0.0233168,-0.07553101,-0.002532959,0.9971313,-0.07553101,-0.002532959,0.9971313,4.987,4.987,True,True,True
2722917,63779586310946,-15.2385,2.324864,-0.3063182,-0.09866452,0.9840567,-0.0210259,0.1464778,0.03297739,0.0006838227,-0.0233125,-0.05975342,-0.0176239,0.9980469,0.03297739,0.0006838227,-0.0233125,0.03297739,0.0006838227,-0.0233125,-0.05975342,-0.0176239,0.9980469,-0.05975342,-0.0176239,0.9980469,4.924103,4.924103,True,True,True
2722925,63779586310956,-15.23693,2.325022,-0.3024491,-0.09841447,0.983896,-0.02118576,0.1476974,0.03294742,0.0006611939,-0.02361165,-0.05667114,0.01243591,0.9983063,0.03294862,0.0006611329,-0.02361163,0.03294862,0.0006611329,-0.02361163,-0.05667114,0.01245117,0.9983063,-0.05667114,0.01245117,0.9983063,4.950195,4.950195,True,True,True
2722934,63779586310968,-15.23532,2.325174,-0.2984872,-0.09774563,0.9839278,-0.02107473,0.1479451,0.02124579,0.001572418,-0.02498735,-0.02284241,-0.01142883,0.9996643,0.03300705,0.001098511,-0.02508521,0.03300705,0.001098511,-0.02508521,-0.003433228,0.001403809,0.9999847,-0.003433228,0.001403809,0.9999847,4.783447,4.783447,True,True,True
2722942,63779586310968,-15.23532,2.325174,-0.2984872,-0.09774563,0.9839278,-0.02107473,0.1479451,-0.02510547,0.003483048,-0.02472221,-0.1060791,-0.04736328,0.9932251,0.03296866,0.0009289551,-0.0243754,0.03296866,0.0009289551,-0.0243754,-0.003829956,0.002624512,0.9999847,-0.003829956,0.002624512,0.9999847,4.961899,4.961899,True,True,True
2722950,63779586310978,-15.23353,2.32537,-0.2945951,-0.09743356,0.9839659,-0.02126755,0.1478699,-0.02543595,0.003504349,-0.02469927,-0.1040192,-0.05343628,0.9931335,0.03287885,0.001162293,-0.02474727,0.03287885,0.001162293,-0.02474727,-0.03720093,-0.01893616,0.999115,-0.03720093,-0.01893616,0.999115,4.865524,4.865524,True,True,True
2722959,63779586310990,-15.23175,2.325555,-0.2906668,-0.09725629,0.983982,-0.02164846,0.1478245,-0.02543517,0.003503998,-0.02467384,-0.09939575,-0.06202698,0.993103,0.03286986,0.001338409,-0.02547112,0.03286986,0.001338409,-0.02547112,-0.0246582,-0.03033447,0.9992218,-0.0246582,-0.03033447,0.9992218,4.777832,4.777832,True,True,True
2722967,63779586311000,-15.22965,2.326019,-0.286722,-0.09728624,0.9840473,-0.02216434,0.1472926,-0.02543404,0.003503647,-0.02464842,-0.09683228,-0.06690979,0.993042,0.03276479,0.001320282,-0.02525623,0.03276479,0.001320282,-0.02525623,-0.0488739,-0.03112793,0.9983063,-0.0488739,-0.03112793,0.9983063,4.892105,4.892105,True,True,True
2722975,63779586311000,-15.22965,2.326019,-0.286722,-0.09728624,0.9840473,-0.02216434,0.1472926,-0.02540187,0.003440842,-0.0243904,-0.1018372,-0.07409668,0.9920349,0.03286986,0.001338409,-0.02541756,0.03286986,0.001338409,-0.02541756,-0.02482605,-0.02668762,0.9993286,-0.02482605,-0.02668762,0.9993286,4.898071,4.898071,True,True,True
2722984,63779586311012,-15.22752,2.326488,-0.2827855,-0.09749328,0.9840415,-0.02298156,0.1470693,-0.02538172,0.003428528,-0.02431612,-0.1062622,-0.05740356,0.9926758,0.03288089,0.001339523,-0.02544434,0.03288089,0.001339523,-0.02544434,-0.02619934,-0.02157593,0.9994202,-0.02619934,-0.02157593,0.9994202,4.927032,4.927032,True,True,True
2722992,63779586311023,-15.22522,2.327006,-0.2788436,-0.09800214,0.9840629,-0.02394285,0.1464327,-0.02538039,0.003406342,-0.02422403,-0.1038208,-0.07568359,0.9916992,0.03289192,0.001340637,-0.02547112,0.03289192,0.001340637,-0.02547112,-0.027771,-0.0241394,0.9993134,-0.027771,-0.0241394,0.9993134,4.897263,4.897263,True,True,True
2723000,63779586311034,-15.22295,2.32761,-0.2750391,-0.09842494,0.9841066,-0.02473601,0.145722,-0.02537033,0.003402405,-0.02418242,-0.1073914,-0.07695007,0.9912262,0.03300046,0.001142609,-0.02513855,0.03300046,0.001142609,-0.02513855,-0.001693726,-0.007858276,0.9999542,-0.001693726,-0.007858276,0.9999542,4.806412,4.806412,True,True,True
2723009,63779586311034,-15.22295,2.32761,-0.2750391,-0.09842494,0.9841066,-0.02473601,0.145722,-0.02252341,0.00329657,-0.02414905,-0.1033325,-0.0788269,0.9915161,0.03299405,0.00133725,-0.02584602,0.03299405,0.00133725,-0.02584602,-0.0003051758,-0.004760742,0.9999847,-0.0003051758,-0.004760742,0.9999847,4.702332,4.702332,True,True,True
2723017,63779586311045,-15.22038,2.32824,-0.2713085,-0.0987168,0.9843425,-0.02492774,0.1438868,-0.02451026,0.003383347,-0.02413298,-0.1120148,-0.08518982,0.990036,0.03301396,0.001410126,-0.02612314,0.03301396,0.001410126,-0.02612314,-0.0006866455,0.01992798,0.9997864,-0.0006866455,0.01992798,0.9997864,4.901398,4.901398,True,True,True
2723025,63779586311056,-15.21786,2.328778,-0.267532,-0.09847197,0.9846549,-0.02500257,0.1418904,-0.01129663,0.002875092,-0.02444429,-0.08047485,-0.05526733,0.9952087,0.0330159,0.001250122,-0.02557994,0.0330159,0.001250122,-0.02557994,-0.004638672,0.00428772,0.9999695,-0.004638672,0.00428772,0.9999695,4.923645,4.923645,True,True,True
2723034,63779586311056,-15.21786,2.328778,-0.267532,-0.09847197,0.9846549,-0.02500257,0.1418904,-0.003924591,0.00259198,-0.0246698,-0.07707214,-0.03718567,0.9963226,0.03303739,0.001209992,-0.02555712,0.03303739,0.001209992,-0.02555712,-0.01878357,0.02493286,0.9995117,-0.01878357,0.02493286,0.9995117,4.883072,4.883072,True,True,True
2723042,63779586311071,-15.21514,2.328991,-0.2638244,-0.09785067,0.9850705,-0.02487114,0.1394371,-0.02202725,0.0032211,-0.02415877,-0.1083679,-0.05574036,0.9925385,0.03304344,0.001045761,-0.02511679,0.03304344,0.001045761,-0.02511679,-0.0328064,0.0002441406,0.9994507,-0.0328064,0.0002441406,0.9994507,4.934799,4.934799,True,True,True
2723050,63779586311082,-15.21232,2.329115,-0.2600984,-0.09690137,0.9856059,-0.02391717,0.1364525,-0.01525151,0.002634018,-0.02319217,-0.1083069,-0.03889465,0.9933472,0.03306392,0.0009279938,-0.02465204,0.03306392,0.0009279938,-0.02465204,-0.01638794,0.01051331,0.9998016,-0.01638794,0.01051331,0.9998016,5.024612,5.024612,True,True,True
2723059,63779586311089,-15.20946,2.329232,-0.2566217,-0.09583987,0.9861484,-0.02207581,0.1335613,0.02957364,0.001097687,-0.02465761,-0.02720642,-0.002609253,0.9996185,0.03308694,0.0009797058,-0.02478615,0.03308694,0.0009797058,-0.02478615,-0.02093506,0.000869751,0.9997711,-0.02093506,0.000869751,0.9997711,4.923355,4.923355,True,True,True
2723067,63779586311101,-15.2065,2.329502,-0.2531872,-0.09415212,0.9868152,-0.01920938,0.1302386,0.02327869,0.001339966,-0.02448781,-0.04284668,-0.03215027,0.9985504,0.03308751,0.0009594727,-0.02468604,0.03308751,0.0009594727,-0.02468604,-0.02818298,-0.02200317,0.9993591,-0.02818298,-0.02200317,0.9993591,4.796249,4.796249,True,True,True
2723075,63779586311101,-15.2065,2.329502,-0.2531872,-0.09415212,0.9868152,-0.01920938,0.1302386,0.018593,0.001635086,-0.02479685,-0.05886841,-0.01039124,0.9981995,0.03310677,0.001075592,-0.02510294,0.03310677,0.001075592,-0.02510294,-0.04187012,0.007141113,0.9990845,-0.04187012,0.007141113,0.9990845,4.974136,4.974136,True,True,True
2723084,63779586311115,-15.20355,2.329808,-0.2497373,-0.09223837,0.9874911,-0.01672139,0.1267821,-0.007693634,0.002674195,-0.02438677,-0.09191895,-0.05114746,0.9944458,0.03311878,0.001224991,-0.02575902,0.03311878,0.001224991,-0.02575902,-0.04060364,0.01210022,0.9990997,-0.04060364,0.01210022,0.9990997,4.791519,4.791519,True,True,True
2723092,63779586311122,-15.20039,2.330114,-0.2463644,-0.08978681,0.9882278,-0.01497839,0.1229623,-0.0225383,0.003050186,-0.02339209,-0.1174469,-0.08306885,0.9895935,0.03285189,0.0009646149,-0.02360721,0.03285189,0.0009646149,-0.02360721,-0.1284637,-0.06678772,0.9894562,-0.1284637,-0.06678772,0.9894562,5.082718,5.082718,True,True,True
2723100,63779586311134,-15.19729,2.330394,-0.2429529,-0.08759849,0.9888693,-0.01345707,0.1195109,-0.02504382,0.003103241,-0.02335147,-0.1249542,-0.08061218,0.9888763,0.03302437,0.0006208191,-0.02309014,0.03302437,0.0006208191,-0.02309014,-0.1014557,-0.01049805,0.9947815,-0.1014557,-0.01049805,0.9947815,4.981354,4.981354,True,True,True
2723109,63779586311134,-15.19729,2.330394,-0.2429529,-0.08759849,0.9888693,-0.01345707,0.1195109,-0.02510281,0.003123352,-0.02348574,-0.1295624,-0.06388855,0.989502,0.03303555,0.000613678,-0.02319,0.03303555,0.000613678,-0.02319,-0.1053467,-0.04521179,0.9933929,-0.1053467,-0.04521179,0.9933929,4.860291,4.860291,True,True,True
2723117,63779586311145,-15.19395,2.330626,-0.239666,-0.08522511,0.9895039,-0.0124503,0.1160338,-0.02519009,0.00317125,-0.0237731,-0.1253662,-0.09277344,0.9877625,0.03307289,0.001344864,-0.02635532,0.03307289,0.001344864,-0.02635532,-0.07637024,-0.0001373291,0.9970703,-0.07637024,-0.0001373291,0.9970703,4.967804,4.967804,True,True,True
