UnityTS,GSR,breath,heart
63781301993547,691,26026,38676
63781301993550,691,25974,38664
63781301993565,689,26180,38458
63781301993580,687,26436,38370
63781301993582,687,26396,38224
63781301993604,686,26624,37880
63781301993604,689,26708,37676
63781301993615,685,26656,37594
63781301993625,687,26820,37284
63781301993635,691,26832,37105
63781301993645,687,26682,37044
63781301993649,685,27094,37060
63781301993664,692,27152,36608
63781301993674,687,26994,36678
63781301993684,688,27032,36568
63781301993725,692,27572,36600
63781301993736,691,27845,36196
63781301993739,689,27604,36496
63781301993741,690,28344,36280
63781301993746,687,28336,35960
63781301993749,692,28032,35872
63781301993752,689,28976,35548
63781301993767,689,29306,35396
63781301993771,687,28860,34964
63781301993781,687,29906,34484
63781301993791,686,30152,34390
63781301993806,691,30506,34117
63781301993810,689,30907,33658
63781301993825,686,31172,33425
63781301993834,689,31532,33114
63781301993840,690,31976,32724
63781301993856,686,32348,32442
63781301993860,685,32636,32275
63781301993875,694,33056,31916
63781301993885,690,32964,31742
63781301993896,688,33520,31412
63781301993906,686,34072,31301
63781301993910,689,34552,31004
63781301993925,688,34044,30752
63781301993934,691,34858,30650
63781301993944,690,35732,30436
63781301993954,691,36120,30232
63781301993964,688,36052,30072
63781301993970,692,36496,29904
63781301993985,693,37236,29724
63781301993991,688,37400,29566
63781301994001,689,37828,29456
63781301994017,689,38152,29284
63781301994021,684,38476,29112
63781301994036,689,38632,28945
63781301994091,689,38912,28778
63781301994091,690,39444,28601
63781301994116,687,39728,28424
63781301994126,688,39797,28440
63781301994129,692,40280,28284
63781301994131,689,40408,28474
63781301994135,688,40632,29000
63781301994135,682,40936,29796
63781301994137,688,40896,30750
63781301994140,686,41448,31898
63781301994144,688,41714,32984
63781301994154,687,41944,34072
63781301994160,689,42194,35065
63781301994176,687,42532,35906
63781301994180,683,42856,36600
63781301994195,686,43016,37034
63781301994205,687,43168,37416
63781301994216,689,43748,37640
63781301994226,688,43712,37700
63781301994230,688,44288,37644
63781301994245,685,44504,37624
63781301994254,688,44488,37601
63781301994264,684,44888,37544
63781301994274,685,45344,37484
63781301994284,685,45640,37472
63781301994290,691,45940,37410
63781301994305,692,46008,37336
63781301993547,691,26026,38676
63781301993550,691,25974,38664
63781301993565,689,26180,38458
63781301993580,687,26436,38370
63781301993582,687,26396,38224
63781301993604,686,26624,37880
63781301993604,689,26708,37676
63781301993615,685,26656,37594
63781301993625,687,26820,37284
63781301993635,691,26832,37105
63781301993645,687,26682,37044
63781301993649,685,27094,37060
63781301993664,692,27152,36608
63781301993674,687,26994,36678
63781301993684,688,27032,36568
63781301993725,692,27572,36600
63781301993736,691,27845,36196
63781301993739,689,27604,36496
63781301993741,690,28344,36280
63781301993746,687,28336,35960
63781301993749,692,28032,35872
63781301993752,689,28976,35548
63781301993767,689,29306,35396
63781301993771,687,28860,34964
63781301993781,687,29906,34484
63781301993791,686,30152,34390
63781301993806,691,30506,34117
63781301993810,689,30907,33658
63781301993825,686,31172,33425
63781301993834,689,31532,33114
63781301993840,690,31976,32724
63781301993856,686,32348,32442
63781301993860,685,32636,32275
63781301993875,694,33056,31916
63781301993885,690,32964,31742
63781301993896,688,33520,31412
63781301993906,686,34072,31301
63781301993910,689,34552,31004
63781301993925,688,34044,30752
63781301993934,691,34858,30650
63781301993944,690,35732,30436
63781301993954,691,36120,30232
63781301993964,688,36052,30072
63781301993970,692,36496,29904
63781301993985,693,37236,29724
63781301993991,688,37400,29566
63781301994001,689,37828,29456
63781301994017,689,38152,29284
63781301994021,684,38476,29112
63781301994036,689,38632,28945
63781301994091,689,38912,28778
63781301994091,690,39444,28601
63781301994116,687,39728,28424
63781301994126,688,39797,28440
63781301994129,692,40280,28284
63781301994131,689,40408,28474
63781301994135,688,40632,29000
63781301994135,682,40936,29796
63781301994137,688,40896,30750
63781301994140,686,41448,31898
63781301994144,688,41714,32984
63781301994154,687,41944,34072
63781301994160,689,42194,35065
63781301994176,687,42532,35906
63781301994180,683,42856,36600
63781301994195,686,43016,37034
63781301994205,687,43168,37416
63781301994216,689,43748,37640
63781301994226,688,43712,37700
63781301994230,688,44288,37644
63781301994245,685,44504,37624
63781301994254,688,44488,37601
63781301994264,684,44888,37544
63781301994274,685,45344,37484
63781301994284,685,45640,37472
63781301994290,691,45940,37410
63781301994305,692,46008,37336
