UnityTS,GSR,breath,heart
63781302139200,617,30624,25780
63781302139202,619,30816,25936
63781302139230,618,30656,26106
63781302139266,618,31216,26328
63781302139268,619,31288,26592
63781302139271,620,31526,26938
63781302139273,621,31240,27380
63781302139276,624,31596,27960
63781302139278,624,31804,28580
63781302139281,626,32131,29218
63781302139291,622,32220,29940
63781302139298,631,32152,30614
63781302139311,630,32441,31226
63781302139321,633,33124,31756
63781302139331,628,32764,32012
63781302139347,636,33172,32265
63781302139350,628,33578,32482
63781302139363,635,33992,32504
63781302139367,629,33834,32556
63781302139402,634,34360,32328
63781302139407,627,34475,32334
63781302139412,634,34614,32120
63781302139415,631,34432,32108
63781302139421,633,35108,32196
63781302139445,630,35500,32232
63781302139445,638,35728,32320
63781302139448,633,36272,32512
63781302139465,632,36856,32960
63781302139468,629,37280,33270
63781302139483,637,38082,33898
63781302139487,637,39316,34384
63781302139516,627,40452,35042
63781302139518,636,40576,35610
63781302139522,639,42412,36064
63781302139532,630,43212,36597
63781302139543,640,44168,36992
63781302139553,635,44992,37353
63781302139560,621,45560,37605
63781302139575,624,46360,37736
63781302139578,630,47347,37776
63781302139610,625,48060,37524
63781302139631,625,48784,37338
63781302139633,622,49268,36792
63781302139636,626,50164,36300
63781302139638,621,50976,35866
63781302139641,623,51637,35441
63781302139656,622,52224,34996
63781302139662,626,52564,34616
63781302139672,621,52916,34421
63781302139682,626,52864,34200
63781302139688,631,52832,34048
63781302139705,632,52720,33862
63781302139711,630,52570,33896
63781302139722,637,52456,33874
63781302139732,634,52288,33880
63781302139743,633,52085,33892
63781302139750,635,51680,34052
63781302139760,639,51528,34132
63781302139775,629,51180,34242
63781302139778,625,50320,34328
63781302139793,624,50386,34288
63781302139801,623,49904,34152
63781302139811,619,49844,33768
63781302139826,621,49136,33370
63781302139828,621,49680,32978
63781302139843,623,49651,32472
63781302139850,612,49792,31856
63781302139866,614,49744,30968
63781302139870,608,49648,29688
63781302139885,615,50388,28136
63781302139888,611,50696,25910
63781302139905,614,50745,23782
63781302139908,614,50684,21314
63781302139923,615,50696,19238
63781302139932,619,50364,17262
63781302139938,613,50316,15455
63781302139978,611,50000,14413
63781302139995,609,49758,13640
63781302139997,606,49559,13506
63781302140000,602,49040,13698
63781302140002,595,48654,14055
63781302140004,598,48144,14528
63781302140040,597,47336,15000
63781302140042,598,47392,15508
63781302140044,603,47104,16072
63781302140047,611,46664,16780
63781302140057,609,46232,17572
63781302140061,619,45760,18183
63781302140085,630,45018,18966
63781302140085,632,44682,19460
63781302140088,642,44208,19865
63781302140104,641,43306,20048
63781302140108,642,42898,20114
63781302140123,642,42048,20136
63781302140127,637,40307,19962
63781302140146,643,40132,19454
63781302140149,634,38874,18869
63781302140164,631,37860,17912
63781302140168,631,36829,16602
63781302140185,626,35509,15297
63781302140188,619,34730,14024
63781302140203,613,33948,12542
63781302140207,611,33196,10792
63781302140223,616,32188,8886
63781302140229,602,31286,6986
63781302140244,601,29840,5182
63781302140251,600,29396,3685
63781302140262,603,28348,2731
63781302140268,601,27537,1864
63781302140283,603,26641,1267
63781302140289,602,25447,878
63781302140306,608,25008,433
63781302140309,608,23914,389
63781302140338,617,23708,843
63781302140368,614,22684,1543
63781302140368,627,22416,2731
63781302140374,640,22200,4436
63781302140377,649,21577,6188
63781302140379,648,20796,8374
63781302140382,660,19760,10287
63781302140389,664,18950,12434
63781302140399,665,18217,14600
63781302140414,643,17154,16537
63781302140418,620,16280,18116
63781302140433,604,15408,19518
63781302140439,596,14260,20796
63781302140449,599,13552,21828
63781302140463,614,12688,22580
63781302140469,618,11928,23324
63781302140484,626,11360,23936
63781302140488,622,10660,24298
63781302140504,615,10051,24419
63781302140508,613,9797,24124
63781302140523,614,9455,23966
63781302140527,614,9048,23917
63781302140543,628,8953,23924
63781302140549,622,8882,24188
63781302140564,625,8668,24696
63781302140571,628,8693,25334
63781302140582,638,8672,26114
63781302140588,636,8590,27146
63781302140603,636,8681,28026
63781302140607,623,8532,28992
63781302140633,621,8605,29588
63781302140636,612,8626,30304
63781302140639,621,8636,30544
63781302140649,617,8714,30691
63781302140677,621,8482,30172
63781302139705,632,52720,33862
63781302139711,630,52570,33896
63781302139722,637,52456,33874
63781302139732,634,52288,33880
63781302139743,633,52085,33892
63781302139750,635,51680,34052
63781302139760,639,51528,34132
63781302139775,629,51180,34242
63781302139778,625,50320,34328
63781302139793,624,50386,34288
63781302139801,623,49904,34152
63781302139811,619,49844,33768
63781302139826,621,49136,33370
63781302139828,621,49680,32978
63781302139843,623,49651,32472
63781302139850,612,49792,31856
63781302139866,614,49744,30968
63781302139870,608,49648,29688
63781302139885,615,50388,28136
63781302139888,611,50696,25910
63781302139905,614,50745,23782
63781302139908,614,50684,21314
63781302139923,615,50696,19238
63781302139932,619,50364,17262
63781302139938,613,50316,15455
63781302139978,611,50000,14413
63781302139995,609,49758,13640
63781302139997,606,49559,13506
63781302140000,602,49040,13698
63781302140002,595,48654,14055
63781302140004,598,48144,14528
63781302140040,597,47336,15000
63781302140042,598,47392,15508
63781302140044,603,47104,16072
63781302140047,611,46664,16780
63781302140057,609,46232,17572
63781302140061,619,45760,18183
63781302140085,630,45018,18966
63781302140085,632,44682,19460
63781302140088,642,44208,19865
63781302140104,641,43306,20048
63781302140108,642,42898,20114
63781302140123,642,42048,20136
63781302140127,637,40307,19962
63781302140146,643,40132,19454
63781302140149,634,38874,18869
63781302140164,631,37860,17912
63781302140168,631,36829,16602
63781302140185,626,35509,15297
63781302140188,619,34730,14024
63781302140203,613,33948,12542
63781302140207,611,33196,10792
63781302140223,616,32188,8886
63781302140229,602,31286,6986
63781302140244,601,29840,5182
63781302140251,600,29396,3685
63781302140262,603,28348,2731
63781302140268,601,27537,1864
63781302140283,603,26641,1267
63781302140289,602,25447,878
63781302140306,608,25008,433
63781302140309,608,23914,389
63781302140338,617,23708,843
63781302140368,614,22684,1543
63781302140368,627,22416,2731
63781302140374,640,22200,4436
63781302140377,649,21577,6188
63781302140379,648,20796,8374
63781302140382,660,19760,10287
63781302140389,664,18950,12434
63781302140399,665,18217,14600
63781302140414,643,17154,16537
63781302140418,620,16280,18116
63781302140433,604,15408,19518
63781302140439,596,14260,20796
63781302140449,599,13552,21828
63781302140463,614,12688,22580
63781302140469,618,11928,23324
63781302140484,626,11360,23936
63781302140488,622,10660,24298
63781302140504,615,10051,24419
63781302140508,613,9797,24124
63781302140523,614,9455,23966
63781302140527,614,9048,23917
63781302140543,628,8953,23924
63781302140549,622,8882,24188
63781302140564,625,8668,24696
63781302140571,628,8693,25334
63781302140582,638,8672,26114
63781302140588,636,8590,27146
63781302140603,636,8681,28026
63781302140607,623,8532,28992
63781302140633,621,8605,29588
63781302140636,612,8626,30304
63781302140639,621,8636,30544
63781302140649,617,8714,30691
63781302140677,621,8482,30172
63781302140726,624,8283,30116
63781302140728,630,8244,29684
63781302140731,626,7776,29592
63781302140733,625,7580,29884
63781302140737,622,7199,30596
63781302140737,629,6824,31034
63781302140739,629,6474,31908
63781302140742,631,6116,32584
63781302140753,627,5763,33288
