UnityTS,GSR,breath,heart
63781303145673,521,29372,38340
63781303145682,532,29842,38248
63781303145688,522,30217,37836
63781303145703,529,30401,37680
63781303145707,524,30128,37640
63781303145722,527,29848,37686
63781303145726,532,30724,37684
63781303145742,534,30640,37717
63781303145748,530,30842,38376
63781303145763,535,30816,38544
63781303145767,529,30890,38976
63781303145783,534,30500,39120
63781303145787,530,30568,39509
63781303145798,532,30832,39372
63781303145843,529,30944,39932
63781303145846,532,31060,40234
63781303145848,535,31072,40194
63781303145851,539,30532,40392
63781303145853,530,30980,40536
63781303145857,532,31306,40580
63781303145872,527,30730,40504
63781303145876,532,31052,40490
63781303145891,530,31264,40602
63781303145897,531,31328,40404
63781303145907,530,31340,40344
63781303145922,532,31416,40060
63781303145926,533,31312,40180
63781303145942,530,31523,40130
63781303145948,533,31620,40060
63781303145963,535,31664,39868
63781303145967,532,31550,39976
63781303145983,536,31540,39658
63781303145989,533,31530,39696
63781303145999,534,31654,39500
63781303146012,535,31464,39396
63781303146018,535,31603,39523
63781303146033,535,31256,39412
63781303146037,536,30925,39416
63781303146052,532,30488,39366
63781303146056,529,30928,39564
63781303146071,529,30720,39508
63781303146078,527,30788,39136
63781303146093,524,30686,39470
63781303146124,529,30728,39144
63781303146127,526,30138,39024
63781303146129,525,30420,38922
63781303146132,519,30062,38608
63781303146138,525,30280,38197
63781303146153,520,30448,37848
63781303146157,524,30188,37344
63781303146167,519,30004,37400
63781303146192,518,30540,37148
63781303146217,516,30116,36804
63781303146222,521,30560,36284
63781303146224,515,30706,35984
63781303146227,519,30959,35140
63781303146229,515,31204,34064
63781303146244,518,30768,32864
63781303146248,514,30737,31542
63781303146264,522,31706,30200
63781303146268,517,31668,28628
63781303146283,516,31856,27226
63781303146287,517,31824,25912
63781303146303,522,31986,24676
63781303146311,521,32096,23651
63781303146317,532,32552,22781
63781303146332,525,32330,22164
63781303146338,527,32420,21796
63781303146353,522,32564,21592
63781303146356,524,32865,21621
63781303146371,522,32660,21908
63781303146377,528,32570,22336
63781303146392,527,32920,22716
63781303146396,531,33048,23156
63781303146412,523,32426,23484
63781303146416,529,32844,23762
63781303146431,527,32888,24020
63781303146437,527,33576,24436
63781303146452,524,33048,24865
63781303146456,537,33548,25658
63781303146471,533,33620,26622
63781303146481,538,33668,27704
63781303146487,541,33194,28784
63781303146503,540,33780,29848
63781303146507,541,33600,30752
63781303146519,543,33880,31676
63781303146529,539,33905,32508
63781303146567,537,33868,33292
63781303146581,534,33976,33816
63781303146583,533,33988,34528
63781303146586,536,34064,34928
63781303146588,530,34136,35348
63781303146591,529,34364,35716
63781303146601,532,34136,36101
63781303146604,529,34560,36266
63781303146621,534,34240,36300
63781303146631,523,34244,36456
63781303146637,531,34500,36594
63781303146652,524,34880,36576
63781303146656,526,34620,36592
63781303146671,525,35036,36430
63781303146674,532,35164,36512
63781303146689,522,35117,36406
63781303146706,525,34916,36320
63781303146708,524,34680,36210
63781303146722,524,34904,36028
63781303146728,525,35108,35854
63781303146761,523,35008,35694
63781303146763,518,35636,35240
63781303146766,528,35609,34912
63781303146768,521,35378,34466
63781303146784,526,36012,34076
63781303146787,520,36100,33476
63781303146802,521,36316,32812
63781303146806,517,36186,32000
63781303146822,521,36932,31202
63781303146826,517,36896,30440
63781303146841,525,37316,29760
63781303146851,519,37644,29190
63781303146862,522,37783,28801
63781303146868,518,37775,28440
63781303146878,526,38428,28264
63781303146888,520,38352,28053
63781303146929,520,39024,27945
63781303146953,522,39477,27800
63781303146956,526,39824,27688
63781303146958,523,40160,27592
63781303146961,526,40304,27602
63781303146963,524,40768,27609
63781303146966,522,41472,27696
63781303146968,528,41536,27712
63781303146984,527,42013,27786
63781303146988,530,42432,27630
63781303147009,532,42644,27708
63781303147009,530,42737,27834
63781303147021,531,43096,28140
63781303147031,527,43320,28465
63781303147039,534,43484,28658
63781303147054,534,43740,28868
63781303147057,538,43778,28853
63781303147073,526,44044,29102
63781303147077,538,44130,29176
63781303147092,534,44064,29596
63781303147098,538,44716,30021
63781303147113,537,44912,30180
63781303147117,534,45136,30320
63781303147127,532,45360,30352
63781303147144,527,45628,30204
63781303147147,529,45616,29892
63781303147162,532,46040,29404
63781303147166,524,46356,29094
63781303146167,519,30004,37400
63781303146192,518,30540,37148
63781303146217,516,30116,36804
63781303146222,521,30560,36284
63781303146224,515,30706,35984
63781303146227,519,30959,35140
63781303146229,515,31204,34064
63781303146244,518,30768,32864
63781303146248,514,30737,31542
63781303146264,522,31706,30200
63781303146268,517,31668,28628
63781303146283,516,31856,27226
63781303146287,517,31824,25912
63781303146303,522,31986,24676
63781303146311,521,32096,23651
63781303146317,532,32552,22781
63781303146332,525,32330,22164
63781303146338,527,32420,21796
63781303146353,522,32564,21592
63781303146356,524,32865,21621
63781303146371,522,32660,21908
63781303146377,528,32570,22336
63781303146392,527,32920,22716
63781303146396,531,33048,23156
63781303146412,523,32426,23484
63781303146416,529,32844,23762
63781303146431,527,32888,24020
63781303146437,527,33576,24436
63781303146452,524,33048,24865
63781303146456,537,33548,25658
63781303146471,533,33620,26622
63781303146481,538,33668,27704
63781303146487,541,33194,28784
63781303146503,540,33780,29848
63781303146507,541,33600,30752
63781303146519,543,33880,31676
63781303146529,539,33905,32508
63781303146567,537,33868,33292
63781303146581,534,33976,33816
63781303146583,533,33988,34528
63781303146586,536,34064,34928
63781303146588,530,34136,35348
63781303146591,529,34364,35716
63781303146601,532,34136,36101
63781303146604,529,34560,36266
63781303146621,534,34240,36300
63781303146631,523,34244,36456
63781303146637,531,34500,36594
63781303146652,524,34880,36576
63781303146656,526,34620,36592
63781303146671,525,35036,36430
63781303146674,532,35164,36512
63781303146689,522,35117,36406
63781303146706,525,34916,36320
63781303146708,524,34680,36210
63781303146722,524,34904,36028
63781303146728,525,35108,35854
63781303146761,523,35008,35694
63781303146763,518,35636,35240
63781303146766,528,35609,34912
63781303146768,521,35378,34466
63781303146784,526,36012,34076
63781303146787,520,36100,33476
63781303146802,521,36316,32812
63781303146806,517,36186,32000
63781303146822,521,36932,31202
63781303146826,517,36896,30440
63781303146841,525,37316,29760
63781303146851,519,37644,29190
63781303146862,522,37783,28801
63781303146868,518,37775,28440
63781303146878,526,38428,28264
63781303146888,520,38352,28053
63781303146929,520,39024,27945
63781303146953,522,39477,27800
63781303146956,526,39824,27688
63781303146958,523,40160,27592
63781303146961,526,40304,27602
63781303146963,524,40768,27609
63781303146966,522,41472,27696
63781303146968,528,41536,27712
63781303146984,527,42013,27786
63781303146988,530,42432,27630
63781303147009,532,42644,27708
63781303147009,530,42737,27834
63781303147021,531,43096,28140
63781303147031,527,43320,28465
63781303147039,534,43484,28658
63781303147054,534,43740,28868
63781303147057,538,43778,28853
63781303147073,526,44044,29102
63781303147077,538,44130,29176
63781303147092,534,44064,29596
63781303147098,538,44716,30021
63781303147113,537,44912,30180
63781303147117,534,45136,30320
63781303147127,532,45360,30352
63781303147144,527,45628,30204
63781303147147,529,45616,29892
63781303147162,532,46040,29404
63781303147166,524,46356,29094
63781303147182,529,46560,28510
63781303147186,525,46668,27994
63781303147201,529,46928,27464
63781303147207,526,47073,26792
63781303147223,525,47144,25992
63781303147227,523,47169,25416
