UnityTS,GSR,breath,heart
63781304281837,445,34812,20736
63781304281853,434,33578,22302
63781304281855,431,32409,23944
63781304281870,414,31302,25352
63781304281874,415,30652,26691
63781304281889,425,29764,28028
63781304281893,437,28608,29513
63781304281909,449,28242,30677
63781304281913,459,27572,31880
63781304281928,461,26484,32846
63781304281938,467,25570,33458
63781304281942,472,25316,34160
63781304281958,482,25212,34304
63781304281962,489,24788,33783
63781304281977,493,24624,33060
63781304281988,494,24603,31944
63781304281998,499,24688,30696
63781304282008,498,24780,29468
63781304282012,498,25056,28389
63781304282028,497,25364,27328
63781304282034,505,25596,26479
63781304282049,506,25838,25708
63781304282053,509,25976,25023
63781304282064,502,25800,24392
63781304282072,499,25648,23980
63781304282087,497,25746,23840
63781304282097,498,25396,23820
63781304282124,497,24720,24026
63781304282149,495,24891,24265
63781304281837,445,34812,20736
63781304281853,434,33578,22302
63781304281855,431,32409,23944
63781304281870,414,31302,25352
63781304281874,415,30652,26691
63781304281889,425,29764,28028
63781304281893,437,28608,29513
63781304281909,449,28242,30677
63781304281913,459,27572,31880
63781304281928,461,26484,32846
63781304281938,467,25570,33458
63781304281942,472,25316,34160
63781304281958,482,25212,34304
63781304281962,489,24788,33783
63781304281977,493,24624,33060
63781304281988,494,24603,31944
63781304281998,499,24688,30696
63781304282008,498,24780,29468
63781304282012,498,25056,28389
63781304282028,497,25364,27328
63781304282034,505,25596,26479
63781304282049,506,25838,25708
63781304282053,509,25976,25023
63781304282064,502,25800,24392
63781304282072,499,25648,23980
63781304282087,497,25746,23840
63781304282097,498,25396,23820
63781304282124,497,24720,24026
63781304282149,495,24891,24265
63781304282174,487,24664,24572
63781304282177,481,24045,24701
63781304282179,476,23708,24980
63781304282182,474,23714,25268
63781304282184,477,23672,26352
63781304282187,476,23868,26076
63781304282189,466,24105,25884
63781304282197,468,24034,26474
63781304282207,472,24016,26962
63781304282213,468,24290,26944
63781304282229,463,24144,26758
63781304282235,470,24780,26724
63781304282250,474,25308,26316
63781304282254,472,25048,26006
63781304282270,472,25780,25760
63781304282275,473,26560,25890
63781304282285,480,27296,26294
63781304282295,477,27176,26766
63781304282312,475,28194,27148
63781304282315,474,28849,27348
63781304282330,475,30085,27074
63781304282333,477,30862,26446
63781304282349,477,31667,25629
63781304282353,478,32322,24723
63781304282368,486,33008,23956
63781304282378,503,33680,23460
63781304282388,517,34449,23216
63781304282395,541,34908,23160
63781304282405,545,35468,23452
63781304282415,543,35824,23658
63781304282427,539,36441,23860
63781304282437,544,36488,24106
63781304282447,540,37421,24122
63781304282453,538,38158,24238
63781304282469,535,38408,24249
63781304282473,533,39392,24378
63781304282510,530,40060,24658
63781304282532,525,40108,24872
63781304282534,520,41456,25196
63781304282537,514,41960,25328
63781304282539,504,42487,25509
63781304282542,488,43024,25734
63781304282545,472,43461,26168
63781304282560,463,43800,26592
63781304282564,456,43899,27082
63781304282579,437,44184,27508
63781304282583,437,44456,27864
63781304282595,449,44568,28121
63781304282605,460,44644,28384
63781304282615,471,44752,28536
63781304282632,485,44800,28720
63781304282634,494,44636,28803
63781304282649,486,44912,29096
63781304282653,490,44565,29196
63781304282669,486,44620,29397
63781304282673,477,44304,29528
63781304282688,467,43568,29640
63781304282697,458,43336,29680
63781304282713,448,42672,29765
63781304282715,431,41876,29669
63781304282725,435,41266,29674
63781304282735,440,40714,29656
63781304282764,443,40164,29708
63781304282766,451,39888,29736
63781304282769,468,39510,29822
63781304282773,489,39236,29889
63781304282799,514,39017,29892
63781304282804,523,38376,29986
63781304282806,515,38364,29946
63781304282816,493,37960,29857
63781304282828,472,37632,29713
63781304282838,450,37122,29440
63781304282841,448,36930,29161
63781304282876,450,35880,28826
63781304282900,457,36320,28492
63781304282905,465,36192,28102
63781304282908,472,36248,27832
63781304282910,483,35868,27828
63781304282913,495,36238,27866
63781304282915,490,36240,28076
63781304282925,489,36185,28392
63781304282935,498,36204,28744
63781304282946,506,36562,29120
63781304282956,516,36820,29498
63781304282966,522,36906,29856
63781304282973,534,37484,30229
63781304282989,540,37181,30602
63781304282993,552,37216,31002
63781304283010,557,37100,31444
63781304283014,551,36232,31758
63781304283030,545,36588,32032
