UnityTS,heart,breath,GSR
63781382582136,27932,39908,71
63781382582142,27616,39968,76
63781382582151,27306,40100,78
63781382582167,27025,39668,86
63781382582171,26764,39512,83
63781382582193,26512,39436,86
63781382582193,26272,39713,83
63781382582199,26048,39192,82
63781382582214,25852,39316,80
63781382582218,25698,39252,75
63781382582233,25602,39360,68
63781382582239,25584,39104,68
63781382582254,25688,39032,63
63781382582258,25954,39441,58
63781382582136,27932,39908,71
63781382582142,27616,39968,76
63781382582151,27306,40100,78
63781382582167,27025,39668,86
63781382582171,26764,39512,83
63781382582193,26512,39436,86
63781382582193,26272,39713,83
63781382582199,26048,39192,82
63781382582214,25852,39316,80
63781382582218,25698,39252,75
63781382582233,25602,39360,68
63781382582239,25584,39104,68
63781382582254,25688,39032,63
63781382582258,25954,39441,58
63781382582291,26516,39476,63
63781382582293,27432,39840,67
63781382582296,28706,40180,69
63781382582303,30280,40045,79
63781382582346,32057,40729,79
63781382582348,33874,41198,89
63781382582351,35602,41309,97
63781382582353,37136,41400,104
63781382582356,38457,41164,97
63781382582362,39509,41148,99
63781382582372,40280,40808,91
63781382582382,40768,40444,99
63781382582394,40976,39800,90
63781382582401,40964,38875,98
63781382582413,40762,38290,95
63781382582423,40469,37460,100
63781382582427,40096,36684,90
63781382582443,39712,35712,100
63781382582449,39358,35028,105
63781382582464,38996,34634,97
63781382582468,38638,34125,112
63781382582484,38226,33745,117
63781382582488,37784,33605,105
63781382582501,37339,33494,133
63781382582511,36876,33328,129
63781382582527,36444,33504,126
63781382582529,36040,33488,117
63781382582544,35680,33472,116
63781382582551,35336,33805,100
63781382582566,34992,34034,103
63781382582572,34672,34580,109
63781382582582,34352,35072,106
63781382582592,34032,35344,101
63781382582612,33701,36090,84
63781382582614,33368,36784,92
63781382582622,33024,37492,72
63781382582629,32666,38024,95
63781382582646,32288,38801,94
63781382582649,31912,39340,85
63781382582665,31520,39808,90
63781382582672,31136,40256,82
63781382582718,30750,40716,98
63781382582720,30354,41188,89
63781382582723,29978,41506,102
63781382582725,29586,41988,115
63781382582728,29210,42428,123
63781382582730,28844,43088,97
63781382582765,28502,43348,107
63781382582768,28212,43684,97
63781382582770,27964,44188,109
63781382582773,27762,44288,89
63781382582783,27617,44372,97
63781382582793,27514,44362,72
63781382582804,27460,44213,70
63781382582814,27456,43780,60
63781382582832,27476,43336,58
63781382582832,27524,42768,47
63781382582843,27570,42056,50
63781382582853,27616,41752,40
63781382582863,27632,41116,46
63781382582873,27598,40648,36
63781382582879,27513,40416,42
63781382582894,27400,40554,33
63781382582932,27277,40548,41
63781382582934,27220,40484,38
63781382582936,27364,40672,49
63781382582939,27826,40376,42
63781382582946,28624,40745,57
63781382582964,29744,40368,57
63781382582964,31072,40674,62
63781382582974,32520,40748,61
63781382582984,33964,40704,69
63781382582994,35300,40706,65
63781382583010,36496,40592,69
63781382583013,37513,40332,66
63781382583023,38289,40456,75
63781382583033,38804,40602,67
63781382583063,39064,40656,87
63781382583085,39088,40624,76
63781382583088,38920,40584,79
63781382583090,38626,40586,73
63781382583093,38252,40474,75
63781382583095,37804,40424,73
63781382583105,37308,40370,84
63781382583113,36808,40752,87
63781382583129,36276,40828,92
63781382583131,35744,40817,90
63781382583155,35204,40884,95
63781382583155,34651,40864,94
63781382583161,34105,40660,101
63781382583176,33592,40324,86
63781382583180,33132,40000,105
63781382583195,32759,39452,84
63781382583199,32420,39024,97
63781382583214,32132,38894,79
63781382583224,31864,38640,83
63781382583234,31640,38492,75
63781382583244,31428,38194,78
63781382583254,31240,38184,67
63781382583269,31058,38176,76
63781382583271,30860,38304,72
63781382582136,27932,39908,71
63781382582142,27616,39968,76
63781382582151,27306,40100,78
63781382582167,27025,39668,86
63781382582171,26764,39512,83
63781382582193,26512,39436,86
63781382582193,26272,39713,83
63781382582199,26048,39192,82
63781382582214,25852,39316,80
63781382582218,25698,39252,75
63781382582233,25602,39360,68
63781382582239,25584,39104,68
63781382582254,25688,39032,63
63781382582258,25954,39441,58
63781382582291,26516,39476,63
63781382582293,27432,39840,67
63781382582296,28706,40180,69
63781382582303,30280,40045,79
63781382582346,32057,40729,79
63781382582348,33874,41198,89
63781382582351,35602,41309,97
63781382582353,37136,41400,104
63781382582356,38457,41164,97
63781382582362,39509,41148,99
63781382582372,40280,40808,91
63781382582382,40768,40444,99
63781382582394,40976,39800,90
63781382582401,40964,38875,98
63781382582413,40762,38290,95
63781382582423,40469,37460,100
63781382582427,40096,36684,90
63781382582443,39712,35712,100
63781382582449,39358,35028,105
63781382582464,38996,34634,97
63781382582468,38638,34125,112
63781382582484,38226,33745,117
63781382582488,37784,33605,105
63781382582501,37339,33494,133
63781382582511,36876,33328,129
63781382582527,36444,33504,126
63781382582529,36040,33488,117
63781382582544,35680,33472,116
63781382582551,35336,33805,100
63781382582566,34992,34034,103
63781382582572,34672,34580,109
63781382582582,34352,35072,106
63781382582592,34032,35344,101
63781382582612,33701,36090,84
63781382582614,33368,36784,92
63781382582622,33024,37492,72
63781382582629,32666,38024,95
63781382582646,32288,38801,94
63781382582649,31912,39340,85
63781382582665,31520,39808,90
63781382582672,31136,40256,82
63781382582718,30750,40716,98
63781382582720,30354,41188,89
63781382582723,29978,41506,102
63781382582725,29586,41988,115
63781382582728,29210,42428,123
63781382582730,28844,43088,97
63781382582765,28502,43348,107
63781382582768,28212,43684,97
63781382582770,27964,44188,109
63781382582773,27762,44288,89
63781382582783,27617,44372,97
63781382582793,27514,44362,72
63781382582804,27460,44213,70
63781382582814,27456,43780,60
63781382582832,27476,43336,58
63781382582832,27524,42768,47
63781382582843,27570,42056,50
63781382582853,27616,41752,40
63781382582863,27632,41116,46
63781382582873,27598,40648,36
63781382582879,27513,40416,42
63781382582894,27400,40554,33
63781382582932,27277,40548,41
63781382582934,27220,40484,38
63781382582936,27364,40672,49
63781382582939,27826,40376,42
63781382582946,28624,40745,57
63781382582964,29744,40368,57
63781382582964,31072,40674,62
63781382582974,32520,40748,61
63781382582984,33964,40704,69
63781382582994,35300,40706,65
63781382583010,36496,40592,69
63781382583013,37513,40332,66
63781382583023,38289,40456,75
63781382583033,38804,40602,67
63781382583063,39064,40656,87
63781382583085,39088,40624,76
63781382583088,38920,40584,79
63781382583090,38626,40586,73
63781382583093,38252,40474,75
63781382583095,37804,40424,73
63781382583105,37308,40370,84
63781382583113,36808,40752,87
63781382583129,36276,40828,92
63781382583131,35744,40817,90
63781382583155,35204,40884,95
63781382583155,34651,40864,94
63781382583161,34105,40660,101
63781382583176,33592,40324,86
63781382583180,33132,40000,105
63781382583195,32759,39452,84
63781382583199,32420,39024,97
63781382583214,32132,38894,79
63781382583224,31864,38640,83
63781382583234,31640,38492,75
63781382583244,31428,38194,78
63781382583254,31240,38184,67
63781382583269,31058,38176,76
63781382583271,30860,38304,72
63781382583288,30652,37969,81
63781382583290,30421,37884,74
63781382583305,30184,38197,83
63781382583311,29922,38104,83
63781382583328,29644,38324,86
63781382583330,29324,38185,85
63781382583345,28951,38408,99
63781382583351,28544,38296,94
63781382583368,28095,38255,100
63781382583371,27613,38604,100
63781382583386,27129,38592,114
63781382583390,26656,39066,109
63781382583406,26220,39080,80
63781382583431,25860,39624,100
63781382583458,25600,39922,108
63781382583471,25465,40146,95
63781382583474,25456,40396,113
63781382583476,25562,40122,96
63781382583479,25784,39556,94
63781382583481,26084,39040,81
63781382583484,26424,38175,89
63781382583495,26744,36808,78
63781382583505,26984,36296,84
63781382583515,27128,35456,83
63781382583519,27168,34400,95
63781382583534,27132,33984,86
63781382583559,27085,33668,95
63781382583578,27076,33316,87
63781382583580,27116,33604,98
63781382583583,27226,33648,79
63781382583585,27436,33852,91
63781382583593,27840,34304,81
63781382583604,28556,34897,81
63781382583614,29640,35114,69
63781382583624,31080,35528,71
63781382583634,32786,35768,65
63781382583645,34636,36228,71
63781382583651,36509,36564,64
63781382583664,38318,36935,71
63781382583674,39960,37084,65
63781382583685,41368,37276,72
63781382583695,42509,37680,68
63781382583705,43274,37648,80
63781382583709,43672,37720,74
63781382583725,43733,37748,86
63781382583729,43476,37644,75
63781382583744,42972,37505,89
63781382583754,42288,37185,79
63781382583766,41522,37178,88
63781382583773,40699,36868,63
63781382583816,39866,36912,86
63781382583816,39008,36786,76
63781382583819,38172,36776,95
63781382583821,37344,36432,94
63781382583824,36540,36356,103
63781382583834,35780,36504,95
63781382583840,35108,36556,104
63781382583855,34540,36562,88
63781382583861,34068,36784,93
63781382583876,33732,36784,87
63781382583880,33500,37010,95
