OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
1557669,63780534321406,None,None,None
1557677,63780534321413,None,None,None
1557677,63780534321417,None,None,None
1557685,63780534321421,None,None,None
1557685,63780534321425,None,None,None
1557702,63780534321436,None,None,None
1557710,63780534321446,None,None,None
1557719,63780534321458,None,None,None
1557735,63780534321469,None,None,None
1557744,63780534321480,None,None,None
1557752,63780534321491,None,None,None
1557769,63780534321502,None,None,None
1557777,63780534321513,None,None,None
1557785,63780534321524,None,None,None
1557802,63780534321536,None,None,None
1557810,63780534321546,None,None,None
1557819,63780534321558,None,None,None
1557835,63780534321569,None,None,None
1557844,63780534321580,None,None,None
1557852,63780534321591,None,None,None
1557869,63780534321602,None,None,None
1557877,63780534321613,None,None,None
1557894,63780534321627,None,None,None
1557902,63780534321635,None,None,None
1557910,63780534321646,None,None,None
1557919,63780534321658,None,None,None
1557935,63780534321668,None,None,None
1557944,63780534321679,None,None,None
1557952,63780534321691,None,None,None
1557969,63780534321702,None,None,None
1557977,63780534321713,None,None,None
1557985,63780534321724,None,None,None
1558002,63780534321735,None,None,None
1558010,63780534321747,None,None,None
1558019,63780534321757,None,None,None
1558035,63780534321768,None,None,None
1558044,63780534321780,None,None,None
1558052,63780534321791,None,None,None
1558068,63780534321802,None,None,None
1558077,63780534321813,None,None,None
1558085,63780534321824,None,None,None
1558102,63780534321835,None,None,None
1558110,63780534321846,None,None,None
1558118,63780534321858,None,None,None
1558135,63780534321869,None,None,None
1558143,63780534321880,None,None,None
1558152,63780534321891,None,None,None
1558168,63780534321902,None,None,None
1558177,63780534321913,None,None,None
1558185,63780534321924,None,None,None
1558202,63780534321935,None,None,None
1558210,63780534321946,None,None,None
1558218,63780534321958,None,None,None
1558235,63780534321969,None,None,None
1558243,63780534321979,None,None,None
1558252,63780534321990,None,None,None
1558268,63780534322002,None,None,None
1558277,63780534322013,None,None,None
1558285,63780534322024,None,None,None
1558302,63780534322035,None,None,None
1558310,63780534322046,None,None,None
1558318,63780534322057,None,None,None
1558335,63780534322068,None,None,None
1558343,63780534322079,None,None,None
1558352,63780534322090,None,None,None
1558368,63780534322107,None,None,None
1558385,63780534322118,None,None,None
1558393,63780534322129,None,None,None
1558402,63780534322140,None,None,None
1558418,63780534322152,None,None,None
1558427,63780534322162,None,None,None
1558435,63780534322173,None,None,None
1558452,63780534322185,None,None,None
1558460,63780534322196,None,None,None
1558468,63780534322207,None,None,None
1558485,63780534322218,None,None,None
1558493,63780534322229,None,None,None
1558502,63780534322240,None,None,None
1558518,63780534322251,None,None,None
1558527,63780534322262,None,None,None
1558535,63780534322274,None,None,None
1558552,63780534322285,None,None,None
1558560,63780534322295,None,None,None
1558568,63780534322307,None,None,None
1558585,63780534322318,None,None,None
1558593,63780534322329,None,None,None
1558602,63780534322340,None,None,None
1558618,63780534322351,None,None,None
1558627,63780534322362,None,None,None
1558635,63780534322373,None,None,None
1558652,63780534322384,None,None,None
1558660,63780534322395,None,None,None
1558668,63780534322407,None,None,None
1558685,63780534322418,None,None,None
1558693,63780534322429,None,None,None
1558702,63780534322440,None,None,None
1558718,63780534322451,None,None,None
1558727,63780534322462,None,None,None
1558735,63780534322473,None,None,None
1558752,63780534322484,None,None,None
1558760,63780534322495,None,None,None
1558768,63780534322506,None,None,None
1558785,63780534322518,None,None,None
1558793,63780534322529,None,None,None
1558802,63780534322540,None,None,None
1558818,63780534322551,None,None,None
1558827,63780534322562,None,None,None
