UnityTS,LabID,ParticipantID,TrialID,Room,Instruction,Duration,Question,Answer
63780535217882,HfG,3,21,Version2BankTestbedWood,hfgLean,90,waitEstimation,158
63780535221968,HfG,3,21,Version2BankTestbedWood,hfgLean,90,timePass,27
63780535224690,HfG,3,21,Version2BankTestbedWood,hfgLean,90,comfort,29
63780535227432,HfG,3,21,Version2BankTestbedWood,hfgLean,90,relax,38
63780535230010,HfG,3,21,Version2BankTestbedWood,hfgLean,90,tired,2
63780535232426,HfG,3,21,Version2BankTestbedWood,hfgLean,90,valence,3
63780535237385,HfG,3,21,Version2BankTestbedWood,hfgLean,90,arousal,1
63780535243104,HfG,3,21,Version2BankTestbedWood,hfgLean,90,thinkPast,1
63780535245204,HfG,3,21,Version2BankTestbedWood,hfgLean,90,thinkPresent,1
63780535247736,HfG,3,21,Version2BankTestbedWood,hfgLean,90,thinkFuture,1
63780535250102,HfG,3,21,Version2BankTestbedWood,hfgLean,90,experienceBody,76
63780535255155,HfG,3,21,Version2BankTestbedWood,hfgLean,90,experienceSpace,76
63780535259975,HfG,3,21,Version2BankTestbedWood,hfgLean,90,thinkTime,93
