OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valB,valL,valR
2110918,0,0,0,0,0,0,0,0,0.002625366,-0.0001061249,-0.02697266,-0.2199402,0.03471375,0.974884,0.03408089,-0.0001113129,-0.02710967,0.03408089,-0.0001113129,-0.02710967,-0.1552124,0.03082275,0.9873962,-0.1552124,0.03082275,0.9873962,True,True,True
2110927,63778360860952,-15.42636,2.807193,-0.6854069,-0.2297877,0.6762196,-0.2488511,-0.6542154,0.002163315,-0.0001053619,-0.02697075,-0.2206879,0.03492737,0.9747162,0.03408089,-0.0001100769,-0.02711058,0.03408089,-0.0001100769,-0.02711058,-0.1552277,0.03118896,0.987381,-0.1552277,0.03118896,0.987381,True,True,True
2110935,63778360860961,-15.42656,2.807222,-0.6854607,-0.2297831,0.6763049,-0.2488251,-0.6541388,0.002097672,-0.0001031799,-0.02697057,-0.2207642,0.03529358,0.9746704,0.03408089,-0.0001059723,-0.02711093,0.03408089,-0.0001059723,-0.02711093,-0.1549988,0.03187561,0.9873962,-0.1549988,0.03187561,0.9873962,True,True,True
2110943,63778360860961,-15.42656,2.807222,-0.6854607,-0.2297831,0.6763049,-0.2488251,-0.6541388,0.001991241,-0.0001011505,-0.02697307,-0.2210999,0.03662109,0.9745483,0.03408089,-0.0001055603,-0.02711695,0.03408089,-0.0001055603,-0.02711695,-0.1548309,0.03317261,0.987381,-0.1548309,0.03317261,0.987381,True,True,True
2110952,63778360860972,-15.42663,2.807208,-0.6854693,-0.2297959,0.6764384,-0.2488441,-0.6539891,0.001955017,-9.887696E-05,-0.0269729,-0.2210388,0.03630066,0.9745789,0.03408089,-0.0001009674,-0.02711697,0.03408089,-0.0001009674,-0.02711697,-0.1537323,0.03248596,0.9875641,-0.1537323,0.03248596,0.9875641,True,True,True
2110960,63778360860983,-15.42686,2.807266,-0.6854166,-0.2298657,0.6764186,-0.2488988,-0.6539642,0.001843308,-9.58252E-05,-0.02697472,-0.2211609,0.03631592,0.9745483,0.03408077,-9.477235E-05,-0.02712169,0.03408077,-9.477235E-05,-0.02712169,-0.1537018,0.03248596,0.9875793,-0.1537018,0.03248596,0.9875793,True,True,True
2110968,63778360860994,-15.42708,2.807232,-0.685491,-0.2299647,0.6764058,-0.2489694,-0.6539158,0.001686157,-9.341431E-05,-0.02697464,-0.2219696,0.03648376,0.9743652,0.0340799,-8.981323E-05,-0.02712297,0.0340799,-8.981323E-05,-0.02712297,-0.153656,0.03268433,0.9875793,-0.153656,0.03268433,0.9875793,True,True,True
2110977,63778360860994,-15.42708,2.807232,-0.685491,-0.2299647,0.6764058,-0.2489694,-0.6539158,0.001635422,-9.265137E-05,-0.02697568,-0.222229,0.03712463,0.9742737,0.03407744,-8.822632E-05,-0.02712396,0.03407744,-8.822632E-05,-0.02712396,-0.1539612,0.03395081,0.9874878,-0.1539612,0.03395081,0.9874878,True,True,True
2110985,63778360861005,-15.42715,2.807197,-0.6855342,-0.2299705,0.6763729,-0.2488353,-0.6539987,0.001690003,-9.259034E-05,-0.02697603,-0.2220306,0.03715515,0.9743195,0.03407515,-8.813477E-05,-0.02712488,0.03407515,-8.813477E-05,-0.02712488,-0.15448,0.03416443,0.9873962,-0.15448,0.03416443,0.9873962,True,True,True
2110993,63778360861016,-15.42722,2.807261,-0.6856686,-0.2299452,0.6763417,-0.2487657,-0.6540663,0.001680466,-9.179688E-05,-0.02697556,-0.22229,0.03733826,0.9742584,0.03407221,-8.648682E-05,-0.02712488,0.03407221,-8.648682E-05,-0.02712488,-0.1551361,0.03404236,0.9872894,-0.1551361,0.03404236,0.9872894,True,True,True
