OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valB,valL,valR
2215879,63778360871425,-18.18509,2.537561,-0.4232308,-0.508939,0.5856535,-0.3525369,-0.523172,0.0003917694,0.0006891632,-0.02738301,-0.01113892,0.2325592,0.9725037,0.03299797,0.001159134,-0.02773245,0.03299797,0.001159134,-0.02773245,-0.002120972,0.2388306,0.9710541,-0.002120972,0.2388306,0.9710541,True,True,True
2215887,63778360965906,-15.63734,2.81986,-0.7724621,-0.2268981,0.5924451,-0.2069506,-0.7447802,0.000612793,0.0006848755,-0.027385,-0.01107788,0.2336884,0.9722443,0.03299918,0.00114772,-0.02773171,0.03299918,0.00114772,-0.02773171,-0.001937866,0.2406464,0.9705963,-0.001937866,0.2406464,0.9705963,True,True,True
2215896,63778360965914,-15.63723,2.819917,-0.7724677,-0.2262276,0.5926954,-0.2065648,-0.7448922,0.0009055787,0.0006809388,-0.02738812,-0.01127625,0.2342834,0.9720917,0.03299918,0.001138291,-0.02773169,0.03299918,0.001138291,-0.02773169,-0.0025177,0.2402496,0.9707031,-0.0025177,0.2402496,0.9707031,True,True,True
2215904,63778360965929,-15.63708,2.820034,-0.7724792,-0.2256337,0.5928539,-0.2061204,-0.7450693,0.001154617,0.0006748505,-0.0273907,-0.01121521,0.2356567,0.9717712,0.03299918,0.001128784,-0.02773152,0.03299918,0.001128784,-0.02773152,-0.002502441,0.2413483,0.9704285,-0.002502441,0.2413483,0.9704285,True,True,True
2215912,63778360965935,-15.63683,2.820115,-0.7725995,-0.2252451,0.5929472,-0.2058752,-0.7451803,0.001274902,0.000668396,-0.02739145,-0.01126099,0.2359467,0.9716949,0.03299918,0.001128784,-0.02773042,0.03299918,0.001128784,-0.02773042,-0.002655029,0.240509,0.9706268,-0.002655029,0.240509,0.9706268,True,True,True
2215921,63778360965935,-15.63683,2.820115,-0.7725995,-0.2252451,0.5929472,-0.2058752,-0.7451803,0.00128775,0.0006625824,-0.02739275,-0.01127625,0.2366028,0.9715271,0.03299918,0.001128784,-0.02773042,0.03299918,0.001128784,-0.02773042,-0.002700806,0.239624,0.9708557,-0.002700806,0.239624,0.9708557,True,True,True
2215929,63778360965947,-15.63675,2.820287,-0.7725064,-0.2248159,0.5931603,-0.2056296,-0.7452082,0.001416397,0.000661377,-0.02739417,-0.01158142,0.2344666,0.9720459,0.03299918,0.001128784,-0.02773039,0.03299918,0.001128784,-0.02773039,-0.003417969,0.2381897,0.9712067,-0.003417969,0.2381897,0.9712067,True,True,True
2215937,63778360965959,-15.63663,2.820447,-0.7725622,-0.2245385,0.5933433,-0.2053992,-0.7452098,0.001424255,0.0006582184,-0.02739343,-0.01158142,0.2341919,0.9721069,0.03299918,0.001127487,-0.02772771,0.03299918,0.001127487,-0.02772771,-0.003417969,0.2376099,0.971344,-0.003417969,0.2376099,0.971344,True,True,True
2215946,63778360965969,-15.63629,2.820606,-0.7727426,-0.2241069,0.5937354,-0.205035,-0.7451276,0.001374847,0.0006552582,-0.02739105,-0.01225281,0.2335052,0.9722748,0.03299918,0.001123535,-0.02772389,0.03299918,0.001123535,-0.02772389,-0.003417969,0.237442,0.9713898,-0.003417969,0.237442,0.9713898,True,True,True
2215954,63778360965969,-15.63629,2.820606,-0.7727426,-0.2241069,0.5937354,-0.205035,-0.7451276,0.001449936,0.0006547394,-0.02738881,-0.01132202,0.2329407,0.9724121,0.0329939,0.001120178,-0.02771666,0.0329939,0.001120178,-0.02771666,-0.003692627,0.23703,0.9714813,-0.003692627,0.23703,0.9714813,True,True,True
