OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
1457639,63780796210181,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457647,63780796210192,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457656,63780796210204,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457672,63780796210215,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457681,63780796210226,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457689,63780796210237,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457706,63780796210248,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457714,63780796210259,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457722,63780796210270,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457739,63780796210282,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457747,63780796210293,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457756,63780796210304,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457772,63780796210317,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457781,63780796210329,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457789,63780796210337,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457806,63780796210348,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457814,63780796210359,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457822,63780796210370,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457839,63780796210381,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457847,63780796210392,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457856,63780796210403,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457872,63780796210415,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457881,63780796210426,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457889,63780796210437,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457906,63780796210448,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457914,63780796210459,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457922,63780796210470,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457939,63780796210482,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457947,63780796210492,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457956,63780796210503,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457972,63780796210515,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457981,63780796210526,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1457989,63780796210537,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1458006,63780796210548,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1458014,63780796210559,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1458022,63780796210570,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1458039,63780796210581,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
1458047,63780796210593,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
