OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
2255516,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01242522,0.002927674,-0.02318457,-0.003311157,-0.1481934,0.9889374,0.03154569,0.004331345,-0.02387822,0.03154569,0.004331345,-0.02387822,0.01211548,-0.1508484,0.9884796,0.01211548,-0.1508484,0.9884796,2.857025,2.857025,True,True,True
2255524,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01304123,0.002972901,-0.02320514,-0.002807617,-0.1483154,0.9889221,0.03154569,0.004331345,-0.02387514,0.03154569,0.004331345,-0.02387514,0.01211548,-0.1504669,0.9885254,0.01211548,-0.1504669,0.9885254,2.857224,2.857224,True,True,True
2255532,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01323453,0.00298703,-0.02319989,-0.002609253,-0.1485443,0.9888916,0.03154569,0.004331253,-0.02385703,0.03154569,0.004331253,-0.02385703,0.01219177,-0.1512146,0.9884186,0.01219177,-0.1512146,0.9884186,2.857025,2.857025,True,True,True
2255541,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01338515,0.002998154,-0.02320529,-0.002502441,-0.1484833,0.9889069,0.03154569,0.004331345,-0.02385703,0.03154569,0.004331345,-0.02385703,0.01219177,-0.1510925,0.9884338,0.01219177,-0.1510925,0.9884338,2.857208,2.857208,True,True,True
2255549,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01326628,0.002989426,-0.02320102,-0.003417969,-0.1484985,0.9888916,0.03154569,0.004331345,-0.02385703,0.03154569,0.004331345,-0.02385703,0.01210022,-0.1511078,0.9884338,0.01210022,-0.1511078,0.9884338,2.857254,2.857254,True,True,True
2255557,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01295728,0.002967148,-0.02318994,-0.003768921,-0.148056,0.9889679,0.03154569,0.004331971,-0.02385703,0.03154569,0.004331971,-0.02385703,0.01196289,-0.1505127,0.9885254,0.01196289,-0.1505127,0.9885254,2.837021,2.837021,True,True,True
2255566,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01259233,0.002940018,-0.02317688,-0.00378418,-0.147934,0.9889832,0.03154433,0.004331345,-0.02385703,0.03154433,0.004331345,-0.02385703,0.01168823,-0.1504211,0.9885406,0.01168823,-0.1504211,0.9885406,2.836945,2.836945,True,True,True
2255574,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01233415,0.002920105,-0.02316731,-0.003829956,-0.1477203,0.9890137,0.03154419,0.004330887,-0.02385703,0.03154419,0.004330887,-0.02385703,0.01152039,-0.1502991,0.9885712,0.01152039,-0.1502991,0.9885712,2.816605,2.816605,True,True,True
2255582,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01256354,0.002936859,-0.0231752,-0.004104614,-0.1482849,0.9889221,0.03154134,0.004330887,-0.02385703,0.03154134,0.004330887,-0.02385703,0.01087952,-0.1510773,0.9884491,0.01087952,-0.1510773,0.9884491,2.804749,2.804749,True,True,True
2255591,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01300073,0.002967102,-0.02319074,-0.003860474,-0.1479797,0.9889679,0.03153919,0.004329498,-0.02385703,0.03153919,0.004329498,-0.02385703,0.01043701,-0.1508026,0.9884949,0.01043701,-0.1508026,0.9884949,2.803955,2.803955,True,True,True
2255599,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01316083,0.002978272,-0.02320809,-0.003646851,-0.1475525,0.9890442,0.03153916,0.004329498,-0.0238781,0.03153916,0.004329498,-0.0238781,0.01075745,-0.1498871,0.9886322,0.01075745,-0.1498871,0.9886322,2.797394,2.797394,True,True,True
2255607,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01309918,0.002973374,-0.02321085,-0.003158569,-0.1475525,0.9890442,0.03153916,0.004329483,-0.02388692,0.03153916,0.004329483,-0.02388692,0.0116272,-0.1499329,0.9886169,0.0116272,-0.1499329,0.9886169,2.79184,2.79184,True,True,True
2255616,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.0128652,0.002955506,-0.02320157,-0.003387451,-0.1474152,0.9890594,0.03153916,0.004328858,-0.02388692,0.03153916,0.004328858,-0.02388692,0.0118103,-0.1498108,0.9886322,0.0118103,-0.1498108,0.9886322,2.791718,2.791718,True,True,True
2255624,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01271178,0.002943665,-0.02319579,-0.003494263,-0.147522,0.9890442,0.03153916,0.004328202,-0.02388692,0.03153916,0.004328202,-0.02388692,0.01185608,-0.1498566,0.9886322,0.01185608,-0.1498566,0.9886322,2.791794,2.791794,True,True,True
2255632,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01267552,0.002939102,-0.02319429,-0.003433228,-0.1473846,0.9890594,0.03153916,0.00432631,-0.02388904,0.03153916,0.00432631,-0.02388904,0.01185608,-0.1493835,0.9886932,0.01185608,-0.1493835,0.9886932,2.792038,2.792038,True,True,True
2255641,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01268413,0.002939468,-0.02319756,-0.003082275,-0.1472015,0.98909,0.03153916,0.004325928,-0.02389542,0.03153916,0.004325928,-0.02389542,0.01185608,-0.1490173,0.9887543,0.01185608,-0.1490173,0.9887543,2.791748,2.791748,True,True,True
2255649,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01278197,0.00294664,-0.02320386,-0.00289917,-0.1473999,0.9890594,0.03153916,0.004325928,-0.02389943,0.03153916,0.004325928,-0.02389943,0.01187134,-0.1493073,0.9887085,0.01187134,-0.1493073,0.9887085,2.791733,2.791733,True,True,True
2255657,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01297771,0.00295607,-0.02321144,-0.002578735,-0.1467133,0.9891663,0.03153916,0.004320832,-0.02390024,0.03153916,0.004320832,-0.02390024,0.01187134,-0.1483307,0.9888611,0.01187134,-0.1483307,0.9888611,2.792053,2.792053,True,True,True
2255666,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01331946,0.002978806,-0.02322565,-0.002166748,-0.1464691,0.9891968,0.03154032,0.004320191,-0.02390486,0.03154032,0.004320191,-0.02390486,0.01210022,-0.1480408,0.9888916,0.01210022,-0.1480408,0.9888916,2.791611,2.791611,True,True,True
2255674,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01345419,0.002988205,-0.02323119,-0.001647949,-0.1472931,0.98909,0.03154032,0.004320191,-0.02390881,0.03154032,0.004320191,-0.02390881,0.01249695,-0.1492004,0.9887238,0.01249695,-0.1492004,0.9887238,2.791245,2.791245,True,True,True
2255682,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01349492,0.002990647,-0.02323248,-0.001403809,-0.1473083,0.9890747,0.03154032,0.004319916,-0.02390881,0.03154032,0.004319916,-0.02390881,0.01268005,-0.1492767,0.9887085,0.01268005,-0.1492767,0.9887085,2.791489,2.791489,True,True,True
2255691,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.0137963,0.003012772,-0.02324378,-0.0009918213,-0.1475983,0.9890442,0.03154032,0.004319824,-0.02390881,0.03154032,0.004319824,-0.02390881,0.01277161,-0.1492767,0.9887085,0.01277161,-0.1492767,0.9887085,2.793869,2.793869,True,True,True
2255699,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01377289,0.003010895,-0.02324234,-0.0009613037,-0.1472168,0.98909,0.03154032,0.004319824,-0.02390881,0.03154032,0.004319824,-0.02390881,0.01275635,-0.1491089,0.9887238,0.01275635,-0.1491089,0.9887238,2.794052,2.794052,True,True,True
2255707,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01374442,0.003008698,-0.02324127,-0.001205444,-0.1472015,0.98909,0.03154032,0.004319824,-0.02390881,0.03154032,0.004319824,-0.02390881,0.01251221,-0.1491699,0.9887238,0.01251221,-0.1491699,0.9887238,2.754257,2.754257,True,True,True
2255716,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01385927,0.003017136,-0.02324486,-0.0002746582,-0.1472168,0.98909,0.03154032,0.004319733,-0.0239077,0.03154032,0.004319733,-0.0239077,0.01296997,-0.149231,0.9887085,0.01296997,-0.149231,0.9887085,2.754242,2.754242,True,True,True
2255724,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01389101,0.003018433,-0.02324606,0,-0.1469879,0.9891357,0.03154032,0.004318176,-0.0239077,0.03154032,0.004318176,-0.0239077,0.01319885,-0.14888,0.9887543,0.01319885,-0.14888,0.9887543,2.750534,2.750534,True,True,True
2255732,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.013825,0.003013642,-0.0232442,0.0009002686,-0.1469879,0.9891357,0.03153938,0.0043181,-0.0239077,0.03153938,0.0043181,-0.0239077,0.01422119,-0.1488647,0.988739,0.01422119,-0.1488647,0.988739,2.793945,2.793945,True,True,True
2255741,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.0134678,0.002987488,-0.02323187,0.003555298,-0.1472778,0.9890747,0.03153778,0.004318176,-0.02390881,0.03153778,0.004318176,-0.02390881,0.0177002,-0.1489868,0.988678,0.0177002,-0.1489868,0.988678,2.747971,2.747971,True,True,True
2255749,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01350214,0.002991349,-0.02323583,0.003601074,-0.1470795,0.9891052,0.03153403,0.004319733,-0.02391158,0.03153403,0.004319733,-0.02391158,0.01742554,-0.1491547,0.9886475,0.01742554,-0.1491547,0.9886475,2.747055,2.747055,True,True,True
2255757,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01352293,0.002993271,-0.02324005,0.004364014,-0.1468964,0.9891357,0.03153146,0.004319916,-0.02391518,0.03153146,0.004319916,-0.02391518,0.01831055,-0.1489716,0.9886627,0.01831055,-0.1489716,0.9886627,2.747116,2.747116,True,True,True
2255766,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.0134157,0.002985718,-0.02323885,0.005111694,-0.1468658,0.9891357,0.03152831,0.004319916,-0.02391817,0.03152831,0.004319916,-0.02391817,0.019104,-0.1495667,0.9885559,0.019104,-0.1495667,0.9885559,2.747025,2.747025,True,True,True
2255774,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01343097,0.002987198,-0.02324248,0.005493164,-0.1463013,0.989212,0.03152513,0.004319916,-0.02391817,0.03152513,0.004319916,-0.02391817,0.02011108,-0.1495209,0.9885406,0.02011108,-0.1495209,0.9885406,2.742706,2.742706,True,True,True
2255782,63780796914942,-13.75913,2.608121,-0.05044594,0.02587118,0.856759,0.04728082,-0.5128931,0.01381487,0.003016373,-0.02326291,0.006958008,-0.14534,0.9893494,0.03151971,0.004320313,-0.02392388,0.03151971,0.004320313,-0.02392388,0.0219574,-0.1482849,0.9886932,0.0219574,-0.1482849,0.9886932,2.742706,2.742706,True,True,True
