OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
3729065,63780708288592,None,None,None
3729074,63780708288602,None,None,None
3729082,63780708288614,None,None,None
3729099,63780708288625,None,None,None
3729107,63780708288636,None,None,None
3729115,63780708288647,None,None,None
3729132,63780708288658,None,None,None
3729140,63780708288669,None,None,None
3729149,63780708288680,None,None,None
3729165,63780708288691,None,None,None
3729174,63780708288702,None,None,None
3729182,63780708288713,None,None,None
3729199,63780708288726,None,None,None
3729207,63780708288736,None,None,None
3729215,63780708288748,None,None,None
3729232,63780708288758,None,None,None
3729240,63780708288769,None,None,None
3729249,63780708288780,None,None,None
3729265,63780708288791,None,None,None
3729274,63780708288802,None,None,None
3729282,63780708288814,None,None,None
3729290,63780708288824,None,None,None
3729307,63780708288836,None,None,None
3729315,63780708288847,None,None,None
3729332,63780708288858,None,None,None
3729340,63780708288869,None,None,None
3729349,63780708288880,None,None,None
3729357,63780708288891,None,None,None
3729374,63780708288902,None,None,None
3729382,63780708288913,None,None,None
3729399,63780708288925,None,None,None
3729407,63780708288936,None,None,None
3729415,63780708288947,None,None,None
3729432,63780708288958,None,None,None
3729440,63780708288969,None,None,None
3729449,63780708288980,None,None,None
3729465,63780708288991,None,None,None
3729474,63780708289002,None,None,None
3729482,63780708289013,None,None,None
3729499,63780708289025,None,None,None
3729507,63780708289036,None,None,None
3729515,63780708289047,None,None,None
3729532,63780708289058,None,None,None
3729540,63780708289069,None,None,None
3729549,63780708289080,None,None,None
3729565,63780708289092,None,None,None
3729574,63780708289102,None,None,None
3729582,63780708289113,None,None,None
3729599,63780708289125,None,None,None
3729607,63780708289135,None,None,None
3729615,63780708289147,None,None,None
3729632,63780708289158,None,None,None
3729640,63780708289169,None,None,None
3729649,63780708289180,None,None,None
3729665,63780708289191,None,None,None
3729674,63780708289202,None,None,None
3729682,63780708289213,None,None,None
3729699,63780708289224,None,None,None
3729707,63780708289236,None,None,None
3729715,63780708289246,None,None,None
3729724,63780708289257,None,None,None
3729740,63780708289269,None,None,None
3729749,63780708289280,None,None,None
3729765,63780708289291,None,None,None
3729774,63780708289303,None,None,None
3729782,63780708289313,None,None,None
3729799,63780708289324,None,None,None
3729807,63780708289335,None,None,None
3729815,63780708289347,None,None,None
3729832,63780708289358,None,None,None
3729840,63780708289369,None,None,None
3729849,63780708289380,None,None,None
3729857,63780708289391,None,None,None
3729874,63780708289402,None,None,None
3729882,63780708289413,None,None,None
3729899,63780708289424,None,None,None
3729907,63780708289436,None,None,None
3729915,63780708289446,None,None,None
3729924,63780708289457,None,None,None
3729940,63780708289469,None,None,None
3729949,63780708289480,None,None,None
3729965,63780708289491,None,None,None
3729974,63780708289502,None,None,None
3729982,63780708289513,None,None,None
3729999,63780708289524,None,None,None
3730007,63780708289535,None,None,None
3730015,63780708289546,None,None,None
3730032,63780708289558,None,None,None
3730040,63780708289569,None,None,None
3730049,63780708289580,None,None,None
3730057,63780708289591,None,None,None
3730074,63780708289602,None,None,None
3730082,63780708289613,None,None,None
3730099,63780708289624,None,None,None
3730107,63780708289635,None,None,None
3730115,63780708289646,None,None,None
3730132,63780708289658,None,None,None
3730140,63780708289669,None,None,None
3730149,63780708289679,None,None,None
3730157,63780708289691,None,None,None
3730174,63780708289702,None,None,None
3730182,63780708289713,None,None,None
3730199,63780708289724,None,None,None
3730207,63780708289735,None,None,None
3730215,63780708289746,None,None,None
3730232,63780708289758,None,None,None
3730240,63780708289768,None,None,None
3730249,63780708289780,None,None,None
3730265,63780708289791,None,None,None
3730274,63780708289801,None,None,None
3730282,63780708289813,None,None,None
3730299,63780708289824,None,None,None
3730307,63780708289835,None,None,None
3730315,63780708289846,None,None,None
3730324,63780708289857,None,None,None
3730340,63780708289868,None,None,None
3730349,63780708289879,None,None,None
3730357,63780708289890,None,None,None
3730374,63780708289902,None,None,None
3730382,63780708289913,None,None,None
3730399,63780708289924,None,None,None
3730407,63780708289935,None,None,None
3730415,63780708289946,None,None,None
3730423,63780708289957,None,None,None
3730440,63780708289969,None,None,None
3730448,63780708289979,None,None,None
3730457,63780708289990,None,None,None
3730473,63780708290001,None,None,None
3730482,63780708290013,None,None,None
