OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
2415276,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.02896495,0.0003204804,-0.02557967,-0.1086884,-0.06356812,0.9920349,0.0329294,0.001835022,-0.0275132,0.0329294,0.001835022,-0.0275132,-0.05766296,-0.05586243,0.9967651,-0.05766296,-0.05586243,0.9967651,2.633072,2.633072,True,True,True
2415285,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.02896492,0.000330307,-0.02558782,-0.1085663,-0.06503296,0.9919434,0.03292958,0.001840164,-0.02752234,0.03292958,0.001840164,-0.02752234,-0.05723572,-0.05566406,0.9967957,-0.05723572,-0.05566406,0.9967957,2.625656,2.625656,True,True,True
2415293,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.02896469,0.0003309021,-0.02558783,-0.1085052,-0.06507874,0.9919586,0.03292981,0.001844452,-0.02753238,0.03292981,0.001844452,-0.02753238,-0.05705261,-0.05566406,0.9968109,-0.05705261,-0.05566406,0.9968109,2.620193,2.620193,True,True,True
2415301,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.02895818,0.0003310547,-0.02558803,-0.107193,-0.06462097,0.9921265,0.03292981,0.001852905,-0.02754822,0.03292981,0.001852905,-0.02754822,-0.05700684,-0.05613708,0.9967804,-0.05700684,-0.05613708,0.9967804,2.620026,2.620026,True,True,True
2415310,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.02828978,0.0003476105,-0.02560925,-0.1065826,-0.0642395,0.992218,0.03292981,0.001862595,-0.02755248,0.03292981,0.001862595,-0.02755248,-0.05706787,-0.05801392,0.9966736,-0.05706787,-0.05801392,0.9966736,2.610504,2.610504,True,True,True
2415318,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.002550934,0.0009858551,-0.0264354,-0.08564758,-0.06118774,0.9944305,0.03293135,0.001865677,-0.02757396,0.03293135,0.001865677,-0.02757396,-0.0567627,-0.05722046,0.9967346,-0.0567627,-0.05722046,0.9967346,2.609772,2.609772,True,True,True
2415326,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.002295319,0.0009977265,-0.02644815,-0.08505249,-0.06059265,0.9945221,0.03293135,0.001878525,-0.02758452,0.03293135,0.001878525,-0.02758452,-0.05651855,-0.05888367,0.9966583,-0.05651855,-0.05888367,0.9966583,2.606613,2.606613,True,True,True
2415335,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.003130722,0.0009770814,-0.02642269,-0.08570862,-0.06037903,0.9944763,0.03293135,0.001879105,-0.02758809,0.03293135,0.001879105,-0.02758809,-0.05661011,-0.05874634,0.9966583,-0.05661011,-0.05874634,0.9966583,2.591171,2.591171,True,True,True
2415343,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.002860413,0.000983963,-0.0264321,-0.08491516,-0.05961609,0.9945984,0.03293164,0.001879471,-0.02758983,0.03293164,0.001879471,-0.02758983,-0.05609131,-0.05735779,0.9967651,-0.05609131,-0.05735779,0.9967651,2.58342,2.58342,True,True,True
2415351,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.002305908,0.000997696,-0.02644466,-0.08432007,-0.05822754,0.9947205,0.03293514,0.001879898,-0.02759363,0.03293514,0.001879898,-0.02759363,-0.05580139,-0.05604553,0.9968567,-0.05580139,-0.05604553,0.9968567,2.58345,2.58345,True,True,True
2415359,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.001026245,0.001030624,-0.0264746,-0.08293152,-0.05870056,0.994812,0.03293668,0.001881088,-0.02759671,0.03293668,0.001881088,-0.02759671,-0.05554199,-0.05525208,0.9969177,-0.05554199,-0.05525208,0.9969177,2.567123,2.567123,True,True,True
2415368,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,0.0005738983,0.00107135,-0.02652802,-0.08082581,-0.05830383,0.9950104,0.03294014,0.001881653,-0.02759807,0.03294014,0.001881653,-0.02759807,-0.05430603,-0.05529785,0.9969788,-0.05430603,-0.05529785,0.9969788,2.567078,2.567078,True,True,True
2415376,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,0.002123962,0.001112076,-0.02658194,-0.07952881,-0.05821228,0.9951172,0.03294092,0.001885498,-0.02760347,0.03294092,0.001885498,-0.02760347,-0.05482483,-0.05581665,0.996933,-0.05482483,-0.05581665,0.996933,2.560181,2.560181,True,True,True
2415384,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,0.002744125,0.001128601,-0.02661102,-0.07925415,-0.05630493,0.9952545,0.03294165,0.001887421,-0.02762013,0.03294165,0.001887421,-0.02762013,-0.05525208,-0.05332947,0.9970398,-0.05525208,-0.05332947,0.9970398,2.550064,2.550064,True,True,True
2415393,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,0.00158165,0.001110565,-0.02660118,-0.08081055,-0.05651855,0.9951172,0.03294301,0.001910095,-0.02767897,0.03294301,0.001910095,-0.02767897,-0.05474854,-0.05444336,0.9970093,-0.05474854,-0.05444336,0.9970093,2.548477,2.548477,True,True,True
2415401,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.001189743,0.001045441,-0.02651447,-0.0823822,-0.05664063,0.9949799,0.03294498,0.00192247,-0.02769806,0.03294498,0.00192247,-0.02769806,-0.05300903,-0.05545044,0.9970398,-0.05300903,-0.05545044,0.9970398,2.547974,2.547974,True,True,True
2415409,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.006316147,0.0009206391,-0.02635883,-0.08668518,-0.05491638,0.9947052,0.03294559,0.001941391,-0.02775853,0.03294559,0.001941391,-0.02775853,-0.05271912,-0.05403137,0.9971313,-0.05271912,-0.05403137,0.9971313,2.54216,2.54216,True,True,True
2415418,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.01282098,0.0007587433,-0.02614491,-0.09054565,-0.05467224,0.9943848,0.03294811,0.001961945,-0.02782764,0.03294811,0.001961945,-0.02782764,-0.05192566,-0.05284119,0.9972382,-0.05192566,-0.05284119,0.9972382,2.541412,2.541412,True,True,True
2415426,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.01747547,0.0006413574,-0.02598468,-0.09429932,-0.05427551,0.9940491,0.03294948,0.001974899,-0.02786299,0.03294948,0.001974899,-0.02786299,-0.05137634,-0.05342102,0.9972382,-0.05137634,-0.05342102,0.9972382,2.545639,2.545639,True,True,True
2415434,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.0212529,0.0005449982,-0.02585308,-0.09687805,-0.05462646,0.9937897,0.03294948,0.001988861,-0.02790202,0.03294948,0.001988861,-0.02790202,-0.0512085,-0.05413818,0.9972076,-0.0512085,-0.05413818,0.9972076,2.550278,2.550278,True,True,True
2415443,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.02348659,0.0004918823,-0.02578832,-0.09829712,-0.05407715,0.9936829,0.03294948,0.002014878,-0.02797339,0.03294948,0.002014878,-0.02797339,-0.05014038,-0.05465698,0.9972382,-0.05014038,-0.05465698,0.9972382,2.554749,2.554749,True,True,True
2415451,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.0247892,0.0004590454,-0.02574494,-0.09951782,-0.05334473,0.9935913,0.03294948,0.002033615,-0.02802647,0.03294948,0.002033615,-0.02802647,-0.04782104,-0.05406189,0.9973907,-0.04782104,-0.05406189,0.9973907,2.554169,2.554169,True,True,True
2415459,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.02474111,0.000468628,-0.02577252,-0.1000977,-0.05278015,0.9935608,0.03294948,0.002050598,-0.02806749,0.03294948,0.002050598,-0.02806749,-0.04763794,-0.05509949,0.9973297,-0.04763794,-0.05509949,0.9973297,2.552963,2.552963,True,True,True
2415468,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.02471297,0.0004724427,-0.0257777,-0.09512329,-0.05314636,0.9940338,0.03294948,0.002067917,-0.02811933,0.03294948,0.002067917,-0.02811933,-0.04727173,-0.05596924,0.9972992,-0.04727173,-0.05596924,0.9972992,2.546005,2.546005,True,True,True
2415476,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.02536988,0.0004602509,-0.02575542,-0.09667969,-0.05400085,0.9938354,0.03294948,0.002091507,-0.02819061,0.03294948,0.002091507,-0.02819061,-0.04685974,-0.05696106,0.9972687,-0.04685974,-0.05696106,0.9972687,2.536026,2.536026,True,True,True
2415484,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.02470009,0.000481369,-0.02578362,-0.09455872,-0.05435181,0.9940186,0.03294948,0.002101029,-0.02819061,0.03294948,0.002101029,-0.02819061,-0.04415894,-0.05818176,0.9973145,-0.04415894,-0.05818176,0.9973145,2.544357,2.544357,True,True,True
2415493,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.0232935,0.0005213013,-0.02584268,-0.09313965,-0.05360413,0.9942017,0.0329435,0.002103134,-0.02819061,0.0329435,0.002103134,-0.02819061,-0.04214478,-0.05862427,0.9973755,-0.04214478,-0.05862427,0.9973755,2.536285,2.536285,True,True,True
2415501,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.02144711,0.0005734406,-0.02592008,-0.09300232,-0.05335999,0.9942322,0.03293837,0.002103134,-0.02819061,0.03293837,0.002103134,-0.02819061,-0.04290771,-0.05769348,0.997406,-0.04290771,-0.05769348,0.997406,2.53653,2.53653,True,True,True
2415509,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.01841141,0.000660141,-0.02604704,-0.09042358,-0.05200195,0.9945374,0.03293538,0.002103134,-0.02819061,0.03293538,0.002103134,-0.02819061,-0.04112244,-0.05760193,0.9974823,-0.04112244,-0.05760193,0.9974823,2.536331,2.536331,True,True,True
2415518,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.01348709,0.0007991944,-0.02625293,-0.08544922,-0.05198669,0.9949799,0.03292821,0.002103134,-0.02819061,0.03292821,0.002103134,-0.02819061,-0.04042053,-0.05561829,0.9976196,-0.04042053,-0.05561829,0.9976196,2.530884,2.530884,True,True,True
2415526,63780711158085,-13.52245,2.745919,-0.3533611,-0.09969217,0.9676945,-0.05473326,-0.225018,-0.008490631,0.0009402771,-0.02646156,-0.08161926,-0.05134583,0.9953308,0.03292221,0.002103134,-0.02819061,0.03292221,0.002103134,-0.02819061,-0.0413208,-0.05522156,0.9976044,-0.0413208,-0.05522156,0.9976044,2.530716,2.530716,True,True,True
