OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
3927190,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.02643346,0.0008375245,-0.02591971,-0.1806946,0.05093384,0.9822083,0.03311284,0.002969086,-0.02794008,0.03311284,0.002969086,-0.02794008,-0.1165924,0.03442383,0.992569,-0.1165924,0.03442383,0.992569,2.97171,2.97171,True,True,True
3927198,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.02166779,0.001015717,-0.02608151,-0.1741028,0.04815674,0.9835358,0.03309507,0.002984024,-0.02794231,0.03309507,0.002984024,-0.02794231,-0.1146545,0.03713989,0.9927063,-0.1146545,0.03713989,0.9927063,2.934189,2.934189,True,True,True
3927206,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.02007126,0.001078552,-0.02614118,-0.1707458,0.04876709,0.9841003,0.03307616,0.003013992,-0.028009,0.03307616,0.003013992,-0.028009,-0.1118469,0.03977966,0.9929199,-0.1118469,0.03977966,0.9929199,2.998398,2.998398,True,True,True
3927215,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.01482707,0.00127771,-0.02633664,-0.1640625,0.04870605,0.9852295,0.03305184,0.0030448,-0.02807384,0.03305184,0.0030448,-0.02807384,-0.1129303,0.04098511,0.9927521,-0.1129303,0.04098511,0.9927521,2.956345,2.956345,True,True,True
3927223,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.01123932,0.001416199,-0.02647047,-0.1608734,0.04820251,0.9857941,0.03303726,0.003065186,-0.02810095,0.03303726,0.003065186,-0.02810095,-0.1162567,0.04211426,0.9923248,-0.1162567,0.04211426,0.9923248,2.966507,2.966507,True,True,True
3927231,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.008315476,0.001521652,-0.02655626,-0.1569824,0.04649353,0.986496,0.03302646,0.003053772,-0.02804559,0.03302646,0.003053772,-0.02804559,-0.1145782,0.03903198,0.9926453,-0.1145782,0.03903198,0.9926453,2.900757,2.900757,True,True,True
3927240,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.007609757,0.00155101,-0.02658196,-0.1538849,0.04689026,0.986969,0.0330251,0.003058838,-0.0280602,0.0330251,0.003058838,-0.0280602,-0.1135559,0.04101563,0.9926758,-0.1135559,0.04101563,0.9926758,2.941193,2.941193,True,True,True
3927248,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.008211609,0.001528824,-0.02655049,-0.1526489,0.04606628,0.9871979,0.03302373,0.003054718,-0.02804559,0.03302373,0.003054718,-0.02804559,-0.1142578,0.03895569,0.9926758,-0.1142578,0.03895569,0.9926758,2.917038,2.917038,True,True,True
3927256,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.0007198944,0.001791824,-0.02676425,-0.130249,0.04389954,0.9904938,0.03292236,0.003130035,-0.02833122,0.03292236,0.003130035,-0.02833122,-0.09667969,0.02830505,0.9949036,-0.09667969,0.02830505,0.9949036,2.856522,2.856522,True,True,True
3927265,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.02899137,0.0008059693,-0.0257498,-0.1172028,0.04382324,0.9921265,0.0326472,0.002558685,-0.0262455,0.0326472,0.002558685,-0.0262455,-0.08480835,0.03741455,0.9956818,-0.08480835,0.03741455,0.9956818,2.869797,2.869797,True,True,True
3927273,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.02932481,0.0007816315,-0.02570186,-0.08099365,0.04464722,0.9957123,0.03237242,0.002382645,-0.02576271,0.03237242,0.002382645,-0.02576271,-0.03399658,0.04350281,0.9984589,-0.03399658,0.04350281,0.9984589,2.901077,2.901077,True,True,True
3927281,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.02953313,0.0008196259,-0.02587601,-0.03111267,0.03683472,0.9988251,0.03211435,0.002408417,-0.02592899,0.03211435,0.002408417,-0.02592899,0.000793457,0.04067993,0.9991608,0.000793457,0.04067993,0.9991608,2.978333,2.978333,True,True,True
3927290,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.02974457,0.000789917,-0.02593547,0.008605957,0.03112793,0.9994659,0.03190349,0.002254013,-0.02560547,0.03190349,0.002254013,-0.02560547,0.04220581,0.05007935,0.9978485,0.04220581,0.05007935,0.9978485,3.027557,3.027557,True,True,True
3927298,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.02986841,0.0008544159,-0.02603746,0.04663086,0.01545715,0.9987793,0.03174759,0.002319596,-0.02583736,0.03174759,0.002319596,-0.02583736,0.07086182,0.03131104,0.9969788,0.07086182,0.03131104,0.9969788,2.895584,2.895584,True,True,True
3927306,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.02990953,0.0008225251,-0.02588225,0.05819702,0.01249695,0.9982147,0.0316563,0.002364853,-0.025939,0.0316563,0.002364853,-0.025939,0.08288574,0.0305481,0.9960785,0.08288574,0.0305481,0.9960785,2.973846,2.973846,True,True,True
3927315,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.02991478,0.0008207398,-0.02585308,0.05743408,0.01239014,0.9982605,0.03164493,0.002372849,-0.02594951,0.03164493,0.002372849,-0.02594951,0.08480835,0.02920532,0.9959564,0.08480835,0.02920532,0.9959564,3.002914,3.002914,True,True,True
3927323,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.02992365,0.00078891,-0.02574039,0.06063843,0.00630188,0.9981384,0.03164583,0.002376755,-0.02595844,0.03164583,0.002376755,-0.02595844,0.08509827,0.0295105,0.9959259,0.08509827,0.0295105,0.9959259,2.966141,2.966141,True,True,True
3927331,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.02992591,0.0007769471,-0.02570009,0.05917358,0.008163452,0.9981995,0.03164493,0.002380661,-0.02596738,0.03164493,0.002380661,-0.02596738,0.08494568,0.02966309,0.9959412,0.08494568,0.02966309,0.9959412,2.929153,2.929153,True,True,True
3927340,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,-0.001736969,0.001506424,-0.02579981,0.07093811,0.01699829,0.9973297,0.03164447,0.002384369,-0.02596559,0.03164447,0.002384369,-0.02596559,0.08534241,0.02905273,0.9959259,0.08534241,0.02905273,0.9959259,2.948608,2.948608,True,True,True
3927348,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,0.01031885,0.001822739,-0.02585268,0.07731628,0.02090454,0.9967804,0.031644,0.002387833,-0.02596381,0.031644,0.002387833,-0.02596381,0.08573914,0.02836609,0.9959106,0.08573914,0.02836609,0.9959106,2.968628,2.968628,True,True,True
3927356,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,0.01759125,0.002017685,-0.02589583,0.08024597,0.02275085,0.9965057,0.03164093,0.002387955,-0.02596559,0.03164093,0.002387955,-0.02596559,0.08538818,0.02813721,0.9959412,0.08538818,0.02813721,0.9959412,2.948227,2.948227,True,True,True
3927365,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,0.01672557,0.001997788,-0.02589995,0.07965088,0.02227783,0.9965668,0.03163788,0.002387833,-0.02596381,0.03163788,0.002387833,-0.02596381,0.08537292,0.02801514,0.9959412,0.08537292,0.02801514,0.9959412,2.968536,2.968536,True,True,True
3927373,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,0.02179697,0.002129456,-0.02592679,0.08216858,0.02409363,0.9963226,0.03163568,0.002384293,-0.02596222,0.03163568,0.002384293,-0.02596222,0.08624268,0.02793884,0.9958801,0.08624268,0.02793884,0.9958801,2.973114,2.973114,True,True,True
3927381,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,0.01785605,0.002026306,-0.02594125,0.07991028,0.02397156,0.9965057,0.03163349,0.002380753,-0.02596065,0.03163349,0.002380753,-0.02596065,0.08705139,0.02778625,0.9958038,0.08705139,0.02778625,0.9958038,2.968552,2.968552,True,True,True
3927390,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,0.02244997,0.00214444,-0.02596439,0.08317566,0.02586365,0.9961853,0.03163321,0.002380707,-0.02595685,0.03163321,0.002380707,-0.02595685,0.08908081,0.02696228,0.9956512,0.08908081,0.02696228,0.9956512,2.948746,2.948746,True,True,True
3927398,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,0.02645506,0.002247192,-0.02595787,0.08798218,0.02572632,0.9957886,0.03163294,0.002380661,-0.02595303,0.03163294,0.002380661,-0.02595303,0.09146118,0.026474,0.9954529,0.09146118,0.026474,0.9954529,2.968811,2.968811,True,True,True
3927406,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,0.02912007,0.002312042,-0.02595355,0.0899353,0.0259552,0.9956055,0.03163251,0.002376755,-0.02595126,0.03163251,0.002376755,-0.02595126,0.09159851,0.02641296,0.9954376,0.09159851,0.02641296,0.9954376,2.973557,2.973557,True,True,True
3927415,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,0.02893958,0.002303452,-0.02594646,0.08988953,0.0254364,0.9956207,0.0316321,0.002372849,-0.02594951,0.0316321,0.002372849,-0.02594951,0.0916748,0.02626038,0.9954376,0.0916748,0.02626038,0.9954376,2.968643,2.968643,True,True,True
3927423,63780712689225,-13.3518,2.775979,-0.6476032,-0.05628385,0.9982323,-0.01840428,0.005067382,0.02860863,0.002293366,-0.02595389,0.08981323,0.02490234,0.995636,0.03163188,0.002371445,-0.02595113,0.03163188,0.002371445,-0.02595113,0.09179688,0.02534485,0.9954529,0.09179688,0.02534485,0.9954529,2.9487,2.9487,True,True,True
