UnityTS,LabID,ParticipantID,TrialID,Room,Instruction,Duration,Question,Answer
63780708692697,HfG,8,1,Version1BankTestbedMesh,hfgLean,60,waitEstimation,45
63780708703048,HfG,8,1,Version1BankTestbedMesh,hfgLean,60,timePass,63
63780708709934,HfG,8,1,Version1BankTestbedMesh,hfgLean,60,comfort,43
63780708726628,HfG,8,1,Version1BankTestbedMesh,hfgLean,60,relax,61
63780708740795,HfG,8,1,Version1BankTestbedMesh,hfgLean,60,tired,59
63780708748940,HfG,8,1,Version1BankTestbedMesh,hfgLean,60,valence,3
63780708755216,HfG,8,1,Version1BankTestbedMesh,hfgLean,60,arousal,1
63780708764789,HfG,8,1,Version1BankTestbedMesh,hfgLean,60,thinkPast,3
63780708768765,HfG,8,1,Version1BankTestbedMesh,hfgLean,60,thinkPresent,50
63780708776118,HfG,8,1,Version1BankTestbedMesh,hfgLean,60,thinkFuture,72
63780708782682,HfG,8,1,Version1BankTestbedMesh,hfgLean,60,experienceBody,71
63780708795587,HfG,8,1,Version1BankTestbedMesh,hfgLean,60,experienceSpace,77
63780708803285,HfG,8,1,Version1BankTestbedMesh,hfgLean,60,thinkTime,79
