OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
4057561,63780708617092,None,None,None
4057569,63780708617104,None,None,None
4057586,63780708617115,None,None,None
4057594,63780708617126,None,None,None
4057603,63780708617137,None,None,None
4057619,63780708617148,None,None,None
4057628,63780708617159,None,None,None
4057636,63780708617170,None,None,None
4057652,63780708617181,None,None,None
4057661,63780708617193,None,None,None
4057669,63780708617204,None,None,None
4057686,63780708617215,None,None,None
4057694,63780708617227,None,None,None
4057702,63780708617237,None,None,None
4057719,63780708617248,None,None,None
4057727,63780708617259,None,None,None
4057736,63780708617270,None,None,None
4057752,63780708617281,None,None,None
4057761,63780708617292,None,None,None
4057769,63780708617304,None,None,None
4057786,63780708617315,None,None,None
4057794,63780708617326,None,None,None
4057802,63780708617337,None,None,None
4057819,63780708617348,None,None,None
4057827,63780708617359,None,None,None
4057836,63780708617370,None,None,None
4057852,63780708617382,None,None,None
4057861,63780708617392,None,None,None
4057869,63780708617403,None,None,None
4057886,63780708617415,None,None,None
4057894,63780708617426,None,None,None
4057902,63780708617437,None,None,None
4057919,63780708617448,None,None,None
4057927,63780708617459,None,None,None
4057936,63780708617470,None,None,None
4057952,63780708617481,None,None,None
4057961,63780708617492,None,None,None
4057969,63780708617503,None,None,None
4057986,63780708617514,None,None,None
4057994,63780708617525,None,None,None
4058002,63780708617537,None,None,None
4058019,63780708617548,None,None,None
4058027,63780708617559,None,None,None
4058044,63780708617570,None,None,None
4058052,63780708617581,None,None,None
4058061,63780708617592,None,None,None
4058069,63780708617604,None,None,None
4058086,63780708617615,None,None,None
4058094,63780708617626,None,None,None
4058102,63780708617637,None,None,None
4058119,63780708617648,None,None,None
4058127,63780708617659,None,None,None
4058136,63780708617670,None,None,None
4058152,63780708617681,None,None,None
4058161,63780708617693,None,None,None
4058177,63780708617703,None,None,None
4058186,63780708617714,None,None,None
4058194,63780708617726,None,None,None
4058202,63780708617736,None,None,None
4058219,63780708617748,None,None,None
4058227,63780708617759,None,None,None
4058236,63780708617770,None,None,None
4058252,63780708617781,None,None,None
4058261,63780708617792,None,None,None
4058269,63780708617803,None,None,None
4058286,63780708617814,None,None,None
4058294,63780708617825,None,None,None
4058302,63780708617837,None,None,None
4058319,63780708617848,None,None,None
4058327,63780708617859,None,None,None
4058336,63780708617870,None,None,None
4058352,63780708617881,None,None,None
4058361,63780708617892,None,None,None
4058369,63780708617903,None,None,None
4058386,63780708617914,None,None,None
4058394,63780708617925,None,None,None
4058402,63780708617937,None,None,None
4058419,63780708617947,None,None,None
4058427,63780708617959,None,None,None
4058436,63780708617970,None,None,None
4058452,63780708617981,None,None,None
4058461,63780708617992,None,None,None
4058477,63780708618004,None,None,None
4058486,63780708618014,None,None,None
4058494,63780708618025,None,None,None
4058511,63780708618037,None,None,None
4058519,63780708618047,None,None,None
4058527,63780708618059,None,None,None
4058536,63780708618070,None,None,None
4058552,63780708618081,None,None,None
4058561,63780708618092,None,None,None
4058569,63780708618103,None,None,None
4058586,63780708618114,None,None,None
4058594,63780708618125,None,None,None
4058602,63780708618136,None,None,None
4058611,63780708618147,None,None,None
4058627,63780708618159,None,None,None
4058636,63780708618170,None,None,None
4058652,63780708618180,None,None,None
4058661,63780708618192,None,None,None
