OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
165607,63780713315110,None,None,None
165615,63780713315122,None,None,None
165632,63780713315132,None,None,None
165640,63780713315143,None,None,None
165648,63780713315154,None,None,None
165665,63780713315165,None,None,None
165673,63780713315176,None,None,None
165682,63780713315187,None,None,None
165698,63780713315199,None,None,None
165707,63780713315209,None,None,None
165715,63780713315221,None,None,None
165732,63780713315232,None,None,None
165740,63780713315242,None,None,None
165748,63780713315254,None,None,None
165765,63780713315265,None,None,None
165773,63780713315276,None,None,None
165782,63780713315287,None,None,None
165798,63780713315299,None,None,None
165807,63780713315309,None,None,None
165815,63780713315320,None,None,None
165832,63780713315332,None,None,None
165840,63780713315342,None,None,None
165848,63780713315354,None,None,None
165865,63780713315365,None,None,None
165873,63780713315376,None,None,None
165882,63780713315387,None,None,None
165898,63780713315398,None,None,None
165907,63780713315409,None,None,None
165915,63780713315420,None,None,None
165932,63780713315431,None,None,None
165940,63780713315442,None,None,None
165948,63780713315454,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
165965,63780713315465,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
165973,63780713315476,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
165982,63780713315487,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
165998,63780713315498,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166007,63780713315510,99_Bahnsteig_PF,None,None
166015,63780713315520,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166032,63780713315531,None,99_Bahnsteig_PF,99_Bahnsteig_PF
166040,63780713315542,None,99_Bahnsteig_PF,99_Bahnsteig_PF
166048,63780713315553,None,99_Bahnsteig_PF,99_Bahnsteig_PF
166065,63780713315564,None,99_Bahnsteig_PF,99_Bahnsteig_PF
166073,63780713315575,None,99_Bahnsteig_PF,99_Bahnsteig_PF
166082,63780713315587,None,99_Bahnsteig_PF,99_Bahnsteig_PF
166098,63780713315598,99_Bahnsteig_PF,None,None
166107,63780713315609,None,None,None
166115,63780713315620,None,99_Bahnsteig_PF,99_Bahnsteig_PF
166132,63780713315631,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166140,63780713315642,None,99_Bahnsteig_PF,99_Bahnsteig_PF
166148,63780713315653,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166165,63780713315665,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166173,63780713315675,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166182,63780713315687,None,99_Bahnsteig_PF,99_Bahnsteig_PF
166198,63780713315698,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166206,63780713315709,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166215,63780713315720,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166231,63780713315731,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166240,63780713315742,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166248,63780713315754,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166265,63780713315764,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166273,63780713315775,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166281,63780713315787,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166298,63780713315798,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166306,63780713315810,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166315,63780713315820,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166331,63780713315831,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166340,63780713315842,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166348,63780713315853,None,99_Bahnsteig_PF,99_Bahnsteig_PF
166365,63780713315864,None,None,None
166373,63780713315875,None,None,None
166381,63780713315886,None,None,None
166398,63780713315898,None,None,None
166406,63780713315909,None,None,None
166415,63780713315920,None,None,None
166431,63780713315931,None,None,None
166440,63780713315942,None,None,None
166448,63780713315953,None,99_Bahnsteig_PF,None
166465,63780713315964,None,None,None
166473,63780713315976,None,99_Bahnsteig_PF,None
166481,63780713315986,None,99_Bahnsteig_PF,None
166498,63780713315998,None,None,None
166506,63780713316009,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166515,63780713316020,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166531,63780713316031,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166540,63780713316042,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166548,63780713316053,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166565,63780713316064,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166573,63780713316075,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166590,63780713316087,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166598,63780713316098,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166606,63780713316109,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166615,63780713316120,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166631,63780713316131,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166640,63780713316142,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166648,63780713316154,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166665,63780713316164,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166673,63780713316175,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166681,63780713316186,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166698,63780713316198,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166706,63780713316209,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166715,63780713316220,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166731,63780713316231,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166740,63780713316242,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166748,63780713316253,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166765,63780713316264,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166773,63780713316275,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166781,63780713316287,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166798,63780713316297,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166806,63780713316309,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166815,63780713316320,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166831,63780713316331,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166840,63780713316342,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166848,63780713316353,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166865,63780713316364,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166873,63780713316376,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
166881,63780713316387,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
