OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
772075,63780713921580,None,None,None
772075,63780713921586,None,None,None
772083,63780713921591,None,None,None
772083,63780713921595,None,None,None
772100,63780713921603,None,None,None
772108,63780713921615,None,None,None
772117,63780713921626,None,None,None
772133,63780713921637,None,None,None
772142,63780713921648,None,None,None
772150,63780713921659,None,None,None
772167,63780713921670,None,None,None
772175,63780713921681,None,None,None
772183,63780713921693,None,None,None
772200,63780713921704,None,None,None
772208,63780713921715,None,None,None
772217,63780713921725,None,None,None
772233,63780713921737,None,None,None
772242,63780713921748,None,None,None
772250,63780713921759,None,None,None
772267,63780713921770,None,None,None
772275,63780713921782,None,None,None
772283,63780713921792,None,None,None
772300,63780713921804,None,None,None
772308,63780713921815,None,None,None
772317,63780713921825,None,None,None
772325,63780713921837,None,None,None
772342,63780713921848,None,None,None
772350,63780713921861,None,None,None
772367,63780713921870,None,None,None
772375,63780713921881,None,None,None
772383,63780713921893,None,None,None
772400,63780713921903,None,None,None
772408,63780713921914,None,None,None
772417,63780713921926,None,None,None
772433,63780713921937,None,None,None
772442,63780713921948,None,None,None
772450,63780713921959,None,None,None
772467,63780713921970,None,None,None
772475,63780713921982,None,None,None
772483,63780713921992,None,None,None
772500,63780713922004,None,None,None
772508,63780713922015,None,None,None
772517,63780713922026,None,None,None
772533,63780713922037,None,None,None
772542,63780713922049,None,None,None
772550,63780713922059,None,None,None
772567,63780713922070,None,None,None
772575,63780713922081,None,None,None
772583,63780713922092,None,None,None
772600,63780713922103,None,None,None
772608,63780713922115,None,None,None
772617,63780713922126,None,None,None
772633,63780713922137,None,None,None
772642,63780713922148,None,None,None
772650,63780713922159,None,None,None
772658,63780713922170,None,None,None
772675,63780713922181,None,None,None
772683,63780713922192,None,None,None
772700,63780713922203,None,None,None
772708,63780713922214,None,None,None
772717,63780713922226,None,None,None
772733,63780713922237,None,None,None
772742,63780713922248,None,None,None
772750,63780713922259,None,None,None
772767,63780713922270,None,None,None
772775,63780713922281,None,None,None
772792,63780713922297,None,None,None
772800,63780713922308,None,None,None
772808,63780713922319,None,None,None
772825,63780713922331,None,None,None
772833,63780713922341,None,None,None
772841,63780713922353,None,None,None
772858,63780713922364,None,None,None
772866,63780713922375,None,None,None
772875,63780713922386,None,None,None
772891,63780713922397,None,None,None
772900,63780713922408,None,None,None
772908,63780713922419,None,None,None
772925,63780713922430,None,None,None
772933,63780713922441,None,None,None
772941,63780713922453,None,None,None
772958,63780713922464,None,None,None
772966,63780713922475,None,None,None
772975,63780713922486,None,None,None
772991,63780713922498,None,None,None
773000,63780713922509,None,None,None
773016,63780713922520,None,None,None
773025,63780713922531,None,None,None
773033,63780713922542,None,None,None
773041,63780713922553,None,None,None
773058,63780713922564,None,None,None
773066,63780713922575,None,None,None
773075,63780713922586,None,None,None
773091,63780713922597,None,None,None
773100,63780713922609,None,None,None
773116,63780713922620,None,None,None
773125,63780713922631,None,None,None
773133,63780713922642,None,None,None
773141,63780713922653,None,None,None
773158,63780713922664,None,None,None
773166,63780713922675,None,None,None
773175,63780713922686,None,None,None
773191,63780713922697,None,None,None
773200,63780713922709,None,None,None
773208,63780713922719,None,None,None
773225,63780713922731,None,None,None
773233,63780713922742,None,None,None
773241,63780713922752,None,None,None
773258,63780713922763,None,None,None
773266,63780713922775,None,None,None
773275,63780713922786,None,None,None
773291,63780713922797,None,None,None
773300,63780713922808,None,None,None
773316,63780713922820,None,None,None
773325,63780713922831,None,None,None
773333,63780713922841,None,None,None
773350,63780713922853,None,None,None
773358,63780713922865,None,None,None
773366,63780713922876,None,None,None
773383,63780713922886,None,None,None
773391,63780713922898,None,None,None
773400,63780713922908,None,None,None
773408,63780713922919,None,None,None
773425,63780713922931,None,None,None
773433,63780713922942,None,None,None
773450,63780713922953,None,None,None
773458,63780713922964,None,None,None
773466,63780713922975,None,None,None
773483,63780713922987,None,None,None
773491,63780713922997,None,None,None
773500,63780713923008,None,None,None
773508,63780713923019,None,None,None
773525,63780713923031,None,None,None
773533,63780713923041,None,None,None
773541,63780713923053,None,None,None
773558,63780713923065,None,None,None
773566,63780713923075,None,None,None
773583,63780713923086,None,None,None
773591,63780713923097,None,None,None
773600,63780713923108,None,None,None
773608,63780713923119,None,None,None
773625,63780713923130,None,None,None
773633,63780713923142,None,None,None
773641,63780713923152,None,None,None
773658,63780713923164,None,None,None
773666,63780713923175,None,None,None
773683,63780713923186,None,None,None
773691,63780713923197,None,None,None
773700,63780713923208,None,None,None
773708,63780713923219,None,None,None
773725,63780713923231,None,None,None
773733,63780713923241,None,None,None
773741,63780713923252,None,None,None
773758,63780713923264,None,None,None
773766,63780713923275,None,None,None
773783,63780713923286,None,None,None
773791,63780713923298,None,None,None
773800,63780713923308,None,None,None
773808,63780713923319,None,None,None
773825,63780713923330,None,None,None
773833,63780713923341,None,None,None
773841,63780713923352,None,None,None
773858,63780713923363,None,None,None
773866,63780713923375,None,None,None
773875,63780713923386,None,None,None
773891,63780713923397,None,None,None
773900,63780713923408,None,None,None
773908,63780713923419,None,None,None
773925,63780713923430,None,None,None
773933,63780713923441,None,None,None
773950,63780713923453,None,None,None
773958,63780713923463,None,None,None
773966,63780713923474,None,None,None
773983,63780713923486,None,None,None
773991,63780713923497,None,None,None
774000,63780713923508,None,None,None
774016,63780713923519,None,None,None
774025,63780713923530,None,None,None
774033,63780713923541,None,None,None
774041,63780713923552,None,None,None
774058,63780713923563,None,None,None
774066,63780713923574,None,None,None
774075,63780713923585,None,None,None
