OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
4290210,63780708677091,-13.32487,2.639818,-0.131281,0.09806234,0.9943116,0.0006877918,-0.04156676,0.003854462,0.0031082,-0.02528179,0.01748657,-0.1810913,0.9833069,0.03073847,0.003600403,-0.02444855,0.03073847,0.003600403,-0.02444855,0.04164124,-0.1781311,0.9831085,0.04164124,-0.1781311,0.9831085,2.909302,2.909302,True,True,True
4290219,63780708677091,-13.32487,2.639818,-0.131281,0.09806234,0.9943116,0.0006877918,-0.04156676,0.004202591,0.003113922,-0.02527095,0.01774597,-0.1811523,0.9832916,0.03073847,0.003600159,-0.02444855,0.03073847,0.003600159,-0.02444855,0.04187012,-0.1780853,0.9831085,0.04187012,-0.1780853,0.9831085,2.909195,2.909195,True,True,True
4290227,63780708677091,-13.32487,2.639818,-0.131281,0.09806234,0.9943116,0.0006877918,-0.04156676,0.004178741,0.003112976,-0.02527387,0.01799011,-0.181778,0.9831696,0.03073824,0.003599533,-0.02445455,0.03073824,0.003599533,-0.02445455,0.0418396,-0.1777039,0.9831848,0.0418396,-0.1777039,0.9831848,2.911224,2.911224,True,True,True
4290235,63780708677091,-13.32487,2.639818,-0.131281,0.09806234,0.9943116,0.0006877918,-0.04156676,0.003718948,0.003102356,-0.02528912,0.0176239,-0.1816254,0.9832001,0.03073729,0.003597092,-0.02445773,0.03073729,0.003597092,-0.02445773,0.04141235,-0.1773682,0.9832611,0.04141235,-0.1773682,0.9832611,2.91098,2.91098,True,True,True
4290244,63780708677091,-13.32487,2.639818,-0.131281,0.09806234,0.9943116,0.0006877918,-0.04156676,0.003153076,0.003083908,-0.02529404,0.0171814,-0.181778,0.9831848,0.03073702,0.003595841,-0.02445868,0.03073702,0.003595841,-0.02445868,0.04156494,-0.1775208,0.9832306,0.04156494,-0.1775208,0.9832306,2.909241,2.909241,True,True,True
4290252,63780708677091,-13.32487,2.639818,-0.131281,0.09806234,0.9943116,0.0006877918,-0.04156676,0.002981018,0.003079056,-0.02529543,0.01699829,-0.1818237,0.9831696,0.03073644,0.003594132,-0.02446048,0.03073644,0.003594132,-0.02446048,0.04144287,-0.1772919,0.9832764,0.04144287,-0.1772919,0.9832764,2.909073,2.909073,True,True,True
4290260,63780708677091,-13.32487,2.639818,-0.131281,0.09806234,0.9943116,0.0006877918,-0.04156676,0.003924652,0.003091568,-0.02526174,0.01806641,-0.1814423,0.9832306,0.03073616,0.003594086,-0.02446617,0.03073616,0.003594086,-0.02446617,0.04193115,-0.1772919,0.9832611,0.04193115,-0.1772919,0.9832611,2.90892,2.90892,True,True,True
4290269,63780708677091,-13.32487,2.639818,-0.131281,0.09806234,0.9943116,0.0006877918,-0.04156676,0.004642746,0.00310112,-0.02524027,0.01876831,-0.1815643,0.9831848,0.03073462,0.003589874,-0.02446617,0.03073462,0.003589874,-0.02446617,0.04151917,-0.1776428,0.9832153,0.04151917,-0.1776428,0.9832153,2.895935,2.895935,True,True,True
4290277,63780708677091,-13.32487,2.639818,-0.131281,0.09806234,0.9943116,0.0006877918,-0.04156676,0.005225525,0.003108216,-0.02521831,0.02020264,-0.181427,0.9831848,0.03073319,0.003588883,-0.02446617,0.03073319,0.003588883,-0.02446617,0.04165649,-0.1775055,0.9832306,0.04165649,-0.1775055,0.9832306,2.896072,2.896072,True,True,True
4290285,63780708677091,-13.32487,2.639818,-0.131281,0.09806234,0.9943116,0.0006877918,-0.04156676,0.005450821,0.003110123,-0.02521083,0.02026367,-0.1823425,0.983017,0.03073137,0.003588303,-0.02446617,0.03073137,0.003588303,-0.02446617,0.04142761,-0.1790619,0.9829559,0.04142761,-0.1790619,0.9829559,2.910706,2.910706,True,True,True
4290294,63780708677091,-13.32487,2.639818,-0.131281,0.09806234,0.9943116,0.0006877918,-0.04156676,0.005383774,0.003103043,-0.02521106,0.02018738,-0.1813812,0.9832001,0.03072936,0.00357843,-0.02446617,0.03072936,0.00357843,-0.02446617,0.04084778,-0.1772766,0.9833069,0.04084778,-0.1772766,0.9833069,2.892899,2.892899,True,True,True
4290302,63780708677091,-13.32487,2.639818,-0.131281,0.09806234,0.9943116,0.0006877918,-0.04156676,0.005323609,0.003093048,-0.02520538,0.02030945,-0.1817169,0.9831238,0.03072898,0.003570816,-0.02446617,0.03072898,0.003570816,-0.02446617,0.04093933,-0.1777191,0.9832153,0.04093933,-0.1777191,0.9832153,2.910522,2.910522,True,True,True
4290310,63780708677091,-13.32487,2.639818,-0.131281,0.09806234,0.9943116,0.0006877918,-0.04156676,0.004721878,0.003078034,-0.02521851,0.02015686,-0.1821136,0.9830627,0.03072748,0.003570481,-0.02446617,0.03072748,0.003570481,-0.02446617,0.04164124,-0.1782532,0.9830933,0.04164124,-0.1782532,0.9830933,2.940613,2.940613,True,True,True
