OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
24054,63780708878553,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24062,63780708878564,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24079,63780708878575,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24087,63780708878587,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24095,63780708878598,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24112,63780708878609,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24120,63780708878620,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24129,63780708878632,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24145,63780708878642,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24154,63780708878653,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24162,63780708878664,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24179,63780708878675,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24187,63780708878687,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24195,63780708878698,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24212,63780708878709,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24220,63780708878720,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24229,63780708878731,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24245,63780708878742,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24254,63780708878753,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24262,63780708878764,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24270,63780708878775,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24287,63780708878786,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24295,63780708878797,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24303,63780708878808,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24320,63780708878820,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24328,63780708878831,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24337,63780708878842,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
24353,63780708878853,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
