OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
281148,63780708998551,-13.51141,2.783942,-0.2728605,0.07372515,0.9859558,0.0498616,-0.1413144,-0.002558395,0.003230408,-0.02613246,-0.02905273,-0.1400757,0.9897003,0.03098641,0.003927872,-0.02521422,0.03098641,0.003927872,-0.02521422,-0.002883911,-0.1403503,0.9900818,-0.002883911,-0.1403503,0.9900818,2.63942,2.63942,True,True,True
281156,63780708998551,-13.51141,2.783942,-0.2728605,0.07372515,0.9859558,0.0498616,-0.1413144,-0.002547852,0.003229599,-0.0261315,-0.02903748,-0.1394196,0.9897919,0.03098607,0.003928024,-0.02521454,0.03098607,0.003928024,-0.02521454,-0.002639771,-0.1403503,0.990097,-0.002639771,-0.1403503,0.990097,2.642914,2.642914,True,True,True
281164,63780708998551,-13.51141,2.783942,-0.2728605,0.07372515,0.9859558,0.0498616,-0.1413144,-0.002499466,0.003232102,-0.02613242,-0.02897644,-0.1395721,0.9897766,0.0309839,0.003928803,-0.02521781,0.0309839,0.003928803,-0.02521781,-0.002929688,-0.1402893,0.990097,-0.002929688,-0.1402893,0.990097,2.642883,2.642883,True,True,True
281173,63780708998551,-13.51141,2.783942,-0.2728605,0.07372515,0.9859558,0.0498616,-0.1413144,-0.002549851,0.003232864,-0.02613905,-0.02885437,-0.1394501,0.9898071,0.03098249,0.00393274,-0.02522948,0.03098249,0.00393274,-0.02522948,-0.002243042,-0.1404114,0.9900818,-0.002243042,-0.1404114,0.9900818,2.66304,2.66304,True,True,True
281181,63780708998551,-13.51141,2.783942,-0.2728605,0.07372515,0.9859558,0.0498616,-0.1413144,-0.002680374,0.003229065,-0.02614342,-0.02915955,-0.1381378,0.989975,0.0309823,0.003932801,-0.02523311,0.0309823,0.003932801,-0.02523311,-0.002090454,-0.1391602,0.9902649,-0.002090454,-0.1391602,0.9902649,2.663132,2.663132,True,True,True
281189,63780708998551,-13.51141,2.783942,-0.2728605,0.07372515,0.9859558,0.0498616,-0.1413144,-0.002908035,0.003225235,-0.02614969,-0.02891541,-0.1382751,0.9899597,0.03097981,0.003934815,-0.02523346,0.03097981,0.003934815,-0.02523346,-0.002563477,-0.1394348,0.9902191,-0.002563477,-0.1394348,0.9902191,2.6707,2.6707,True,True,True
281198,63780708998551,-13.51141,2.783942,-0.2728605,0.07372515,0.9859558,0.0498616,-0.1413144,-0.003030487,0.003222946,-0.02615109,-0.02876282,-0.1384125,0.9899445,0.03097937,0.00393541,-0.02523677,0.03097937,0.00393541,-0.02523677,-0.002380371,-0.1393585,0.9902344,-0.002380371,-0.1393585,0.9902344,2.67569,2.67569,True,True,True
281206,63780708998551,-13.51141,2.783942,-0.2728605,0.07372515,0.9859558,0.0498616,-0.1413144,0.02894518,0.003886612,-0.02526497,-0.004394531,-0.1395111,0.9902039,0.03097856,0.003936737,-0.02523825,0.03097856,0.003936737,-0.02523825,-0.002502441,-0.1396332,0.9901886,-0.002502441,-0.1396332,0.9901886,2.674454,2.674454,True,True,True
281214,63780708998551,-13.51141,2.783942,-0.2728605,0.07372515,0.9859558,0.0498616,-0.1413144,0.02894609,0.003894837,-0.02529367,-0.004577637,-0.1395569,0.9901886,0.03097589,0.003937348,-0.02523918,0.03097589,0.003937348,-0.02523918,-0.003036499,-0.1396027,0.9901886,-0.003036499,-0.1396027,0.9901886,2.678268,2.678268,True,True,True
281223,63780708998551,-13.51141,2.783942,-0.2728605,0.07372515,0.9859558,0.0498616,-0.1413144,0.03092798,0.0039366,-0.02524263,-0.002807617,-0.1390228,0.9902802,0.03097589,0.00393779,-0.02524201,0.03097589,0.00393779,-0.02524201,-0.002761841,-0.1390228,0.9902802,-0.002761841,-0.1390228,0.9902802,2.678177,2.678177,True,True,True
281231,63780708998551,-13.51141,2.783942,-0.2728605,0.07372515,0.9859558,0.0498616,-0.1413144,0.03092827,0.003939804,-0.02524401,-0.002807617,-0.1388855,0.9902954,0.03097589,0.003940811,-0.02524272,0.03097589,0.003940811,-0.02524272,-0.002761841,-0.1389008,0.9902954,-0.002761841,-0.1389008,0.9902954,2.678177,2.678177,True,True,True
281239,63780708998551,-13.51141,2.783942,-0.2728605,0.07372515,0.9859558,0.0498616,-0.1413144,0.03092868,0.003940842,-0.02524399,-0.002182007,-0.1390991,0.9902649,0.03097589,0.003941834,-0.02524272,0.03097589,0.003941834,-0.02524272,-0.002151489,-0.1390991,0.9902649,-0.002151489,-0.1390991,0.9902649,2.674042,2.674042,True,True,True
