OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
283047,63780709137549,None,None,None
283056,63780709137555,None,None,None
283056,63780709137560,None,None,None
283064,63780709137566,None,None,None
283072,63780709137577,None,None,None
283089,63780709137588,None,None,None
283097,63780709137599,None,None,None
283106,63780709137610,None,None,None
283122,63780709137622,None,None,None
283131,63780709137633,None,None,None
283139,63780709137644,None,None,None
283156,63780709137655,None,None,None
283164,63780709137666,None,None,None
283172,63780709137677,None,None,None
283197,63780709137700,None,None,None
283206,63780709137710,None,None,None
283222,63780709137722,None,None,None
283231,63780709137733,None,None,None
283239,63780709137744,None,None,None
283256,63780709137755,None,None,None
283264,63780709137766,None,None,None
283272,63780709137777,None,None,None
283289,63780709137788,None,None,None
283297,63780709137799,None,None,None
283306,63780709137810,None,None,None
283322,63780709137821,None,None,None
283331,63780709137833,None,None,None
283339,63780709137844,None,None,None
283356,63780709137855,None,None,None
283364,63780709137866,None,None,None
283372,63780709137877,None,None,None
283389,63780709137888,None,None,None
283397,63780709137899,None,None,None
283406,63780709137911,None,None,None
283422,63780709137921,None,None,None
283431,63780709137933,None,None,None
283439,63780709137944,None,None,None
283456,63780709137955,None,None,None
283464,63780709137966,None,None,None
283472,63780709137977,None,None,None
283489,63780709137989,None,None,None
283497,63780709137999,None,None,None
283505,63780709138010,None,None,None
283522,63780709138021,None,None,None
283530,63780709138033,None,None,None
283539,63780709138044,None,None,None
283547,63780709138055,None,None,None
283564,63780709138066,None,None,None
283572,63780709138077,None,None,None
283580,63780709138088,None,None,None
283597,63780709138099,None,None,None
283605,63780709138111,None,None,None
283614,63780709138122,None,None,None
283630,63780709138133,None,None,None
283639,63780709138144,None,None,None
283647,63780709138154,None,None,None
283664,63780709138166,None,None,None
283672,63780709138177,None,None,None
283680,63780709138188,None,None,None
283697,63780709138199,None,None,None
283705,63780709138210,None,None,None
283714,63780709138221,None,None,None
283730,63780709138233,None,None,None
283739,63780709138244,None,None,None
283755,63780709138255,None,None,None
283764,63780709138270,None,None,None
283780,63780709138281,None,None,None
283789,63780709138292,None,None,None
283797,63780709138304,None,None,None
283814,63780709138315,None,None,None
283822,63780709138327,None,None,None
283830,63780709138337,None,None,None
283847,63780709138349,None,None,None
283855,63780709138360,None,None,None
283864,63780709138371,None,None,None
283880,63780709138382,None,None,None
283889,63780709138393,None,None,None
283897,63780709138404,None,None,None
283914,63780709138415,None,None,None
283922,63780709138426,None,None,None
283930,63780709138437,None,None,None
283947,63780709138449,None,None,None
283955,63780709138460,None,None,None
283964,63780709138471,None,None,None
283980,63780709138482,None,None,None
283989,63780709138493,None,None,None
283997,63780709138504,None,None,None
284014,63780709138515,None,None,None
284022,63780709138526,None,None,None
284030,63780709138537,None,None,None
284047,63780709138548,None,None,None
284055,63780709138559,None,None,None
284064,63780709138571,None,None,None
284080,63780709138582,None,None,None
284089,63780709138593,None,None,None
284097,63780709138604,None,None,None
284114,63780709138615,None,None,None
284122,63780709138626,None,None,None
284130,63780709138638,None,None,None
284147,63780709138649,None,None,None
284155,63780709138660,None,None,None
284164,63780709138670,None,None,None
284180,63780709138681,None,None,None
284189,63780709138693,None,None,None
284197,63780709138704,None,None,None
284214,63780709138715,None,None,None
284222,63780709138726,None,None,None
284230,63780709138737,None,None,None
284247,63780709138748,None,None,None
284255,63780709138759,None,None,None
284264,63780709138771,None,None,None
284280,63780709138782,None,None,None
284289,63780709138793,None,None,None
284297,63780709138804,None,None,None
284314,63780709138815,None,None,None
284322,63780709138826,None,None,None
284330,63780709138837,None,None,None
284347,63780709138848,None,None,None
284355,63780709138859,None,None,None
284364,63780709138870,None,None,None
284380,63780709138881,None,None,None
284389,63780709138892,None,None,None
284397,63780709138904,None,None,None
284414,63780709138915,None,None,None
284422,63780709138926,None,None,None
284430,63780709138937,None,None,None
284447,63780709138949,None,None,None
284455,63780709138959,None,None,None
284464,63780709138970,None,None,None
284480,63780709138981,None,None,None
284489,63780709138993,None,None,None
284497,63780709139004,None,None,None
284514,63780709139015,None,None,None
284522,63780709139026,None,None,None
284530,63780709139037,None,None,None
284547,63780709139048,None,None,None
284555,63780709139059,None,None,None
284564,63780709139070,None,None,None
284580,63780709139082,None,None,None
284589,63780709139092,None,None,None
284597,63780709139104,None,None,None
284614,63780709139115,None,None,None
284622,63780709139126,None,None,None
284630,63780709139137,None,None,None
284647,63780709139148,None,None,None
284655,63780709139159,None,None,None
284664,63780709139171,None,None,None
284680,63780709139181,None,None,None
284689,63780709139192,None,None,None
284697,63780709139203,None,None,None
284714,63780709139215,None,None,None
284722,63780709139226,None,None,None
284730,63780709139237,None,None,None
284747,63780709139248,None,None,None
284755,63780709139259,None,None,None
284764,63780709139270,None,None,None
284780,63780709139281,None,None,None
284789,63780709139292,None,None,None
284797,63780709139304,None,None,None
284814,63780709139315,None,None,None
284822,63780709139326,None,None,None
284830,63780709139337,None,None,None
284847,63780709139348,None,None,None
284855,63780709139359,None,None,None
284864,63780709139370,None,None,None
284880,63780709139381,None,None,None
284889,63780709139392,None,None,None
284897,63780709139403,None,None,None
284914,63780709139415,None,None,None
284922,63780709139425,None,None,None
284930,63780709139437,None,None,None
284947,63780709139448,None,None,None
284955,63780709139459,None,None,None
284964,63780709139470,None,None,None
284980,63780709139481,None,None,None
284989,63780709139492,None,None,None
284997,63780709139503,None,None,None
285013,63780709139515,None,None,None
285022,63780709139526,None,None,None
285030,63780709139537,None,None,None
285047,63780709139548,None,None,None
