OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
540400,63780709394905,None,None,None
540408,63780709394912,None,None,None
540408,63780709394916,None,None,None
540416,63780709394920,None,None,None
540425,63780709394929,None,None,None
540433,63780709394940,None,None,None
540441,63780709394951,None,None,None
540458,63780709394962,None,None,None
540466,63780709394973,None,None,None
540483,63780709394985,None,None,None
540491,63780709394995,None,None,None
540500,63780709395006,None,None,None
540508,63780709395018,None,None,None
540525,63780709395029,None,None,None
540533,63780709395040,None,None,None
540541,63780709395051,None,None,None
540558,63780709395063,None,None,None
540566,63780709395073,None,None,None
540575,63780709395084,None,None,None
540591,63780709395095,None,None,None
540600,63780709395107,None,None,None
540616,63780709395117,None,None,None
540625,63780709395129,None,None,None
540633,63780709395140,None,None,None
540650,63780709395151,None,None,None
540658,63780709395162,None,None,None
540666,63780709395173,None,None,None
540675,63780709395184,None,None,None
540691,63780709395195,None,None,None
540700,63780709395207,None,None,None
540716,63780709395218,None,None,None
540725,63780709395228,None,None,None
540733,63780709395239,None,None,None
540750,63780709395251,None,None,None
540758,63780709395262,None,None,None
540766,63780709395273,None,None,None
540783,63780709395284,None,None,None
540791,63780709395295,None,None,None
540800,63780709395306,None,None,None
540816,63780709395318,None,None,None
540825,63780709395328,None,None,None
540833,63780709395339,None,None,None
540841,63780709395351,None,None,None
540858,63780709395362,None,None,None
540866,63780709395373,None,None,None
540875,63780709395384,None,None,None
540891,63780709395395,None,None,None
540900,63780709395406,None,None,None
540916,63780709395418,None,None,None
540925,63780709395428,None,None,None
540933,63780709395439,None,None,None
540950,63780709395451,None,None,None
540958,63780709395461,None,None,None
540966,63780709395473,None,None,None
540983,63780709395484,None,None,None
540991,63780709395495,None,None,None
541000,63780709395506,None,None,None
541008,63780709395517,None,None,None
541025,63780709395529,None,None,None
541033,63780709395540,None,None,None
541050,63780709395551,None,None,None
541058,63780709395562,None,None,None
541066,63780709395573,None,None,None
541083,63780709395584,None,None,None
541091,63780709395595,None,None,None
541100,63780709395606,None,None,None
541116,63780709395622,None,None,None
541125,63780709395633,None,None,None
541141,63780709395645,None,None,None
541150,63780709395655,None,None,None
541158,63780709395667,None,None,None
541175,63780709395678,None,None,None
541183,63780709395690,None,None,None
541191,63780709395700,None,None,None
541208,63780709395711,None,None,None
541216,63780709395722,None,None,None
541225,63780709395733,None,None,None
541241,63780709395744,None,None,None
541250,63780709395756,None,None,None
541258,63780709395767,None,None,None
541275,63780709395778,None,None,None
541283,63780709395789,None,None,None
541291,63780709395800,None,None,None
541308,63780709395811,None,None,None
541316,63780709395822,None,None,None
541325,63780709395833,None,None,None
541341,63780709395845,None,None,None
541350,63780709395855,None,None,None
541358,63780709395866,None,None,None
541375,63780709395878,None,None,None
541383,63780709395889,None,None,None
541391,63780709395900,None,None,None
541408,63780709395911,None,None,None
541416,63780709395922,None,None,None
541425,63780709395933,None,None,None
541441,63780709395944,None,None,None
541450,63780709395955,None,None,None
541458,63780709395966,None,None,None
541475,63780709395978,None,None,None
541483,63780709395988,None,None,None
541499,63780709396000,None,None,None
541508,63780709396011,None,None,None
541516,63780709396022,None,None,None
541524,63780709396033,None,None,None
541541,63780709396044,None,None,None
541549,63780709396056,None,None,None
541566,63780709396067,None,None,None
541574,63780709396078,None,None,None
541583,63780709396088,None,None,None
541599,63780709396100,None,None,None
541608,63780709396111,None,None,None
541616,63780709396122,None,None,None
541624,63780709396133,None,None,None
541641,63780709396144,None,None,None
541649,63780709396155,None,None,None
541666,63780709396167,None,None,None
541674,63780709396178,None,None,None
541683,63780709396189,None,None,None
541691,63780709396200,None,None,None
541708,63780709396211,None,None,None
541716,63780709396222,None,None,None
541724,63780709396233,None,None,None
541741,63780709396244,None,None,None
541749,63780709396255,None,None,None
541758,63780709396266,None,None,None
541774,63780709396278,None,None,None
541783,63780709396289,None,None,None
541791,63780709396299,None,None,None
541808,63780709396311,None,None,None
541816,63780709396322,None,None,None
541824,63780709396333,None,None,None
541841,63780709396345,None,None,None
541849,63780709396355,None,None,None
541858,63780709396366,None,None,None
541874,63780709396378,None,None,None
541883,63780709396388,None,None,None
541891,63780709396399,None,None,None
541908,63780709396411,None,None,None
541916,63780709396422,None,None,None
541924,63780709396433,None,None,None
541941,63780709396444,None,None,None
541949,63780709396455,None,None,None
541958,63780709396466,None,None,None
541974,63780709396477,None,None,None
541983,63780709396488,None,None,None
541991,63780709396500,None,None,None
542008,63780709396511,None,None,None
542016,63780709396522,None,None,None
542024,63780709396533,None,None,None
542041,63780709396544,None,None,None
542049,63780709396555,None,None,None
542058,63780709396566,None,None,None
542074,63780709396577,None,None,None
542083,63780709396588,None,None,None
542091,63780709396600,None,None,None
542108,63780709396611,None,None,None
542116,63780709396622,None,None,None
542124,63780709396633,None,None,None
542141,63780709396644,None,None,None
542149,63780709396655,None,None,None
542158,63780709396666,None,None,None
542174,63780709396677,None,None,None
542183,63780709396688,None,None,None
542191,63780709396699,None,None,None
542208,63780709396711,None,None,None
542216,63780709396721,None,None,None
542224,63780709396733,None,None,None
542241,63780709396744,None,None,None
542249,63780709396755,None,None,None
542258,63780709396766,None,None,None
542274,63780709396778,None,None,None
542283,63780709396789,None,None,None
542291,63780709396800,None,None,None
542308,63780709396811,None,None,None
542316,63780709396821,None,None,None
542324,63780709396833,None,None,None
542341,63780709396844,None,None,None
542349,63780709396855,None,None,None
542358,63780709396866,None,None,None
542374,63780709396877,None,None,None
542383,63780709396888,None,None,None
542391,63780709396899,None,None,None
542408,63780709396911,None,None,None
