UnityTS,LabID,ParticipantID,TrialID,Room,Instruction,Duration,Question,Answer
63780710232519,HfG,8,6,Version2BankTestbedWood,hfgSit,105,waitEstimation,100
63780710236984,HfG,8,6,Version2BankTestbedWood,hfgSit,105,timePass,46
63780710241394,HfG,8,6,Version2BankTestbedWood,hfgSit,105,comfort,82
63780710250490,HfG,8,6,Version2BankTestbedWood,hfgSit,105,relax,75
63780710254588,HfG,8,6,Version2BankTestbedWood,hfgSit,105,tired,44
63780710260420,HfG,8,6,Version2BankTestbedWood,hfgSit,105,valence,3
63780710266329,HfG,8,6,Version2BankTestbedWood,hfgSit,105,arousal,1
63780710271304,HfG,8,6,Version2BankTestbedWood,hfgSit,105,thinkPast,1
63780710273837,HfG,8,6,Version2BankTestbedWood,hfgSit,105,thinkPresent,100
63780710278579,HfG,8,6,Version2BankTestbedWood,hfgSit,105,thinkFuture,1
63780710283777,HfG,8,6,Version2BankTestbedWood,hfgSit,105,experienceBody,23
63780710291452,HfG,8,6,Version2BankTestbedWood,hfgSit,105,experienceSpace,63
63780710295890,HfG,8,6,Version2BankTestbedWood,hfgSit,105,thinkTime,1
