UnityTS,heart,breath,GSR
63780710084178,32512,37412,10726
63780710084180,32481,37364,10736
63780710084182,32428,37478,10716
63780710084185,32384,37517,10712
63780710084187,32320,37365,10744
63780710084198,32260,37728,10728
63780710084198,32188,37906,10720
63780710084214,32128,38162,10706
63780710084215,32074,38280,10696
63780710084218,32024,38524,10700
63780710084220,31981,38676,10714
63780710084223,31956,38832,10709
63780710084226,31922,38992,10686
63780710084233,31905,38860,10708
63780710084248,31888,38968,10704
63780710084267,31868,39160,10687
63780710084267,31858,39284,10704
63780710084267,31836,39130,10695
63780710084267,31825,39264,10690
63780710084267,31810,39250,10667
63780710084267,31800,39672,10673
63780710084267,31808,39840,10666
63780710084267,31844,39596,10660
63780710084267,31940,39632,10682
63780710084267,32092,39928,10664
63780710084268,32336,39652,10665
63780710084268,32632,39976,10657
63780710084268,32948,39968,10676
63780710084268,33248,39850,10667
63780710084268,33506,39736,10645
63780710084268,33704,39888,10641
63780710084268,33820,39646,10648
63780710084268,33856,39700,10650
63780710084268,33824,39657,10636
63780710084268,33741,39533,10657
63780710084268,33616,39516,10655
63780710084268,33466,39301,10656
63780710084268,33312,39072,10634
63780710084268,33146,38900,10626
63780710084268,32992,38832,10633
63780710084268,32850,38576,10625
63780710084268,32724,38298,10625
63780710084268,32610,38364,10604
63780710084268,32505,38108,10629
63780710084268,32432,37980,10634
63780710084268,32364,37664,10612
63780710084268,32340,37508,10607
63780710084268,32352,37258,10597
63780710084268,32390,37016,10605
63780710084268,32448,36824,10597
63780710084268,32554,36584,10595
63780710084268,32648,36206,10601
63780710084268,32780,36066,10608
63780710084268,32896,35618,10586
63780710084268,33008,35640,10578
63780710084268,33104,35185,10584
63780710084268,33188,35312,10584
63780710084268,33258,35059,10570
63780710084268,33296,34744,10568
63780710084268,33313,34550,10563
63780710084268,33312,34384,10558
63780710084268,33292,34220,10579
63780710084268,33280,33848,10559
63780710084268,33232,33960,10570
63780710084268,33180,33552,10564
63780710084268,33120,33622,10554
63780710084268,33064,33496,10550
63780710084268,33008,33384,10552
63780710084268,32932,33272,10560
63780710084268,32872,33024,10546
63780710084268,32814,33108,10546
63780710084268,32740,32944,10536
63780710084268,32692,32602,10558
63780710084268,32652,32732,10533
63780710084268,32608,32400,10532
63780710084268,32569,32224,10549
63780710084268,32536,32368,10531
63780710084269,32496,32228,10545
63780710084269,32466,32064,10529
63780710084269,32432,31970,10526
63780710084269,32414,31932,10539
63780710084276,32418,31895,10514
63780710084276,32469,31832,10537
63780710084276,32596,31728,10512
63780710084276,32797,31820,10532
63780710084276,33064,31536,10529
63780710084276,33350,31632,10507
63780710084276,33633,31643,10511
63780710084276,33876,31624,10504
63780710084276,34056,31390,10518
63780710084276,34148,31456,10504
63780710084276,34177,31304,10509
63780710084276,34136,31132,10492
63780710084276,34024,31108,10488
63780710084276,33866,31013,10507
63780710084276,33674,30936,10487
63780710084276,33477,30912,10502
63780710084276,33264,30816,10498
63780710084276,33078,30612,10480
63780710084278,32900,30693,10499
63780710084278,32736,30467,10488
63780710084278,32592,30578,10496
63780710084280,32452,30552,10495
63780710084283,32332,30521,10493
63780710084283,32241,30312,10477
63780710084285,32176,30457,10477
63780710084288,32148,30432,10465
63780710084290,32148,30369,10466
63780710084293,32172,30332,10469
63780710084295,32230,30260,10466
63780710084305,32306,30046,10477
63780710084311,32372,29992,10481
63780710084328,32452,30128,10460
63780710084331,32544,30112,10448
63780710084346,32608,30120,10450
63780710084350,32652,30064,10450
63780710084364,32682,30052,10471
63780710084374,32688,30052,10462
63780710084384,32676,29876,10464
63780710084399,32656,30040,10440
63780710084401,32620,30009,10442
63780710084429,32564,29866,10458
63780710084454,32518,29884,10452
63780710084469,32448,29962,10460
63780710084471,32381,29928,10440
63780710084474,32316,30069,10438
63780710084476,32256,30100,10435
63780710084479,32197,29986,10426
63780710084483,32140,30202,10433
63780710084498,32092,30244,10418
63780710084501,32040,30182,10436
63780710084536,32024,30190,10425
63780710084539,32005,30152,10420
63780710084541,32005,30181,10418
63780710084544,32014,29952,10422
63780710084554,32032,30050,10409
63780710084563,32040,29768,10409
63780710084578,32050,29832,10416
63780710084581,32056,29809,10405
63780710084591,32081,29760,10428
63780710084608,32116,29661,10406
63780710084611,32208,29529,10405
63780710084626,32377,29506,10414
63780710084178,32512,37412,10726
63780710084180,32481,37364,10736
63780710084182,32428,37478,10716
63780710084185,32384,37517,10712
63780710084187,32320,37365,10744
63780710084198,32260,37728,10728
63780710084198,32188,37906,10720
63780710084214,32128,38162,10706
63780710084215,32074,38280,10696
63780710084218,32024,38524,10700
63780710084220,31981,38676,10714
63780710084223,31956,38832,10709
63780710084226,31922,38992,10686
63780710084233,31905,38860,10708
63780710084248,31888,38968,10704
63780710084267,31868,39160,10687
63780710084267,31858,39284,10704
63780710084267,31836,39130,10695
63780710084267,31825,39264,10690
63780710084267,31810,39250,10667
63780710084267,31800,39672,10673
63780710084267,31808,39840,10666
63780710084267,31844,39596,10660
63780710084267,31940,39632,10682
63780710084267,32092,39928,10664
63780710084268,32336,39652,10665
63780710084268,32632,39976,10657
63780710084268,32948,39968,10676
63780710084268,33248,39850,10667
63780710084268,33506,39736,10645
63780710084268,33704,39888,10641
63780710084268,33820,39646,10648
