UnityTS,heart,breath,GSR
63780710342530,33719,33952,5982
63780710342538,33976,33732,6006
63780710342538,34172,33680,5993
63780710342538,34312,33853,5976
63780710342540,34376,33544,5982
63780710342543,34368,33714,5990
63780710342543,34300,33449,5986
63780710342545,34184,33440,6013
63780710342548,34040,33320,5973
63780710342555,33852,33486,5997
63780710342556,33678,33476,5983
63780710342573,33504,33320,6010
63780710342583,33348,33410,6001
63780710342589,33200,33324,5990
63780710342595,33064,33256,5979
63780710342611,32925,33208,6026
63780710342611,32814,32969,5979
63780710342611,32720,32970,6005
63780710342611,32640,33098,5970
63780710342611,32592,33062,5994
63780710342611,32556,32784,5980
63780710342611,32576,32733,5972
63780710342611,32608,32820,5980
63780710342611,32660,32576,5972
63780710342611,32732,32742,5988
63780710342611,32820,32632,5972
63780710342611,32905,32348,6000
63780710342612,32976,32386,5968
63780710342612,33027,32224,5999
63780710342612,33056,32176,5991
63780710342612,33072,32340,5973
63780710342612,33064,32080,5967
63780710342612,33041,32226,5968
63780710342612,32992,31978,5979
63780710342612,32939,31932,5987
63780710342612,32868,31900,5974
63780710342612,32804,32042,5968
63780710342612,32741,31914,5966
63780710342612,32688,31756,5991
63780710342612,32625,31812,5971
63780710342612,32564,31892,5972
63780710342612,32536,31620,5972
63780710342612,32489,31775,5970
63780710342612,32456,31824,5960
63780710342612,32432,31852,5969
63780710342612,32404,31857,5991
63780710342612,32380,31844,5969
63780710342612,32364,31816,5974
63780710342612,32354,31534,5961
63780710342612,32336,31732,6016
63780710342612,32330,31506,5959
63780710342612,32328,31472,5960
63780710342612,32316,31604,5978
63780710342612,32312,31568,5983
63780710342612,32300,31356,5990
63780710342612,32304,31552,5974
63780710342612,32340,31385,5986
63780710342612,32417,31316,5981
63780710342612,32576,31348,5982
63780710342612,32814,31564,5962
63780710342612,33122,31574,5974
63780710342612,33440,31536,5982
63780710342612,33746,31528,5965
63780710342612,34010,31554,5982
63780710342612,34208,31369,5960
63780710342612,34332,31420,5955
63780710342612,34384,31597,5981
63780710342612,34360,31684,5977
63780710342612,34268,31514,5968
63780710342612,34136,31660,5966
63780710342612,33976,31756,5964
63780710342612,33792,31916,5974
63780710342612,33613,31764,5982
63780710342612,33443,31909,5980
63780710342612,33292,31985,5959
63780710342613,33153,32101,5968
63780710342613,33034,32468,5959
63780710342613,32925,32369,5953
63780710342613,32825,32652,5984
63780710342613,32742,32572,5977
63780710342613,32682,32876,5959
63780710342615,32634,32949,5964
63780710342615,32612,33012,5967
63780710342615,32625,33076,5987
63780710342615,32650,33120,5984
63780710342615,32696,33112,5957
63780710342615,32746,33122,5978
63780710342615,32812,33240,5962
63780710342615,32888,33076,5976
63780710342615,32944,33385,5960
63780710342615,32988,33380,5953
63780710342615,33020,33380,5985
63780710342615,33026,33416,5966
63780710342615,33018,33500,5950
63780710342615,32976,33420,5955
63780710342615,32943,33352,5953
63780710342615,32876,33162,5956
63780710342615,32832,33132,5971
63780710342615,32772,33336,5978
63780710342615,32716,33308,5954
63780710342616,32660,33312,5982
63780710342619,32603,33284,5963
63780710342619,32564,33246,5971
63780710342621,32516,33256,5952
63780710342624,32484,33000,5952
63780710342626,32440,33012,5954
63780710342629,32424,33168,5954
63780710342631,32408,32874,5982
63780710342638,32394,33091,5981
63780710342648,32384,32952,5964
63780710342660,32384,33040,5973
63780710342666,32378,32748,5954
63780710342695,32380,32858,5976
63780710342698,32372,32720,5955
63780710342700,32384,32916,5961
63780710342706,32372,32860,5963
63780710342721,32376,32673,5956
63780710342749,32376,32682,5972
63780710342754,32396,32706,6000
63780710342759,32448,32838,5956
63780710342761,32576,32788,5962
63780710342786,32776,32644,5954
63780710342814,33052,32552,5968
63780710342816,33372,32520,5961
63780710342819,33688,32538,5978
63780710342821,33984,32560,5952
63780710342824,34206,32805,5973
63780710342826,34383,32812,5956
63780710342843,34466,32752,5961
63780710342845,34466,32608,5981
63780710342860,34404,32661,5959
63780710342864,34281,32692,5980
63780710342879,34132,32935,5954
63780710342883,33952,32788,6009
63780710342898,33764,32965,5949
63780710342909,33576,33152,5945
63780710342924,33412,33224,5958
63780710342926,33268,33092,5952
63780710342941,33122,33456,5954
63780710342945,33002,33492,5951
63780710342970,32880,33678,5960
63780710342972,32780,33720,5947
63780710342975,32704,33912,5946
63780710342991,32645,33928,5952
63780710342997,32634,34172,5954
63780710343013,32640,34056,5972
63780710343016,32690,34456,5982
63780710343027,32748,34532,5968
63780710343037,32817,34580,5962
63780710343047,32900,34746,5961
63780710343058,32972,34620,5973
63780710343071,33033,34960,5985
63780710343075,33096,35128,5951
63780710343090,33125,35248,5951
63780710343096,33144,35369,5961
63780710343107,33128,35410,5982
63780710343117,33100,35754,5986
63780710343127,33056,35944,6006
63780710343154,33016,36164,5947
63780710343179,32961,36340,5987
63780710343195,32904,36603,5972
63780710343202,32840,36444,5985
63780710343205,32768,36792,5948
63780710343207,32692,36976,5970
63780710343210,32632,37088,5958
63780710343212,32560,37284,5956
63780710343215,32508,37636,5980
63780710343231,32464,37744,5948
63780710343234,32418,37985,5953
63780710343249,32388,37984,5977
63780710343255,32372,38204,5960
63780710343267,32354,38484,5974
63780710343279,32352,38540,5974
