OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
1703481,63780710557995,None,None,None
1703489,63780710558001,None,None,None
1703489,63780710558005,None,None,None
1703497,63780710558009,None,None,None
1703506,63780710558015,None,None,None
1703514,63780710558026,None,None,None
1703522,63780710558038,None,None,None
1703539,63780710558048,None,None,None
1703547,63780710558059,None,None,None
1703556,63780710558071,None,None,None
1703572,63780710558082,None,None,None
1703581,63780710558093,None,None,None
1703589,63780710558105,None,None,None
1703606,63780710558115,None,None,None
1703614,63780710558126,None,None,None
1703622,63780710558138,None,None,None
1703639,63780710558149,None,None,None
1703647,63780710558159,None,None,None
1703656,63780710558170,None,None,None
1703672,63780710558182,None,None,None
1703681,63780710558193,None,None,None
1703689,63780710558204,None,None,None
1703697,63780710558215,None,None,None
1703714,63780710558226,None,None,None
1703722,63780710558237,None,None,None
1703731,63780710558248,None,None,None
1703747,63780710558259,None,None,None
1703756,63780710558270,None,None,None
1703764,63780710558281,None,None,None
1703781,63780710558293,None,None,None
1703789,63780710558304,None,None,None
1703797,63780710558315,None,None,None
1703814,63780710558326,None,None,None
1703822,63780710558337,None,None,None
1703831,63780710558348,None,None,None
1703847,63780710558359,None,None,None
1703856,63780710558370,None,None,None
1703864,63780710558381,None,None,None
1703881,63780710558393,None,None,None
1703889,63780710558403,None,None,None
1703897,63780710558414,None,None,None
1703914,63780710558426,None,None,None
1703922,63780710558437,None,None,None
1703931,63780710558448,None,None,None
1703947,63780710558460,None,None,None
1703956,63780710558470,None,None,None
1703972,63780710558482,None,None,None
1703981,63780710558493,None,None,None
1703989,63780710558504,None,None,None
1703997,63780710558515,None,None,None
1704014,63780710558526,None,None,None
1704022,63780710558537,None,None,None
1704031,63780710558548,None,None,None
1704047,63780710558559,None,None,None
1704056,63780710558570,None,None,None
1704064,63780710558581,None,None,None
1704080,63780710558593,None,None,None
1704089,63780710558603,None,None,None
1704097,63780710558615,None,None,None
1704114,63780710558626,None,None,None
1704122,63780710558637,None,None,None
1704130,63780710558648,None,None,None
1704147,63780710558659,None,None,None
1704155,63780710558671,None,None,None
1704164,63780710558681,None,None,None
1704180,63780710558698,None,None,None
1704197,63780710558709,None,None,None
1704205,63780710558720,None,None,None
1704214,63780710558731,None,None,None
1704230,63780710558742,None,None,None
