OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
3890948,63783198775770,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3890956,63783198775781,None,None,None
3890965,63783198775792,None,None,None
3890981,63783198775805,None,None,None
3890990,63783198775814,None,None,None
3890998,63783198775825,None,None,None
3891015,63783198775837,None,None,None
3891023,63783198775849,None,None,None
3891031,63783198775860,None,None,None
3891048,63783198775869,None,None,None
3891056,63783198775881,None,None,None
3891065,63783198775892,None,None,None
3891073,63783198775903,None,None,None
3891090,63783198775914,None,None,None
3891098,63783198775925,None,None,None
3891106,63783198775936,None,None,None
3891123,63783198775947,None,None,None
3891131,63783198775958,None,None,None
3891148,63783198775969,None,None,None
3891156,63783198775981,None,None,None
3891165,63783198775992,None,None,None
3891181,63783198776005,None,None,None
3891190,63783198776015,None,None,None
3891198,63783198776025,None,None,None
3891215,63783198776036,None,None,None
3891223,63783198776047,None,None,None
3891231,63783198776059,None,None,None
3891248,63783198776069,None,None,None
3891256,63783198776081,None,None,None
3891265,63783198776092,None,None,None
3891281,63783198776103,None,None,None
3891290,63783198776114,None,None,None
3891298,63783198776125,None,None,None
3891315,63783198776136,None,None,None
3891323,63783198776148,None,None,None
3891331,63783198776158,None,None,None
3891348,63783198776170,None,None,None
3891356,63783198776181,None,None,None
3891365,63783198776192,None,None,None
3891381,63783198776202,None,None,None
3891390,63783198776214,None,None,None
3891398,63783198776225,None,None,None
3891415,63783198776236,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3891423,63783198776247,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3891431,63783198776258,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3891448,63783198776269,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3891456,63783198776280,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3891465,63783198776291,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3891481,63783198776303,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3891490,63783198776314,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3891506,63783198776325,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3891515,63783198776336,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3891523,63783198776347,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3891531,63783198776358,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3891548,63783198776370,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
3891556,63783198776380,99_Bahnsteig_PF,99_Bahnsteig_PF,99_Bahnsteig_PF
