UnityTS,heart,breath,GSR
63783197696319,33818,38624,99
63783197696321,33510,38224,95
63783197696336,33228,38172,95
63783197696352,32956,37776,93
63783197696355,32696,37516,95
63783197696364,32472,37482,81
63783197696374,32304,37000,97
63783197696385,32205,36508,101
63783197696395,32188,36448,84
63783197696405,32240,36122,98
63783197696415,32360,35720,107
63783197696421,32528,35353,96
63783197696436,32708,35064,104
63783197696440,32900,34721,93
63783197696455,33072,34138,113
63783197696466,33194,34049,93
63783197696507,33256,33484,100
63783197696516,33270,33160,100
63783197696519,33220,33012,111
63783197696521,33116,32817,105
63783197696526,32969,32552,100
63783197696529,32813,32224,94
63783197696536,32660,31760,99
63783197696552,32493,31748,102
63783197696555,32324,31512,95
63783197696565,32161,31224,93
63783197696580,32012,31212,107
63783197696583,31854,30988,97
63783197696599,31704,30676,100
63783197696602,31569,30682,102
63783197696612,31440,30360,96
63783197696629,31330,30264,102
63783197696634,31224,30336,103
63783197696644,31124,30184,96
63783197696653,31040,30064,99
63783197696670,30964,29880,107
63783197696672,30890,29689,102
63783197696682,30824,29472,103
63783197696692,30768,29592,94
63783197696709,30712,29548,95
63783197696711,30645,29516,95
63783197696726,30592,29353,113
63783197696737,30520,29568,105
63783197696741,30472,29372,97
63783197696756,30432,29632,102
63783197696762,30408,29714,96
63783197696777,30496,29912,98
63783197696783,30784,29812,98
63783197696799,31298,29876,105
63783197696802,32071,29952,74
63783197696812,33008,30068,96
63783197696824,33997,30238,99
63783197696837,34928,30372,97
63783197696876,35720,30460,95
63783197696888,36316,30687,100
63783197696891,36688,30866,99
63783197696893,36844,31020,96
63783197696896,36808,31152,104
63783197696923,36608,31240,116
63783197696926,36296,31352,101
63783197696928,35874,31476,116
63783197696931,35428,31541,101
63783197696933,34944,31608,96
63783197696943,34491,31724,99
63783197696953,34069,31781,115
63783197696963,33704,31684,101
63783197696973,33376,31952,95
63783197697000,33080,31848,96
63783197697002,32790,32164,103
63783197697007,32507,32032,105
63783197697011,32248,32348,96
63783197697027,32032,32418,97
63783197697031,31880,32522,95
63783197697046,31804,32353,96
63783197697056,31808,32410,95
63783197697060,31880,32692,101
63783197697075,31994,32856,100
63783197697085,32136,32946,101
63783197697095,32290,32932,101
63783197697106,32412,32784,102
63783197696319,33818,38624,99
63783197696321,33510,38224,95
63783197696336,33228,38172,95
63783197696352,32956,37776,93
63783197696355,32696,37516,95
63783197696364,32472,37482,81
63783197696374,32304,37000,97
63783197696385,32205,36508,101
63783197696395,32188,36448,84
63783197696405,32240,36122,98
63783197696415,32360,35720,107
63783197696421,32528,35353,96
63783197696436,32708,35064,104
63783197696440,32900,34721,93
63783197696455,33072,34138,113
63783197696466,33194,34049,93
63783197696507,33256,33484,100
63783197696516,33270,33160,100
63783197696519,33220,33012,111
63783197696521,33116,32817,105
63783197696526,32969,32552,100
63783197696529,32813,32224,94
63783197696536,32660,31760,99
63783197696552,32493,31748,102
63783197696555,32324,31512,95
63783197696565,32161,31224,93
63783197696580,32012,31212,107
63783197696583,31854,30988,97
63783197696599,31704,30676,100
63783197696602,31569,30682,102
63783197696612,31440,30360,96
63783197696629,31330,30264,102
63783197696634,31224,30336,103
63783197696644,31124,30184,96
