OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valL,valR
41819625835,63779525587813,0.5947188,0.4056169,0.5379933,0.4044312,-14.5121,2.782835,-1.36036,-0.001851992,-0.8794336,0.04700365,0.4736917,0,0,0,0,0,0,0,14.51114,-2.781147,1.335321,-0.0188757,-0.9997931,-0.007591099,-0.03168744,0.001189484,-0.02576761,0.02977087,0.00218605,-0.02430962,0.1690216,-0.2662201,0.9489746,0.1649017,-0.2709961,0.9483337,0.002613281,0.002527649,True,True
41819634250,63779525587823,0.5934816,0.40689,0.5355901,0.4053418,-14.51276,2.782979,-1.359588,-0.001440091,-0.8785053,0.04606725,0.4755041,0,0,0,0,0,0,0,14.5118,-2.781284,1.334482,-0.01854966,-0.9998019,-0.007225406,-0.03169794,0.001202133,-0.02588908,0.02976854,0.002186279,-0.02432207,0.166153,-0.2630463,0.9503632,0.1591339,-0.2689056,0.9499207,0.002549759,0.00256369,True,True
41819642606,63779525587823,0.5905332,0.4067831,0.5332697,0.4051127,-14.51343,2.783149,-1.358912,-0.001098935,-0.8775018,0.0451765,0.4774396,0,0,0,0,0,0,0,14.51245,-2.78149,1.333893,-0.01823471,-0.9998099,-0.006904491,-0.03172966,0.001132004,-0.02570399,0.02976619,0.002186493,-0.02433452,0.158905,-0.2636414,0.9514313,0.1534119,-0.2697449,0.9506226,0.002549576,0.002594376,True,True
41819650923,63779525587835,0.5919872,0.407034,0.5334194,0.4060295,-14.51343,2.783149,-1.358912,-0.001098935,-0.8775018,0.0451765,0.4774396,0,0,0,0,0,0,0,14.51243,-2.781511,1.33394,-0.01822625,-0.99981,-0.006904071,-0.0317701,0.001088333,-0.02559135,0.02976401,0.002187851,-0.02435414,0.1625061,-0.2628326,0.9510498,0.1538849,-0.2673492,0.9512177,0.002586273,0.002596847,True,True
41819659107,63779525587849,0.5916512,0.4057756,0.5312074,0.4064107,-14.51412,2.783355,-1.358298,-0.0009632176,-0.8764673,0.04442946,0.4794061,0,0,0,0,0,0,0,14.51309,-2.781729,1.333347,-0.01791171,-0.9998171,-0.006706572,-0.03180875,0.001075424,-0.02557314,0.02974436,0.0021763,-0.02432957,0.1615295,-0.2661438,0.9502869,0.1484833,-0.2665863,0.952301,0.002575928,0.002594833,True,True
41819667536,63779525587856,0.5893565,0.4066079,0.5275615,0.4052909,-14.51472,2.783529,-1.357664,-0.0009676563,-0.8756074,0.04367925,0.4810435,0,0,0,0,0,0,0,14.51367,-2.781887,1.33264,-0.01758936,-0.9998238,-0.006557654,-0.03184164,0.001102325,-0.0256917,0.0297343,0.002181595,-0.02435567,0.1559906,-0.2642212,0.9517517,0.1393585,-0.2698517,0.9527588,0.002571304,0.002610855,True,True
41819675949,63779525587856,0.5882701,0.4062583,0.5273346,0.4046818,-14.51472,2.783529,-1.357664,-0.0009676563,-0.8756074,0.04367925,0.4810435,0,0,0,0,0,0,0,14.51365,-2.781886,1.332603,-0.01759628,-0.9998237,-0.006558083,-0.03185352,0.001108231,-0.0257648,0.0297162,0.002178635,-0.02435718,0.1532745,-0.2652435,0.9519043,0.1387329,-0.2714539,0.9523926,0.002603424,0.002617599,True,True
41819684239,63779525587868,0.5881671,0.4055306,0.5262462,0.4046202,-14.51534,2.783698,-1.357048,-0.001104736,-0.874785,0.04299092,0.482599,0,0,0,0,0,0,0,14.51425,-2.782068,1.331999,-0.01724746,-0.9998302,-0.006481714,-0.03186955,0.0011008,-0.02577779,0.02968865,0.002160309,-0.02431995,0.1529388,-0.2671509,0.9514313,0.1360321,-0.2717133,0.9526978,0.00269368,0.002601028,True,True
41819692585,63779525587878,0.5870209,0.4059615,0.5259405,0.4054427,-14.51601,2.783812,-1.356418,-0.001206908,-0.8739234,0.04250807,0.4842001,0,0,0,0,0,0,0,14.51489,-2.782211,1.331436,-0.01699395,-0.9998348,-0.00643546,-0.03189607,0.001075821,-0.0257326,0.02965607,0.002126083,-0.02423148,0.1501617,-0.2661438,0.9521484,0.1353607,-0.2696075,0.9533997,0.002604233,0.002606308,True,True
41819700908,63779525587889,0.5884998,0.4049072,0.5273553,0.4081605,-14.51656,2.783929,-1.355878,-0.001287794,-0.873285,0.04196082,0.4853977,0,0,0,0,0,0,0,14.51541,-2.782356,1.330969,-0.01670506,-0.9998402,-0.006360354,-0.03192517,0.001044266,-0.02565568,0.02962625,0.002101349,-0.02416357,0.1536865,-0.2687378,0.9508667,0.1391449,-0.2623901,0.9548645,0.002573624,0.002724411,True,True
