OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
41819615437,63779525587823,99_Bahnsteig_PF,99_Bahnsteig_PF
41819632100,63779525587835,None,None
41819640431,63779525587849,99_Bahnsteig_PF,99_Bahnsteig_PF
41819648763,63779525587856,99_Bahnsteig_PF,99_Bahnsteig_PF
41819665426,63779525587868,99_Bahnsteig_PF,99_Bahnsteig_PF
41819673758,63779525587878,99_Bahnsteig_PF,99_Bahnsteig_PF
41819682089,63779525587889,99_Bahnsteig_PF,99_Bahnsteig_PF
41819698752,63779525587901,99_Bahnsteig_PF,99_Bahnsteig_PF
41819707084,63779525587911,99_Bahnsteig_PF,99_Bahnsteig_PF
41819715415,63779525587924,99_Bahnsteig_PF,99_Bahnsteig_PF
41819732078,63779525587938,99_Bahnsteig_PF,99_Bahnsteig_PF
41819740410,63779525587950,99_Bahnsteig_PF,99_Bahnsteig_PF
41819748741,63779525587957,99_Bahnsteig_PF,99_Bahnsteig_PF
41819765404,63779525587968,99_Bahnsteig_PF,99_Bahnsteig_PF
41819773736,63779525587979,99_Bahnsteig_PF,99_Bahnsteig_PF
41819782067,63779525587990,99_Bahnsteig_PF,99_Bahnsteig_PF
41819798730,63779525588002,99_Bahnsteig_PF,99_Bahnsteig_PF
41819807062,63779525588013,99_Bahnsteig_PF,99_Bahnsteig_PF
41819815393,63779525588024,99_Bahnsteig_PF,99_Bahnsteig_PF
41819832056,63779525588035,99_Bahnsteig_PF,99_Bahnsteig_PF
41819840388,63779525588047,99_Bahnsteig_PF,99_Bahnsteig_PF
41819848720,63779525588057,99_Bahnsteig_PF,99_Bahnsteig_PF
41819865383,63779525588069,99_Bahnsteig_PF,99_Bahnsteig_PF
41819873714,63779525588080,None,99_Bahnsteig_PF
41819890377,63779525588091,None,99_Bahnsteig_PF
41819898709,63779525588102,None,None
41819907040,63779525588114,None,None
41819915372,63779525588124,None,99_Bahnsteig_PF
41819932035,63779525588136,None,None
41819940366,63779525588148,None,None
41819948698,63779525588159,None,None
41819948698,63779525588169,None,None
41819948698,63779525588180,None,None
41819948698,63779525588191,None,None
41819948698,63779525588202,None,None
41819948698,63779525588213,None,None
41819948698,63779525588225,None,None
41819948698,63779525588236,None,None
41819948698,63779525588247,None,None
41820007019,63779525588258,None,None
41820065339,63779525588270,None,None
41820073671,63779525588281,None,None
41820090334,63779525588293,None,None
41820098665,63779525588304,None,None
41820106997,63779525588315,None,None
41820115328,63779525588326,None,None
41820131991,63779525588337,None,None
41820140323,63779525588348,None,None
41820156986,63779525588359,None,None
41820165317,63779525588370,None,None
41820173649,63779525588382,None,None
41820190312,63779525588395,None,None
41820198644,63779525588404,None,None
41820206975,63779525588415,None,None
41820223638,63779525588427,None,None
41820231970,63779525588438,None,None
41820240301,63779525588449,None,None
41820256964,63779525588461,None,None
41820265296,63779525588472,None,None
41820273627,63779525588481,None,None
41820290290,63779525588494,None,None
41820298622,63779525588504,99_Bahnsteig_PF,99_Bahnsteig_PF
41820306953,63779525588516,99_Bahnsteig_PF,99_Bahnsteig_PF
41820323616,63779525588526,99_Bahnsteig_PF,99_Bahnsteig_PF
41820331948,63779525588539,99_Bahnsteig_PF,99_Bahnsteig_PF
41820340280,63779525588550,99_Bahnsteig_PF,99_Bahnsteig_PF
41820356943,63779525588560,99_Bahnsteig_PF,99_Bahnsteig_PF
41820365274,63779525588571,99_Bahnsteig_PF,99_Bahnsteig_PF
41820373606,63779525588583,99_Bahnsteig_PF,99_Bahnsteig_PF
41820390269,63779525588593,99_Bahnsteig_PF,99_Bahnsteig_PF
41820398600,63779525588606,99_Bahnsteig_PF,99_Bahnsteig_PF
41820406932,63779525588617,99_Bahnsteig_PF,99_Bahnsteig_PF
41820423595,63779525588628,99_Bahnsteig_PF,99_Bahnsteig_PF
41820431926,63779525588639,99_Bahnsteig_PF,99_Bahnsteig_PF
41820440258,63779525588650,99_Bahnsteig_PF,99_Bahnsteig_PF
41820456921,63779525588662,99_Bahnsteig_PF,99_Bahnsteig_PF
41820465252,63779525588672,99_Bahnsteig_PF,99_Bahnsteig_PF
41820473584,63779525588683,99_Bahnsteig_PF,99_Bahnsteig_PF
41820490247,63779525588695,99_Bahnsteig_PF,99_Bahnsteig_PF
41820498578,63779525588706,99_Bahnsteig_PF,99_Bahnsteig_PF
41820515242,63779525588717,99_Bahnsteig_PF,99_Bahnsteig_PF
41820523573,63779525588728,99_Bahnsteig_PF,99_Bahnsteig_PF
41820531905,63779525588739,99_Bahnsteig_PF,99_Bahnsteig_PF
41820548568,63779525588750,99_Bahnsteig_PF,99_Bahnsteig_PF
41820556899,63779525588762,99_Bahnsteig_PF,99_Bahnsteig_PF
41820565231,63779525588773,99_Bahnsteig_PF,99_Bahnsteig_PF
41820581894,63779525588784,99_Bahnsteig_PF,99_Bahnsteig_PF
41820590225,63779525588795,99_Bahnsteig_PF,99_Bahnsteig_PF
41820598557,63779525588806,99_Bahnsteig_PF,99_Bahnsteig_PF
41820615220,63779525588817,99_Bahnsteig_PF,99_Bahnsteig_PF
41820623551,63779525588828,99_Bahnsteig_PF,99_Bahnsteig_PF
41820631883,63779525588840,99_Bahnsteig_PF,99_Bahnsteig_PF
41820648546,63779525588852,99_Bahnsteig_PF,99_Bahnsteig_PF
41820656877,63779525588862,99_Bahnsteig_PF,99_Bahnsteig_PF
41820665209,63779525588873,99_Bahnsteig_PF,99_Bahnsteig_PF
41820681872,63779525588884,99_Bahnsteig_PF,99_Bahnsteig_PF
41820690204,63779525588896,99_Bahnsteig_PF,99_Bahnsteig_PF
41820698535,63779525588907,99_Bahnsteig_PF,99_Bahnsteig_PF
41820715198,63779525588918,99_Bahnsteig_PF,99_Bahnsteig_PF
41820723530,63779525588930,99_Bahnsteig_PF,99_Bahnsteig_PF
41820731861,63779525588940,99_Bahnsteig_PF,99_Bahnsteig_PF
41820748524,63779525588952,99_Bahnsteig_PF,99_Bahnsteig_PF
41820756856,63779525588963,99_Bahnsteig_PF,99_Bahnsteig_PF
41820765187,63779525588973,99_Bahnsteig_PF,99_Bahnsteig_PF
41820781850,63779525588985,99_Bahnsteig_PF,99_Bahnsteig_PF
41820790182,63779525588996,99_Bahnsteig_PF,99_Bahnsteig_PF
41820798513,63779525589007,99_Bahnsteig_PF,99_Bahnsteig_PF
41820815176,63779525589019,99_Bahnsteig_PF,99_Bahnsteig_PF
41820823508,63779525589029,99_Bahnsteig_PF,99_Bahnsteig_PF
41820831839,63779525589040,99_Bahnsteig_PF,99_Bahnsteig_PF
41820848503,63779525589052,99_Bahnsteig_PF,99_Bahnsteig_PF
41820856834,63779525589063,99_Bahnsteig_PF,99_Bahnsteig_PF
41820865166,63779525589074,99_Bahnsteig_PF,99_Bahnsteig_PF
41820881829,63779525589085,99_Bahnsteig_PF,99_Bahnsteig_PF
41820890160,63779525589097,99_Bahnsteig_PF,99_Bahnsteig_PF
41820898492,63779525589108,99_Bahnsteig_PF,99_Bahnsteig_PF
