UnityTS,Heart,Light
566027,31920,44084
566036,31920,44008
566046,31928,44124
566056,31921,44160
566066,31920,44117
566076,31893,44132
566086,31876,44105
566096,31845,43760
566106,31844,43820
566116,31844,44030
566126,31828,44156
566136,31816,43924
566137,31812,44104
566147,31798,43920
566157,31780,44168
566167,31756,43952
566177,31736,43976
566187,31740,44072
566197,31756,43944
566207,31868,43792
566217,32108,43784
566227,32464,44104
566237,32936,43924
566248,33424,43840
566258,33896,43914
566268,34304,43932
566278,34632,44010
566288,34820,43992
566298,34914,43880
566308,34908,44000
566318,34828,44060
566328,34680,44068
566338,34524,43992
566358,34344,44024
566368,34136,43972
566378,33928,44080
566388,33752,44028
566398,33599,43913
566408,33452,44060
566418,33316,43896
566428,33188,43968
566438,33053,44056
566449,32962,43922
566459,32876,44012
566469,32816,43888
566479,32764,44096
566489,32741,44112
566499,32756,44060
566509,32772,44060
566519,32804,44012
566529,32826,44080
566539,32840,44016
566539,32866,44004
566549,32858,44096
566559,32836,44024
566569,32788,43848
566579,32744,43756
566589,32684,43992
566599,32648,44092
566609,32580,44120
566619,32500,43778
566629,32408,44084
566639,32356,43924
566654,32284,44083
566664,32224,44105
566674,32142,44000
566684,32096,43904
566694,32033,43810
566704,31984,43992
566714,31952,43914
566724,31908,43924
566734,31872,44092
566744,31855,44132
566756,31833,43956
566766,31817,44124
566776,31784,43976
566786,31780,43896
566796,31776,44033
566806,31767,43856
566816,31776,44076
566826,31776,44040
566836,31764,43968
566846,31786,44005
566856,31790,44112
566866,31780,44136
566876,31764,44160
566886,31764,43905
566896,31767,44040
566906,31749,44125
566916,31748,43932
566926,31733,44168
566936,31720,43972
566946,31726,44132
566959,31720,44153
566969,31705,44104
566979,31688,44060
566989,31701,44200
566999,31696,44088
567009,31700,44100
567019,31700,44090
567029,31680,44028
567039,31657,44090
567049,31656,44188
567046,31652,43819
567056,31633,44036
567066,31596,43984
567076,31600,43832
567086,31600,43910
567096,31669,43994
567106,31853,44137
567116,32156,43934
567126,32560,43916
567136,33052,43824
567146,33532,43929
567156,33968,44050
567167,34300,43952
567177,34540,44024
567187,34690,43929
567197,34724,43980
567207,34692,44060
567217,34592,44029
567227,34436,44072
567237,34269,44109
567247,34092,44024
567257,33909,44148
567268,33728,44032
567278,33576,44116
567288,33413,44132
567298,33283,44132
567308,33145,44136
567318,33024,44112
567328,32900,43954
567338,32812,44136
567348,32742,44129
567358,32684,44148
567368,32653,44196
567378,32660,44090
567388,32673,44008
567398,32701,44156
567408,32744,44148
567418,32776,43978
567428,32792,43896
567438,32810,43980
567448,32824,43832
567458,32804,44036
567470,32762,44196
567480,32724,44116
567490,32672,44108
567500,32632,44152
567510,32568,43857
567520,32488,44140
567530,32424,43960
567540,32364,43992
567550,32304,43872
567560,32253,44101
567580,32185,44028
567590,32137,44180
567600,32080,44212
567610,32026,44160
567620,31996,44236
567630,31952,43969
567640,31908,44052
567650,31900,44008
567660,31874,44122
567660,31860,44148
567670,31837,44072
567680,31838,44088
567690,31840,44048
567700,31840,44016
567710,31848,44192
567720,31848,44164
567730,31828,43912
567740,31824,44020
567750,31809,44184
567760,31797,43944
567771,31776,44260
567781,31760,44216
567791,31752,43908
567801,31756,44168
567811,31760,43973
567821,31752,44154
567831,31737,43912
567841,31738,44264
567851,31726,44264
567861,31721,44032
567882,31700,44090
567892,31690,44120
567902,31680,44184
567912,31672,44153
567922,31658,44034
567932,31649,43968
567942,31625,44173
567952,31620,44160
567962,31628,44240
567969,31717,44304
567979,31904,44181
567989,32254,44068
567999,32680,44084
568009,33160,44054
568019,33636,44272
568029,34034,44196
568039,34360,44237
568049,34588,43925
568059,34724,44068
568069,34764,44134
568079,34710,44248
568089,34616,44233
568099,34481,44194
568109,34328,43968
568119,34161,44236
568129,33984,44108
568139,33820,44212
568149,33676,44085
568159,33532,44276
568169,33400,44040
568179,33282,44236
568189,33152,44220
568199,33044,44152
568209,32932,44250
568219,32848,44048
568229,32756,44080
568239,32684,44264
568249,32677,44256
568259,32672,44000
568269,32705,44144
568279,32724,43954
568289,32756,43929
568299,32768,44164
568309,32796,44224
568319,32816,44240
568329,32816,44112
568339,32790,43972
568349,32768,44220
568359,32732,44160
568369,32688,43904
568379,32636,44090
568389,32600,44208
568399,32568,44196
568409,32520,44140
568419,32464,44082
568429,32400,44248
568439,32345,44248
568449,32292,44164
568459,32240,44220
568469,32189,44208
568479,32156,44074
568489,32144,44260
568499,32148,44241
568509,32164,44224
568519,32168,44284
