UnityTS,Heart,Breath,GSR
63780001693142,31058,26240,12988
63780001693152,31087,25564,12944
63780001693162,31136,24917,12972
63780001693172,31217,24285,12950
63780001693182,31302,23670,12955
63780001693192,31392,23112,12960
63780001693202,31440,22648,12962
63780001693146,31058,26240,12988
63780001693156,31087,25564,12944
63780001693166,31136,24917,12972
63780001693176,31217,24285,12950
63780001693186,31302,23670,12955
63780001693196,31392,23112,12960
63780001693206,31440,22648,12962
63780001693216,31412,22257,12955
63780001693226,31328,21908,12958
63780001693236,31124,21632,12948
63780001693246,30625,21392,12954
63780001693256,29708,21172,12966
63780001693266,28376,20940,12948
63780001693276,26880,20796,12955
63780001693286,25604,20650,12956
63780001693296,24164,20608,12958
63780001693306,21728,20616,12960
63780001693316,16878,20800,12949
63780001693326,9014,20776,12946
63780001693336,110,21152,12954
63780001693346,110,21124,12952
63780001693356,112,21558,12956
63780001693366,111,21700,12949
63780001693376,112,21936,12950
63780001693386,110,22408,12960
63780001693396,110,22638,12944
63780001693406,110,22572,12954
63780001693416,110,22912,12957
63780001693426,111,22977,12954
63780001693436,111,23505,12960
63780001693446,110,23637,12956
63780001693456,109,23868,12941
63780001693466,112,24000,12944
63780001693476,111,24296,12948
63780001693486,111,24528,12946
63780001693496,111,24685,12968
63780001693506,110,24686,12968
63780001693516,110,24930,12952
63780001693526,111,24920,12953
63780001693536,111,25240,12966
63780001693546,108,25632,12960
63780001693556,110,25760,12946
63780001693566,110,26160,12950
63780001693576,111,26160,12977
63780001693586,109,26288,12952
63780001693596,109,27294,12972
63780001693606,110,27360,12960
63780001693616,110,28088,12974
63780001693626,110,28372,12962
63780001693636,111,28972,12964
63780001693646,111,29339,12964
63780001693656,110,30144,12984
63780001693666,110,30772,13009
63780001693676,109,30593,12980
63780001693686,110,32182,13006
63780001693696,110,32441,12978
63780001693706,111,33368,12992
63780001693716,109,33632,12982
63780001693726,109,34312,13008
63780001693736,110,35136,12995
63780001693746,110,35237,12993
63780001693756,110,35965,13000
63780001693766,110,36374,13014
63780001693776,111,36504,13010
63780001693786,109,36392,13063
63780001693796,111,37281,13049
63780001693806,110,37820,13048
63780001693816,110,38044,13018
63780001693826,110,38424,13043
63780001693836,110,38128,13016
63780001693846,109,38072,13033
63780001693856,109,39480,13036
63780001693866,110,39576,13058
63780001693876,109,39792,13057
63780001693886,110,39144,13025
63780001693896,108,40256,13027
63780001693906,110,40412,13022
63780001693916,110,40584,13052
63780001693926,111,40852,13051
63780001693936,110,41017,13032
63780001693946,110,40972,13024
63780001693956,111,41137,13048
63780001693966,110,41240,13035
63780001693976,109,41072,13046
63780001693986,109,41440,13028
63780001693996,111,41464,13064
63780001694006,111,41320,13025
63780001694016,109,41412,13030
63780001694026,109,41528,13033
63780001694036,940,41937,13025
63780001694046,4891,41856,13033
63780001694056,11520,42152,13076
63780001694066,20490,42370,13071
63780001694076,32708,42480,13052
63780001694086,46100,42832,13049
63780001694096,58688,43308,13050
63780001694106,65436,43892,13050
63780001694116,65428,44000,13052
63780001694126,65436,44380,13063
63780001694136,65428,44720,13045
63780001694146,65429,45272,13040
63780001694156,65428,45588,13034
63780001694166,65428,45808,13036
63780001694176,65423,46169,13028
63780001694186,65432,46448,13029
63780001694196,65436,46960,13000
63780001694206,65436,47264,12986
63780001693148,31058,26240,12988
63780001693158,31087,25564,12944
63780001693168,31136,24917,12972
63780001693178,31217,24285,12950
63780001693188,31302,23670,12955
63780001693198,31392,23112,12960
63780001693208,31440,22648,12962
63780001693218,31412,22257,12955
63780001693228,31328,21908,12958
63780001693238,31124,21632,12948
63780001693248,30625,21392,12954
63780001693258,29708,21172,12966
63780001693268,28376,20940,12948
63780001693278,26880,20796,12955
63780001693288,25604,20650,12956
63780001693298,24164,20608,12958
63780001693308,21728,20616,12960
63780001693318,16878,20800,12949
63780001693328,9014,20776,12946
63780001693338,110,21152,12954
63780001693348,110,21124,12952
63780001693358,112,21558,12956
63780001693368,111,21700,12949
63780001693378,112,21936,12950
63780001693388,110,22408,12960
63780001693398,110,22638,12944
63780001693408,110,22572,12954
63780001693418,110,22912,12957
63780001693428,111,22977,12954
63780001693438,111,23505,12960
63780001693448,110,23637,12956
63780001693458,109,23868,12941
63780001693468,112,24000,12944
63780001693478,111,24296,12948
63780001693488,111,24528,12946
63780001693498,111,24685,12968
63780001693508,110,24686,12968
63780001693518,110,24930,12952
63780001693528,111,24920,12953
63780001693538,111,25240,12966
63780001693548,108,25632,12960
63780001693558,110,25760,12946
63780001693568,110,26160,12950
63780001693578,111,26160,12977
63780001693588,109,26288,12952
63780001693598,109,27294,12972
63780001693608,110,27360,12960
63780001693618,110,28088,12974
63780001693628,110,28372,12962
63780001693638,111,28972,12964
63780001693648,111,29339,12964
63780001693658,110,30144,12984
63780001693668,110,30772,13009
63780001693678,109,30593,12980
63780001693688,110,32182,13006
63780001693698,110,32441,12978
63780001693708,111,33368,12992
63780001693718,109,33632,12982
63780001693728,109,34312,13008
63780001693738,110,35136,12995
63780001693748,110,35237,12993
63780001693758,110,35965,13000
63780001693768,110,36374,13014
63780001693778,111,36504,13010
